game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
iw,shaolin-shuffle,flawless,fate-cards-only,xbox,http://twitch.tv/videos/2244630302,,co-op,31,4,IgotVisionz,Pinkhalfmoon,SoulzRemedy,KnivesOnly3971,0,
iw,shaolin-shuffle,no-power,fate-cards-only,xbox,http://twitch.tv/videos/2244630302,,co-op,40,4,IgotVisionz,Pinkhalfmoon,SoulzRemedy,KnivesOnly3971,0,
bo3,revelations,ee-speedrun,any,xbox,http://twitch.tv/videos/1864250883,,co-op,32:11,2,IgotVisionz,SoulzRemedy,,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/2045599763,,co-op,33:00,4,SoulzRemedy,IgotVisionz,CooledBarley734,WeLive Hockey,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/1419626307,,co-op,34:20,2,SoulzRemedy,PurpZ,,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/1823319629,,co-op,34:40,2,IgotVisionz,SoulzRemedy,,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/2403018639,,co-op,36:00,2,SoulzRemedy,CooledBarley734,,,0,
bo3,gorod-krovi,ee-speedrun,any,steam,http://twitch.tv/videos/2469977341,,co-op,37:55,4,SoulzRemedy,Lucius,Shweppy,TheGodBread,0,
bo3,origins,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=bihhjMOMaF8,,co-op,38:02,2,Macka46,SoulzRemedy,,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/2405755574,,co-op,38:25,3,SoulzRemedy,CooledBarley734,aaroncathcart85,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/1708824504,,co-op,43:24,3,SoulzRemedy,XlvScorpionVlx,CrazyCrafter704,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/2455835637,,co-op,44:40,2,XlvScorpionVlx,SoulzRemedy,,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/1690142523,,solo,45:12,1,SoulzRemedy,,,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/1755898209,,co-op,47:16,4,Melee5man392,JamesPPMan,SoulzRemedy,mobilekibles,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/2374260947,,co-op,48:15,2,SoulzRemedy,TTV Jinx1892,,,0,
bo3,gorod-krovi,ee-speedrun,any,xbox,http://twitch.tv/videos/1605119515,,co-op,1:09:34,3,SoulzRemedy,XlvScorpionVlx,Reactivekid2,,0,
