game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,origins,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=DcejnDShepU,,solo,99,1,Sourex,,,,0,
bocw,die-maschine,high-round,with-support,steam,https://youtube.com/watch?v=B8dX_vFjx6I,,solo,41,1,Sourex,,,,0,
bo3,ascension,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=kQlClQ9xtFk,,solo,40,1,Sourex,,,,0,
bocw,forsaken,high-round,with-support,steam,https://youtube.com/watch?v=eUUQcCkD0Jg,,solo,37,1,Sourex,,,,0,
bocw,firebase-z,high-round,with-support,steam,https://youtube.com/watch?v=9DeLMpGTkSs,,solo,31,1,Sourex,,,,0,
bocw,mauer-der-toten,high-round,with-support,steam,https://youtube.com/watch?v=xHUuStVWiTo,,solo,31,1,Sourex,,,,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=g_65QgHk47k,,co-op,27,2,Sourex,toedleek333,,,0,
bo3,origins,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=G898B92OlEQ,,co-op,27,4,Sourex,Twinwan,Pus$1,Zzed.,0,
bo3,kino-der-toten,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=72k4PDANs5U,,solo,24,1,Sourex,,,,0,
bo2,town,high-round,,steam,https://youtube.com/watch?v=ph2N_KCqc0E,,solo,20,1,Sourex,,,,0,
bo3,origins,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=avsPYZn7Lts,,co-op,20,4,Sourex,Carlangas,Prefer,Urdadleftyou,0,
bo3,the-giant,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=5KHqtjJACAg,,solo,20,1,Sourex,,,,0,
waw,der-riese,high-round,original,steam,https://youtube.com/watch?v=HfyYalHVY9E,,solo,20,1,Sourex,,,,0,
bo,kino-der-toten,high-round,,steam,https://youtube.com/watch?v=Tq_RWRon_Q8,,solo,20,1,Sourex,,,,0,
bo3,kino-der-toten,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=iHANn4fzHqc,,co-op,18,3,Sourex,CHESTER,PROM1X,,0,
bo3,origins,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=Z3ztatXK6gM,,co-op,18,4,Sourex,Draco Bewit,Step,Mr_Juan_85,0,
bo2,farm,high-round,,steam,https://youtube.com/watch?v=g-ZF9bAmqZU,,solo,15,1,Sourex,,,,0,
bo3,verruckt,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=16RDREYjYIk,,solo,15,1,Sourex,,,,0,
bo3,kino-der-toten,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=DyMKIOwxJd4,,co-op,14,4,Sourex,SeiMeinZeugen,Trofkag,BigBowWow69,0,
waw,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=K8npBoqpxjg,,solo,13,1,Sourex,,,,0,
bo,five,high-round,,plutonium,https://youtube.com/watch?v=k0GJ56xG_iw,,solo,12,1,Sourex,,,,0,
bo3,revelations,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=mm4C_GnI1W8,,solo,11,1,Sourex,,,,0,
bo,ascension,high-round,,steam,https://youtube.com/watch?v=ZtN-gwEjG8Q,,solo,10,1,Sourex,,,,0,
waw,verruckt,high-round,original,steam,https://youtube.com/watch?v=VuuZL3U7Ov4,,solo,10,1,Sourex,,,,0,
waw,nacht-der-untoten,high-round,original,steam,https://youtube.com/watch?v=FP4RnK2d9uw,,solo,10,1,Sourex,,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=DzaWnT9mDfk,,solo,10,1,Sourex,,,,0,
custom,town-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=6y8ykHbvadU,,solo,50,1,Sourex,,,,0,
custom,rainy-death-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=UifvtzkRbp4,,solo,23,1,Sourex,,,,0,
custom,diner-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1556010807,,solo,20,1,Sourex,,,,0,
custom,fabrik-der-untoten-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1529222250,,solo,20,1,Sourex,,,,0,
custom,the-crazy-place-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=ak2FfqI0HeE,,solo,19,1,Sourex,,,,0,
custom,der-riese-declassified-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1288608938,,solo,12,1,Sourex,,,,0,
custom,westland-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=jXtNi_F4iKU,,solo,10,1,Sourex,,,,0,
