game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,high-round,classic-elixirs-only,playstation,https://youtube.com/watch?v=1LMqsxBQHkw,,co-op,227,2,Sovetskiy bober,Player 2,,,0,
iw,shaolin-shuffle,high-round,fate-fortune-cards,playstation,https://youtube.com/watch?v=2Usx90tJiKc,,co-op,69,4,Sovetskiy bober,KRATOS_2277,Player 3,Player 4,0,
iw,beast-from-beyond,high-round,fate-cards-only,playstation,https://youtube.com/watch?v=DzO2NL1_Zao,,co-op,52,3,Sovetskiy bober,Alex_Foton,Mister Bebra,,0,
waw,nacht-der-untoten,high-round,original,steam,https://youtube.com/watch?v=IdmUuOBlmDc,,co-op,31,4,Sovetskiy bober,[NZVK]foma100,Quadravanish,CRAZY_JIeXA,0,
bo4,alpha-omega-hardcore,high-round-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=DFqzPjGF4FU,,co-op,106,2,Sovetskiy bober,KRATOS_2277,,,0,
bo4,voyage-of-despair-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=m7GAJXQnjpQ,,co-op,65,3,IMZ123,Sovetskiy bober,Basketshotz,,0,
iw,beast-from-beyond,flawless,fate-fortune-cards,playstation,https://youtube.com/watch?v=cyTWC79VEtw,,co-op,59,2,Sovetskiy bober,Annixilate,,,0,
iw,beast-from-beyond,flawless,fate-cards-only,playstation,https://youtube.com/watch?v=DzO2NL1_Zao,,co-op,45,3,Sovetskiy bober,Alex_Foton,Mister Bebra,,0,
bo2,mob-of-the-dead,flawless,,steam,https://youtube.com/watch?v=vkY6G4NelSw,,co-op,38,3,[NZVK]foma100,Makskord,Sovetskiy bober,,0,
bo4,alpha-omega-hardcore,flawless-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=DFqzPjGF4FU,,co-op,106,2,Sovetskiy bober,KRATOS_2277,,,0,
bo4,ancient-evil-hardcore,flawless-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=fctvs4C9Rr4,,co-op,103,3,Sovetskiy bober,Maddog187_,Basketshotz,,0,
bo4,voyage-of-despair-hardcore,flawless-hc,classic-elixirs-only,playstation,http://twitch.tv/videos/1634374654,,co-op,63,3,IMZ123,Sovetskiy bober,Basketshotz,,0,
bo4,tag-der-toten,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=VJCNTbC-_ro,,solo,200,1,Sovetskiy bober,,,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=XF5qCeZHGJ0,,solo,179,1,Sovetskiy bober,,,,0,
bo4,tag-der-toten,first-room,no-elixirs,playstation,https://youtube.com/watch?v=zfOljp--k0M,,solo,171,1,Sovetskiy bober,,,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=FFwL3RNhcyo,,solo,137,1,Sovetskiy bober,,,,0,
bo4,dead-of-the-night,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=5mtGudDESiI,,co-op,119,2,Sovetskiy bober,ZKL_allstargamer,,,0,
bo4,tag-der-toten,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=zNsvg9UAKHM,,co-op,90,3,zombie882killr,Sovetskiy bober,Basketshotz,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=dXLC1qsno7k,,co-op,68,3,Sovetskiy bober,Player 2,Player 3,,0,
iw,shaolin-shuffle,first-room,fate-fortune-cards,xbox,https://youtube.com/watch?v=gpkwmcNHQVU,,solo,66,1,Sovetskiy bober,,,,0,
bo4,tag-der-toten,first-room,no-elixirs,playstation,https://youtube.com/watch?v=BLOuDcbh4QU,,co-op,66,2,Sovetskiy bober,KRATOS_2277,,,0,
bo4,tag-der-toten,first-room,no-elixirs,playstation,https://youtube.com/watch?v=VyxaQTjUQxs,,co-op,60,3,Sovetskiy bober,Player 2,Player 3,,0,
bo4,ancient-evil,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=5n5QBFFChBI,,solo,60,1,Sovetskiy bober,,,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=jpH-HIVpheo,,co-op,60,2,Sovetskiy bober,KRATOS_2277,,,0,
bo4,ancient-evil,first-room,no-elixirs,playstation,https://youtube.com/watch?v=NaEtvfVf3Bg,,solo,59,1,Sovetskiy bober,,,,0,
bo4,ancient-evil,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=vAS3Q9BG6G0,,solo,54,1,Sovetskiy bober,,,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=B3bkkClN7Dg,,co-op,52,3,Sovetskiy bober,KRATOS_2277,Captain_Kidd141,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=sdWmYEa_g1A,,co-op,51,4,Sovetskiy bober,Player 2,Player 3,Player 4,0,
iw,shaolin-shuffle,first-room,fate-cards-only,xbox,https://youtube.com/watch?v=ZalHCCEaGfs,,solo,51,1,Sovetskiy bober,,,,0,
bo4,tag-der-toten,first-room,all-elixirs-talismans-realistic,playstation,https://youtube.com/watch?v=BouY6u4IYho,,solo,51,1,Sovetskiy bober,,,,0,
bo4,tag-der-toten,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=gnwwpisOvpE,,solo,47,1,Sovetskiy bober,,,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=-LnLsXrTHQE,,co-op,47,4,ZKL_allstargamer,ZKL_DEMON95ONER,VeKTOR,Sovetskiy bober,0,
bo4,tag-der-toten,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=32xpC2A56N0,,co-op,45,4,Sovetskiy bober,ZKL_allstargamer,SpaZe_DawN,SpaZe_SheeP_,0,
iw,rave-in-the-redwoods,first-room,fate-fortune-cards,playstation,https://youtube.com/watch?v=hzLiUY0x1Xk,,co-op,42,4,Sovetskiy bober,Alex_Foton,Mister Bebra,myRazmo,0,
bo4,tag-der-toten,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=VtXG-m1_NRI,,co-op,41,2,Sovetskiy bober,Captain_Kidd141,,,0,
bo4,alpha-omega,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=6aOx4wWdlEc,,co-op,39,4,Sovetskiy bober,ZKL_allstargamer,ZKL_Momo,ZKL_DEMON95ONER,0,
iw,rave-in-the-redwoods,first-room,fate-fortune-cards,playstation,http://twitch.tv/videos/1163086574,,co-op,39,3,TripOverThis420,myRazmo,Sovetskiy bober,,0,
bo4,tag-der-toten,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=ubz68gCdTjE,,co-op,29,3,Sovetskiy bober,Captain_Kidd141,Annixilate,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only-realistic,playstation,https://youtube.com/watch?v=WG9GLjSA6vs,,solo,29,1,Sovetskiy bober,,,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only-realistic,playstation,https://youtube.com/watch?v=a4rVgXia9Os,,co-op,25,2,Sovetskiy bober,Captain_Kidd141,,,0,
iw,attack-of-the-radioactive-thing,first-room,fate-cards-only,xbox,https://youtube.com/watch?v=kS6Gvd6wXKQ,,solo,24,1,Sovetskiy bober,,,,0,
