game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
iw,rave-in-the-redwoods,no-power,fate-cards-only,playstation,https://youtube.com/watch?v=bRLXdh8mQ_0,,co-op,41,2,Stravinsky,Capamike,,,0,
bo,ascension,no-jug,,playstation,https://youtube.com/watch?v=b9GZmoV7yEM,,solo,106,1,Stravinsky,,,,0,
community,buried,com-no-buildables,with-leroy,steam,http://twitch.tv/videos/1412209000,,solo,68,1,Stravinsky,,,,0,
community,moon,com-5and5,,steam,http://twitch.tv/videos/1193683158,,solo,28,1,Stravinsky,,,,0,
community,der-riese,com-5and5,,steam,https://youtube.com/watch?v=tVf8CMnlgA8,,co-op,19,3,Stravinsky,Capamike,nehyum,,0,
community,five,com-5and5,,steam,http://twitch.tv/videos/1195493721,,solo,18,1,Stravinsky,,,,0,
community,der-riese,com-remix-hr,,steam,https://youtube.com/watch?v=g5vLKr5Zlyk,,co-op,66,2,Capamike,Stravinsky,,,0,
community,tranzit,com-ak74u,,steam,https://youtube.com/watch?v=BabD5ctVZME,,solo,55,1,Stravinsky,,,,0,
community,tranzit,com-ak74u,,steam,https://youtube.com/watch?v=FKKdzxN0ocU,,co-op,42,2,Stravinsky,Capamike,,,0,
community,tranzit,com-ak74u,,steam,https://youtube.com/watch?v=wa_utJGWLwI,,co-op,28,3,Stravinsky,Lskiaa,Bledder,,0,
community,der-riese,com-thompson,black-ops,steam,https://youtube.com/watch?v=GYRhJLceKE8,,solo,36,1,Stravinsky,,,,0,
community,mob-of-the-dead,com-mp5,prison,steam,https://youtube.com/watch?v=dKv6bYJ6REA,,solo,53,1,Stravinsky,,,,0,
community,die-rise,com-mp5,,steam,https://youtube.com/watch?v=FSUMyHJbyAE,,solo,44,1,Stravinsky,,,,0,
community,mob-of-the-dead,com-mp5,prison,steam,http://twitch.tv/videos/1121785136,,co-op,27,3,Stravinsky,Capamike,bommer,,0,
community,die-rise,com-b23r,,steam,https://youtube.com/watch?v=DdZmUtUoqfI,,solo,52,1,Stravinsky,,,,0,
community,mob-of-the-dead,com-warden,,playstation,https://youtube.com/watch?v=rnH3LeWwH2s,,solo,32,1,Stravinsky,,,,0,
community,mob-of-the-dead,com-warden,,steam,https://youtube.com/watch?v=MeEkpdDeCOM,,co-op,30,2,Capamike,Stravinsky,,,0,
