game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,moon,flawless,mega-gobblegum,steam,http://twitch.tv/videos/1129812637,,co-op,50,4,Skrine,Scrappy,Sway,GannonSnipes,0,
bo4,tag-der-toten,first-room,all-elixirs-talismans-hardcore,battle.net,http://twitch.tv/videos/1087954786,,co-op,58,4,Freckleston,Kooky,Scott,Sway,0,
bo4,ancient-evil,30-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=grU4yVgyRuQ,,co-op,29:04,3,Sway,Freckleston,MeloButter,,0,
bo3,gorod-krovi,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=ReZvSSJWRV0,,co-op,29:11,4,Scrappy,GannonSnipes,Sway,Skrine,0,
bocw,die-maschine,30-speedrun,normal,steam,https://youtube.com/watch?v=075RfY0xrFI,,co-op,29:29,3,GannonSnipes,Sway,Scrappy,,0,
bocw,die-maschine,30-speedrun,normal,steam,https://youtube.com/watch?v=3RVLkzzD2jo,,co-op,30:27,4,GannonSnipes,Sway,Scrappy,Pikachu,0,
bo3,verruckt,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=ssZsIfH91Uk,,co-op,31:58,2,GannonSnipes,Sway,,,0,
bocw,firebase-z,30-speedrun,normal,steam,https://youtube.com/watch?v=Ltj4M2PeHMQ,,co-op,33:37,3,GannonSnipes,Sway,Scrappy,,0,
bocw,firebase-z,30-speedrun,normal,steam,http://twitch.tv/videos/1076980160,,co-op,33:54,4,GannonSnipes,Freckleston,Sway,imac234,0,
bo3,verruckt,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=xNnA7QfOzEc,,co-op,33:58,3,Zombie Dawg,GannonSnipes,Sway,,0,
bo3,origins,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=Eghq2nUq_wU,,co-op,34:35,3,GannonSnipes,Sway,Conqueror,,0,
bo3,gorod-krovi,30-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=58WGo9V4xqk,,co-op,34:46,2,Scrappy,Sway,,,0,
bo3,moon,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=1UAnKJOq-gA,,co-op,35:30,2,GannonSnipes,Sway,,,0,
bo3,verruckt,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=MIepb_xbDr8,,co-op,38:02,4,Zombie Dawg,GannonSnipes,Sway,Scrappy,0,
bo3,origins,30-speedrun,mega-gobblegum,steam,http://twitch.tv/videos/1158660551,,co-op,38:08,4,Skrine,GannonSnipes,Sway,Scrappy,0,
bo3,origins,30-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=bq22Nj-ydPY,,co-op,38:25,4,Zombie Dawg,GannonSnipes,Sway,Penguine,0,
