game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shadows-of-evil,high-round,classic-gobblegum-only,playstation,http://twitch.tv/videos/670821729,,solo,255,1,SyntexZombies,,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/169932084,,solo,225,1,SyntexZombies,,,,0,
bo3,moon,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/163834324,,solo,151,1,SyntexZombies,,,,0,
bo3,gorod-krovi,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/178641132,,solo,113,1,SyntexZombies,,,,0,
bo3,shi-no-numa,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/185876941,,solo,110,1,SyntexZombies,,,,0,
bo3,origins,high-round,classic-gobblegum-only,playstation,http://twitch.tv/videos/157075474,,solo,106,1,SyntexZombies,,,,0,
bo3,verruckt,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/162225780,,solo,83,1,SyntexZombies,,,,0,
iw,spaceland,high-round,fate-cards-only,playstation,http://twitch.tv/videos/129800318,,solo,79,1,SyntexZombies,,,,0,
bo3,shadows-of-evil,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/670821729,,solo,255,1,SyntexZombies,,,,0,
bo3,shadows-of-evil,flawless,mega-gobblegum,playstation,http://twitch.tv/videos/169932084,,solo,225,1,SyntexZombies,,,,0,
bo3,moon,flawless,mega-gobblegum,playstation,http://twitch.tv/videos/163834324,,solo,151,1,SyntexZombies,,,,0,
bo3,the-giant,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/175488928,,solo,141,1,SyntexZombies,,,,0,
bo3,gorod-krovi,flawless,mega-gobblegum,playstation,http://twitch.tv/videos/178641132,,solo,113,1,SyntexZombies,,,,0,
bo3,shi-no-numa,flawless,mega-gobblegum,playstation,http://twitch.tv/videos/185876941,,solo,102,1,SyntexZombies,,,,0,
bo3,shadows-of-evil,no-aat,classic-gobblegum-only,playstation,http://twitch.tv/videos/243924944,,solo,106,1,SyntexZombies,,,,0,
bo3,moon,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/153251872,,solo,36,1,SyntexZombies,,,,0,
bo3,moon,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/153262162,,co-op,24,2,SyntexZombies,swizz_BABA,,,0,
bo3,shadows-of-evil,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/243924944,,solo,106,1,SyntexZombies,,,,0,
bo3,kino-der-toten,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/165994063,,co-op,55,2,SyntexZombies,Philip2755,,,0,
bo3,shangri-la,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/152801588,,co-op,42,2,SyntexZombies,swizz_BABA,,,0,
bo3,zetsubou-no-shima,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/160609073,,co-op,36,2,SyntexZombies,Philip2755,,,0,
bo3,der-eisendrache,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/137557976,,co-op,30,3,InSporeZombies,Philip2755,SyntexZombies,,0,
bo3,shadows-of-evil,no-jug,classic-gobblegum-only,playstation,http://twitch.tv/videos/180129686,,solo,137,1,SyntexZombies,,,,0,
bo3,the-giant,50-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=i1IbYiIqnqk,,co-op,1:03:11,2,Tropox,SyntexZombies,,,0,
bo3,the-giant,50-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=SxPG68_NUo8,,co-op,1:13:20,2,Tropox,SyntexZombies,,,0,
bo3,the-giant,100-speedrun,classic-gobblegum-only,playstation,http://twitch.tv/videos/185563840,,solo,4:48:07,1,SyntexZombies,,,,0,
bo3,gorod-krovi,100-speedrun,classic-gobblegum-only,playstation,http://twitch.tv/videos/287928139,,solo,6:18:16,1,SyntexZombies,,,,0,
bo3,shadows-of-evil,255-speedrun,classic-gobblegum-only,playstation,http://twitch.tv/videos/670821729,,solo,55:49:54,1,SyntexZombies,,,,0,
