game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,buried,high-round,,xbox,https://youtube.com/watch?v=zgJLkXl-b04,,solo,146,1,TWiTCHaH,,,,0,
bo2,origins,high-round,,xbox,https://youtube.com/watch?v=hcF9XtWmMks,,solo,135,1,TWiTCHaH,,,,0,
bo2,mob-of-the-dead,high-round,,xbox,https://youtube.com/watch?v=8Kdy9qWQZYw,,co-op,117,2,GamerOneil,TWiTCHaH,,,0,
aw,outbreak,high-round,,xbox,https://youtube.com/watch?v=nk5x49zVrug,,solo,112,1,TWiTCHaH,,,,0,
aw,carrier,high-round,,xbox,https://youtube.com/watch?v=LT10R0jklFo,,co-op,69,2,TWiTCHaH,Plasmid Jeff,,,0,
aw,infection,high-round,,xbox,https://youtube.com/watch?v=umnd4LLBCzQ,,co-op,62,2,TWiTCHaH,Plasmid Jeff,,,0,
aw,carrier,high-round,,xbox,https://youtube.com/watch?v=FnsyA3zJkWM,,co-op,56,2,TWiTCHaH,OhLookPingu,,,0,
aw,infection,high-round,,xbox,https://youtube.com/watch?v=0L8pfXjVCE8,,co-op,55,2,TWiTCHaH,EDLAC71,,,0,
bo2,buried,high-round,,xbox,https://youtube.com/watch?v=y3cjcUrvSDA,,co-op,50,4,Porterico,KillerChaz,TWiTCHaH,Plasmid Jeff,0,
aw,outbreak,high-round,,xbox,https://youtube.com/watch?v=ROqU65_lghk,,co-op,50,3,TWiTCHaH,Ccates32,Plasmid Jeff,,0,
bo3,shadows-of-evil,no-power,mega-gobblegum,xbox,https://youtube.com/watch?v=K2AaNuf4ryo,,co-op,63,2,TWiTCHaH,Ccates32,,,0,
bo3,shadows-of-evil,no-power,mega-gobblegum,xbox,http://twitch.tv/videos/36290979,,co-op,51,2,TWiTCHaH,EDLAC71,,,0,
aw,carrier,no-power,,xbox,http://twitch.tv/videos/39871331,,co-op,28,3,Huttch94,TWiTCHaH,EDLAC71,,0,
bo3,the-giant,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=vlVdvA_GB8Q,,solo,30:59,1,TWiTCHaH,,,,0,
aw,outbreak,30-speedrun,,xbox,https://youtube.com/watch?v=B-jqSifuk9U,,solo,31:09,1,TWiTCHaH,,,,0,
bo2,die-rise,30-speedrun,,xbox,https://youtube.com/watch?v=chNMZfnznv0,,solo,31:14,1,TWiTCHaH,,,,0,
bo3,der-eisendrache,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=StNBbDcGoik,,co-op,33:48,2,EDLAC71,TWiTCHaH,,,0,
bo3,the-giant,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=i80raY38UwI,,co-op,34:50,2,TWiTCHaH,Kaapinho,,,0,
bo3,shangri-la,30-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=UXQkqOwpG9Y,,solo,35:35,1,TWiTCHaH,,,,0,
bo3,zetsubou-no-shima,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=EWjy2pYvUSc,,co-op,36:20,3,TWiTCHaH,Huttch94,EDLAC71,,0,
bo2,town,30-speedrun,,xbox,https://youtube.com/watch?v=3-60IvDSvz0,,solo,36:21,1,TWiTCHaH,,,,0,
aw,carrier,30-speedrun,,xbox,https://youtube.com/watch?v=Z66ZsflQQOc,,solo,36:49,1,TWiTCHaH,,,,0,
aw,outbreak,30-speedrun,,xbox,https://youtube.com/watch?v=SGCnR5t5sls,,co-op,37:07,2,TWiTCHaH,Plasmid Jeff,,,0,
bo2,farm,30-speedrun,,xbox,https://youtube.com/watch?v=gkoL4pAuYiU,,solo,39:05,1,TWiTCHaH,,,,0,
bo3,shadows-of-evil,30-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=7ePgneM7j_w,,co-op,39:12,3,TWiTCHaH,KillerChaz,Ccates32,,0,
aw,outbreak,30-speedrun,,xbox,http://twitch.tv/videos/40631671,,co-op,39:30,2,TWiTCHaH,EDLAC71,,,0,
aw,descent,30-speedrun,,xbox,https://youtube.com/watch?v=sm8wRqAaqmo,,solo,39:38,1,TWiTCHaH,,,,0,
aw,carrier,30-speedrun,,xbox,https://youtube.com/watch?v=zRq_STeKDF8,,co-op,39:50,2,TWiTCHaH,Plasmid Jeff,,,0,
bo2,origins,30-speedrun,,xbox,https://youtube.com/watch?v=-a2Xgxpsh70,,solo,40:28,1,TWiTCHaH,,,,0,
bo2,mob-of-the-dead,30-speedrun,,xbox,https://youtube.com/watch?v=hxwBJochBmU,,solo,41:46,1,TWiTCHaH,,,,0,
aw,infection,30-speedrun,,xbox,https://youtube.com/watch?v=7sqk6P86wug,,solo,42:19,1,TWiTCHaH,,,,0,
aw,infection,30-speedrun,,xbox,https://youtube.com/watch?v=TAjvXPZjoH4,,co-op,44:15,2,Plasmid Jeff,TWiTCHaH,,,0,
bo2,tranzit,30-speedrun,,xbox,https://youtube.com/watch?v=_ezzAKaqwIo,,solo,44:37,1,TWiTCHaH,,,,0,
aw,descent,30-speedrun,,xbox,https://youtube.com/watch?v=Tq6bDWkhiIU,,co-op,44:55,2,TWiTCHaH,Plasmid Jeff,,,0,
aw,descent,30-speedrun,,xbox,https://youtube.com/watch?v=OZwVl8NyEl4,,co-op,47:55,2,ZombieSlayer1991,TWiTCHaH,,,0,
bo2,mob-of-the-dead,30-speedrun,,xbox,https://youtube.com/watch?v=YN5BhEYSw-k,,co-op,51:50,2,TWiTCHaH,Howboy78,,,0,
aw,infection,30-speedrun,,xbox,http://twitch.tv/videos/40631632,,co-op,57:07,2,TWiTCHaH,EDLAC71,,,0,
bo2,buried,30-speedrun,,xbox,https://youtube.com/watch?v=jq2CbCgFAw8,,co-op,1:17:34,4,Porterico,KillerChaz,TWiTCHaH,Plasmid Jeff,0,
bo4,ix,50-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=qSpFHt3sJRo,,solo,55:06,1,TWiTCHaH,,,,0,
bo2,die-rise,50-speedrun,,xbox,https://youtube.com/watch?v=chNMZfnznv0,,solo,57:50,1,TWiTCHaH,,,,0,
bo3,the-giant,50-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=yOYbnk8PltM,,solo,58:49,1,TWiTCHaH,,,,0,
bo4,ancient-evil,50-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=B5CB5AaggEU,,solo,1:02:18,1,TWiTCHaH,,,,0,
bo3,der-eisendrache,50-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=GaBjPj4QfAw,,solo,1:03:02,1,TWiTCHaH,,,,0,
bo3,shangri-la,50-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=UXQkqOwpG9Y,,solo,1:10:09,1,TWiTCHaH,,,,0,
bo2,origins,50-speedrun,,xbox,https://youtube.com/watch?v=vxZv4H81WUI,,solo,1:11:03,1,TWiTCHaH,,,,0,
aw,outbreak,50-speedrun,,xbox,https://youtube.com/watch?v=KCXbHA5n-SA,,solo,1:12:41,1,TWiTCHaH,,,,0,
bo3,shangri-la,50-speedrun,no-gobblegum,xbox,https://youtube.com/watch?v=Dd8o_iD2-z4,,solo,1:13:13,1,TWiTCHaH,,,,0,
bo3,zetsubou-no-shima,50-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=giKiLOpu2P0,,solo,1:13:27,1,TWiTCHaH,,,,0,
bo3,the-giant,50-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=i80raY38UwI,,co-op,1:13:32,2,Kaapinho,TWiTCHaH,,,0,
bo3,the-giant,50-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=YJJSX1tjBCo,,co-op,1:18:28,2,TWiTCHaH,Plasmid Jeff,,,0,
bo2,buried,50-speedrun,,xbox,https://youtube.com/watch?v=0Ufw8OHFx9c,,solo,1:19:42,1,TWiTCHaH,,,,0,
aw,carrier,50-speedrun,,xbox,https://youtube.com/watch?v=EldMeFuDIg4,,solo,1:24:46,1,TWiTCHaH,,,,0,
bo2,mob-of-the-dead,50-speedrun,,xbox,https://youtube.com/watch?v=Veu_z1H3vKg,,solo,1:31:02,1,TWiTCHaH,,,,0,
aw,descent,50-speedrun,,xbox,https://youtube.com/watch?v=KKnWUPw5Kjc,,solo,1:37:26,1,TWiTCHaH,,,,0,
bo2,tranzit,50-speedrun,,xbox,https://youtube.com/watch?v=_ezzAKaqwIo,,solo,1:37:53,1,TWiTCHaH,,,,0,
aw,outbreak,50-speedrun,,steam,http://twitch.tv/videos/1746753660,,co-op,1:39:00,2,TWiTCHaH,Plasmid Jeff,,,0,
aw,descent,50-speedrun,,steam,http://twitch.tv/videos/1747267501,,co-op,1:52:58,2,TWiTCHaH,Plasmid Jeff,,,0,
aw,carrier,50-speedrun,,steam,http://twitch.tv/videos/1746751409,,co-op,1:54:08,2,Plasmid Jeff,TWiTCHaH,,,0,
bo2,mob-of-the-dead,50-speedrun,,xbox,https://youtube.com/watch?v=YN5BhEYSw-k,,co-op,1:56:50,2,TWiTCHaH,Howboy78,,,0,
bo3,der-eisendrache,50-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=dhpl5WGUd-k,,co-op,2:07:10,4,Ccates32,Plasmid Jeff,TWiTCHaH,KillerChaz,0,
bo3,the-giant,50-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=YHDz0Am2Kbg,,co-op,2:15:54,4,TWiTCHaH,Plasmid Jeff,EDLAC71,Huttch94,0,
aw,infection,50-speedrun,,xbox,https://youtube.com/watch?v=Nf2jK3YpWks,,solo,2:19:25,1,TWiTCHaH,,,,0,
aw,infection,50-speedrun,,xbox,https://youtube.com/watch?v=umnd4LLBCzQ,,co-op,2:42:45,2,TWiTCHaH,Plasmid Jeff,,,0,
bo2,buried,50-speedrun,,xbox,https://youtube.com/watch?v=k4YN4WgPlMk,,co-op,2:46:10,3,KillerChaz,Porterico,TWiTCHaH,,0,
aw,outbreak,50-speedrun,,xbox,http://twitch.tv/videos/44594854,,co-op,2:52:16,2,EDLAC71,TWiTCHaH,,,0,
aw,outbreak,50-speedrun,,xbox,https://youtube.com/watch?v=ROqU65_lghk,,co-op,3:06:33,3,TWiTCHaH,Ccates32,Plasmid Jeff,,0,
bo2,buried,50-speedrun,,xbox,https://youtube.com/watch?v=y3cjcUrvSDA,,co-op,4:04:03,4,Porterico,KillerChaz,TWiTCHaH,Plasmid Jeff,0,
bo4,tag-der-toten,70-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=y1nn4R9Ldag,,solo,1:24:42,1,TWiTCHaH,,,,0,
bo4,ix,70-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=CoNoVcuKLcg,,solo,1:27:00,1,TWiTCHaH,,,,0,
bo2,die-rise,70-speedrun,,xbox,https://youtube.com/watch?v=XBwqG9-wimQ,,solo,1:27:29,1,TWiTCHaH,,,,0,
bo4,ix,70-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=ocHcehT6wAc,,solo,1:33:19,1,TWiTCHaH,,,,0,
bo3,der-eisendrache,70-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=4GPP6imlRMM,,solo,1:37:06,1,TWiTCHaH,,,,0,
bo3,der-eisendrache,70-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/288874742,,solo,1:40:14,1,TWiTCHaH,,,,0,
bo4,ancient-evil,70-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=SCeTs6omK1g,,solo,1:43:10,1,TWiTCHaH,,,,0,
bo3,the-giant,70-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=_8KCzkNRzRY,,solo,1:47:34,1,TWiTCHaH,,,,0,
bo2,buried,70-speedrun,,xbox,https://youtube.com/watch?v=zk3wstk7LR0,,solo,2:43:36,1,TWiTCHaH,,,,0,
bo3,der-eisendrache,70-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=AG9OzaSo_dQ,,co-op,2:52:35,2,Plasmid Jeff,TWiTCHaH,,,0,
bo3,zetsubou-no-shima,70-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=AI3WJwr7Ca8,,co-op,3:15:26,2,Plasmid Jeff,TWiTCHaH,,,0,
bo4,tag-der-toten,100-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=y1nn4R9Ldag,,solo,2:34:32,1,TWiTCHaH,,,,0,
bo4,ix,100-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=CoNoVcuKLcg,,solo,2:39:56,1,TWiTCHaH,,,,0,
bo2,die-rise,100-speedrun,,xbox,https://youtube.com/watch?v=XBwqG9-wimQ,,solo,2:44:42,1,TWiTCHaH,,,,0,
bo3,der-eisendrache,100-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=4GPP6imlRMM,,solo,3:23:00,1,TWiTCHaH,,,,0,
bo4,ancient-evil,100-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=SCeTs6omK1g,,solo,3:31:53,1,TWiTCHaH,,,,0,
bo3,der-eisendrache,100-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/288874742,,solo,3:37:20,1,TWiTCHaH,,,,0,
bo4,ix,100-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=ocHcehT6wAc,,solo,3:43:34,1,TWiTCHaH,,,,0,
bo3,the-giant,100-speedrun,classic-gobblegum-only,xbox,https://youtube.com/watch?v=_8KCzkNRzRY,,solo,4:12:11,1,TWiTCHaH,,,,0,
bo2,buried,100-speedrun,,xbox,https://youtube.com/watch?v=zk3wstk7LR0,,solo,6:52:37,1,TWiTCHaH,,,,0,
bo3,der-eisendrache,100-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=AG9OzaSo_dQ,,co-op,7:04:49,2,TWiTCHaH,Plasmid Jeff,,,0,
bo3,zetsubou-no-shima,100-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=9iVyJQbDFyU,,co-op,7:08:55,2,TWiTCHaH,Plasmid Jeff,,,0,
aw,outbreak,100-speedrun,,xbox,https://youtube.com/watch?v=psEKSicsego,,solo,9:31:06,1,TWiTCHaH,,,,0,
bo2,mob-of-the-dead,100-speedrun,,xbox,http://twitch.tv/videos/4383026,,co-op,17:13:55,2,GamerOneil,TWiTCHaH,,,0,
aw,outbreak,ee-speedrun,,xbox,https://youtube.com/watch?v=s7qb9KSKudg,,solo,16:49,1,TWiTCHaH,,,,0,
