game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,farm,flawless,,playstation,https://youtube.com/watch?v=1wDdEE78WU4,,co-op,43,3,zTriCxX__,Alex-Mason74,TeBz_Amnezia,,0,
bo2,farm,flawless,,playstation,https://youtube.com/watch?v=oNkK7pJKPns,,co-op,31,4,zTriCxX__,Alex-Mason74,TeBz_Amnezia,ShReDDeR-vS,0,
bo2,bus-depot,flawless,,playstation,https://youtube.com/watch?v=EHcpIITW-Zw,,co-op,29,3,zTriCxX__,Alex-Mason74,TeBz_Amnezia,,0,
bo2,bus-depot,flawless,,playstation,https://youtube.com/watch?v=z2gzZlEDuOI,,co-op,26,4,zTriCxX__,Alex-Mason74,TeBz_Amnezia,BLOCKS--ELEMEENT,0,
bo2,nuketown,first-room,,playstation,https://youtube.com/watch?v=8DhX_6aUi-A,,co-op,39,3,zTriCxX__,Alex-Mason74,TeBz_Amnezia,,0,
bo2,bus-depot,first-room,,playstation,https://youtube.com/watch?v=RcEabmKoVR8,,co-op,38,3,Alex-Mason74,TeBz_Amnezia,zTriCxX__,,0,
bo,der-riese,first-room,,playstation,https://youtube.com/watch?v=Vv5kTYe-70Q,,co-op,34,3,RainingZombies,TeBz_Amnezia,ZxmbieLegendGER,,0,
bo2,bus-depot,first-room,,playstation,https://youtube.com/watch?v=QhcctB_eWiw,,co-op,30,4,EvoReX_Prodigy,apasbeau,TeBz_Amnezia,Alex-Mason74,0,
bo2,die-rise,30-speedrun,,playstation,https://youtube.com/watch?v=d_6_u_i2Bgs,,co-op,51:44,3,Alex-Mason74,zTriCxX__,TeBz_Amnezia,,0,
bo2,farm,30-speedrun,,playstation,https://youtube.com/watch?v=1NGV3-puxQ8,,co-op,1:19:59,4,zTriCxX__,cascada70,TeBz_Amnezia,Alex-Mason74,0,
