game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,ascension,high-round,,xbox,http://twitch.tv/videos/664817374,,co-op,27,4,Tennit,a based godysey,China Lake,LegendOfE,0,
bo,der-riese,high-round,,xbox,http://twitch.tv/videos/657962013,,co-op,25,4,Tennit,a based godysey,LegendOfE,China Lake,0,
bo,shi-no-numa,high-round,,xbox,http://twitch.tv/videos/659746423,,co-op,23,4,Tennit,a based godysey,China Lake,LegendOfE,0,
waw,der-riese,high-round,original,xbox,http://twitch.tv/videos/633274569,,co-op,23,3,Tennit,LegendOfE,China Lake,,0,
waw,shi-no-numa,high-round,,xbox,http://twitch.tv/videos/633143821,,co-op,21,2,Tennit,LegendOfE,,,0,
bo,shangri-la,high-round,,xbox,http://twitch.tv/videos/679149833,,co-op,19,3,Tennit,LegendOfE,China Lake,,0,
bo,verruckt,high-round,,xbox,http://twitch.tv/videos/654255371,,co-op,18,3,Tennit,China Lake,LegendOfE,,0,
bo,call-of-the-dead,high-round,,xbox,http://twitch.tv/videos/647571195,,co-op,16,4,Tennit,LegendOfE,a based godysey,China Lake,0,
bo,moon,high-round,,xbox,http://twitch.tv/videos/653276359,,co-op,14,3,Tennit,LegendOfE,China Lake,,0,
waw,nacht-der-untoten,high-round,original,xbox,http://twitch.tv/videos/652331478,,co-op,14,4,Tennit,LegendOfE,China Lake,a based godysey,0,
bo,shi-no-numa,no-perks,,xbox,http://twitch.tv/videos/652180508,,solo,19,1,Tennit,,,,0,
bo,shi-no-numa,no-jug,,xbox,http://twitch.tv/videos/652180508,,solo,19,1,Tennit,,,,0,
