game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,tranzit,first-room,,xbox,https://youtube.com/watch?v=9baOoVA_u6U,,co-op,35,2,Pass da bleeze,Th3BiigBoss,,,0,
bo,der-riese,first-room,,xbox,https://youtube.com/watch?v=6V9r5niRddE,,co-op,34,3,Pass da bleeze,Runtz Fiend,Th3BiigBoss,,0,
bo2,die-rise,first-room,,xbox,https://youtube.com/watch?v=EFeQOKKy-uo,,co-op,33,2,theone53,Th3BiigBoss,,,0,
waw,der-riese,first-room,,xbox,https://youtube.com/watch?v=Fp8nww7PaFc,,co-op,32,2,Itz Lush Bby,Th3BiigBoss,,,0,
bo,ascension,first-room,,xbox,http://twitch.tv/videos/753605841,,co-op,32,3,Sin Piedaddd,BoggedFrame,Th3BiigBoss,,0,
bo,kino-der-toten,first-room,,xbox,https://youtube.com/watch?v=c-CVc5nnYeM,,co-op,31,2,jcfoge,Th3BiigBoss,,,0,
bo,ascension,first-room,,xbox,https://youtube.com/watch?v=zzQ6I4fadGQ,,co-op,30,4,BoggedFrame,Itz Lush Bby,Sin Piedaddd,Th3BiigBoss,0,
bo,kino-der-toten,first-room,,xbox,https://youtube.com/watch?v=U8CFLnFgQMQ,,co-op,29,3,jcfoge,Itz Lush Bby,Th3BiigBoss,,0,
waw,der-riese,first-room,,xbox,https://youtube.com/watch?v=vkeRcmV1pIY,,co-op,28,4,theone53,Pass da bleeze,Itz Lush Bby,Th3BiigBoss,0,
waw,nacht-der-untoten,first-room,,xbox,http://twitch.tv/videos/2268151398,,co-op,27,4,aZp DoG,TzT Luke,Th3BiigBoss,Itz Lush Bby,0,
bo,shi-no-numa,first-room,,xbox,https://youtube.com/watch?v=UDVTR7lsSTA,,co-op,27,3,Runtz Fiend,Th3BiigBoss,Itz Lush Bby,,0,
waw,der-riese,first-room,,xbox,https://youtube.com/watch?v=Pr3iURXo0mA,,co-op,26,3,Itz Lush Bby,theone53,Th3BiigBoss,,0,
waw,der-riese,first-room,,xbox,https://youtube.com/watch?v=kiakbR257hM,,co-op,25,4,Itz Lush Bby,Tonestone36,Th3BiigBoss,theone53,0,
waw,nacht-der-untoten,first-room,,xbox,https://youtube.com/watch?v=BjD5Ocb2uBA,,co-op,24,3,Itz Lush Bby,Th3BiigBoss,IBOX 24 7,,0,
waw,der-riese,first-room,,xbox,http://twitch.tv/videos/1410516918,,co-op,22,3,Doggo,Itz Lush Bby,Th3BiigBoss,,0,
waw,nacht-der-untoten,first-room,,xbox,http://twitch.tv/videos/901985377,,co-op,21,4,IB0X 24 7,Th3BiigBoss,Itz Lush Bby,Sin Piedaddd,0,
bo,kino-der-toten,first-room,,xbox,http://twitch.tv/videos/734204139,,co-op,21,4,FueledByCarbs,BoggedFrame,iDroolz,Th3BiigBoss,0,
waw,der-riese,first-room,,xbox,https://youtube.com/watch?v=yrpRc8cmMQg,,co-op,20,3,Itz Lush Bby,Th3BiigBoss,IBOX 24 7,,0,
waw,der-riese,first-room,,xbox,http://twitch.tv/videos/982219201,,co-op,19,4,Itz Lush Bby,Th3BiigBoss,IB0X 24 7,theone53,0,
waw,nacht-der-untoten,first-room,,xbox,http://twitch.tv/videos/742080178,,co-op,19,3,iDroolz,Th3BiigBoss,We Luv Grief,,0,
waw,verruckt,first-room,mixed,xbox,https://youtube.com/watch?v=WZsLYcSHx0o,,co-op,15,3,Doggo,Itz Lush Bby,Th3BiigBoss,,0,
community,verruckt,com-thompson,world-at-war,xbox,https://youtube.com/watch?v=7Z4MKtF2Ays,,co-op,17,4,theone53,Itz Lush Bby,Th3BiigBoss,TzT Luke,0,
