game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,citadelle-des-morts,high-round,with-gobblegums-with-support,cross-play,http://twitch.tv/videos/2336765209,,co-op,202,3,Thaddäus,MrMagicZombies,Its_Bxttle,,0,
bo6,terminus,high-round,with-gobblegums-with-support,playstation,http://twitch.tv/videos/2326977213,,co-op,194,2,Thaddäus,MrMagicZombies,,,0,
bo6,the-tomb,high-round,with-gobblegums-with-support,playstation,http://twitch.tv/videos/2367878593,,solo,142,1,Thaddäus,,,,0,
bo6,shattered-veil,high-round,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=vZBVVZO2Kgo,,co-op,121,3,MrMagicZombies,Thaddäus,Grievous,,0,
bo6,terminus,high-round,with-gobblegums-with-support,playstation,http://twitch.tv/videos/2316894694,,co-op,120,3,Thaddäus,MrMagicZombies,Its_Bxttle,,0,
bo6,citadelle-des-morts,high-round,no-gobblegums-with-support,playstation,http://twitch.tv/videos/2322031423,,co-op,100,2,Thaddäus,MrMagicZombies,,,0,
bo6,liberty-falls,high-round,with-gobblegums-with-support,playstation,http://twitch.tv/videos/2308638490,,co-op,100,2,Thaddäus,MrMagicZombies,,,0,
bo6,liberty-falls,high-round,with-gobblegums-no-support,playstation,http://twitch.tv/videos/2332737993,,co-op,81,2,Thaddäus,MrMagicZombies,,,0,
bo6,terminus,high-round,with-gobblegums-no-support,playstation,http://twitch.tv/videos/2320051051,,co-op,60,2,Thaddäus,MrMagicZombies,,,0,
bo6,terminus,high-round,with-gobblegums-no-support,playstation,http://twitch.tv/videos/2323197605,,solo,59,1,Thaddäus,,,,0,
bo6,liberty-falls,high-round,no-gobblegums-no-support,playstation,http://twitch.tv/videos/2333512298,,co-op,51,3,Thaddäus,MrMagicZombies,Its_Bxttle,,0,
sker-ritual,tides-of-terror,high-round,normal,playstation,http://twitch.tv/videos/2338515636,,co-op,49,2,MrMagicZombies,Thaddäus,,,0,
bo6,the-tomb,flawless,with-gobblegums-with-support,playstation,http://twitch.tv/videos/2367878593,,solo,142,1,Thaddäus,,,,0,
bo6,terminus,flawless,with-gobblegums-with-support,playstation,http://twitch.tv/videos/2316894694,,co-op,120,3,Thaddäus,MrMagicZombies,Its_Bxttle,,0,
bo6,citadelle-des-morts,flawless,with-gobblegums-with-support,cross-play,http://twitch.tv/videos/2336765207,,co-op,118,3,Thaddäus,MrMagicZombies,Its_Bxttle,,0,
bo6,terminus,flawless,no-gobblegums-with-support,playstation,http://twitch.tv/videos/2335607170,,co-op,111,2,Thaddäus,MrMagicZombies,,,0,
bo6,liberty-falls,flawless,with-gobblegums-no-support,playstation,http://twitch.tv/videos/2332737993,,co-op,81,2,Thaddäus,MrMagicZombies,,,0,
bo6,terminus,flawless,with-gobblegums-no-support,playstation,http://twitch.tv/videos/2320051051,,co-op,60,2,Thaddäus,MrMagicZombies,,,0,
bo6,citadelle-des-morts,first-room,with-gobblegums-with-support,cross-play,http://twitch.tv/videos/2336765209,,co-op,202,3,Thaddäus,MrMagicZombies,Its_Bxttle,,0,
bo6,citadelle-des-morts,first-room,no-gobblegums-with-support,playstation,http://twitch.tv/videos/2322031423,,co-op,100,2,Thaddäus,MrMagicZombies,,,0,
