game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,die-rise,high-round,,xbox,https://youtube.com/watch?v=_qAgdLKA0zk,,co-op,77,3,Sary,ThatGuyWhoCamps,ECSPENSIVE,,0,
bo2,die-rise,high-round,,xbox,http://twitch.tv/videos/213519535,,co-op,60,4,Sary,ECSPENSIVE,ThatGuyWhoCamps,Tonestone36,0,
bo,der-riese,high-round,,xbox,https://youtube.com/watch?v=R-ieFh1ZyAI,,co-op,51,4,Sary,Frooostbyte,Tonestone36,ThatGuyWhoCamps,0,
bo2,origins,high-round,,xbox,https://youtube.com/watch?v=tgvSYpY3vQ8,,co-op,51,3,Sary,ThatGuyWhoCamps,ECSPENSIVE,,0,
bo2,nuketown,high-round,,xbox,https://youtube.com/watch?v=4yC1BGAtJmQ,,co-op,46,3,Sary,ECSPENSIVE,ThatGuyWhoCamps,,0,
bo,shangri-la,high-round,,xbox,https://youtube.com/watch?v=fHIxzFFqBaQ,,co-op,44,3,Sary,ThatGuyWhoCamps,ECSPENSIVE,,0,
bo,verruckt,high-round,,xbox,https://youtube.com/watch?v=8sXisARCr04,,co-op,41,3,Sary,ThatGuyWhoCamps,ECSPENSIVE,,0,
bo2,die-rise,high-round,,xbox,https://youtube.com/watch?v=TisOtswOOxo,,co-op,34,4,RelaxingEnd,ThatGuyWhoCamps,ChristianR87,Nuppi69,0,
bo2,nuketown,high-round,,xbox,https://youtube.com/watch?v=OhDzEQ_BOEU,,co-op,33,4,RelaxingEnd,ThatGuyWhoCamps,MatoMaster21,ChristianR87,0,
bo,ascension,first-room,,xbox,http://twitch.tv/videos/213519175,,co-op,28,4,Sary,Tonestone36,ThatGuyWhoCamps,ECSPENSIVE,0,
bo2,die-rise,no-power,,xbox,http://twitch.tv/videos/225581288,,co-op,63,3,Sary,ECSPENSIVE,ThatGuyWhoCamps,,0,
bo2,die-rise,no-power,,xbox,http://twitch.tv/videos/225582476,,co-op,58,4,Sary,ECSPENSIVE,HuntersParidise,ThatGuyWhoCamps,0,
bo,shangri-la,no-power,,xbox,https://youtube.com/watch?v=YPPXxfnfCAc,,co-op,40,3,Sary,ECSPENSIVE,ThatGuyWhoCamps,,0,
waw,der-riese,30-speedrun,original,xbox,http://twitch.tv/videos/227139752,,co-op,1:01:41,3,Sary,ThatGuyWhoCamps,Teazdale,,0,
bo,ascension,30-speedrun,,xbox,http://twitch.tv/videos/222739938,,co-op,1:16:09,4,Sary,ECSPENSIVE,Tonestone36,ThatGuyWhoCamps,0,
waw,der-riese,30-speedrun,original,xbox,http://twitch.tv/videos/226199026,,co-op,1:24:35,4,Sary,HuntersParidise,ThatGuyWhoCamps,ECSPENSIVE,0,
bo,call-of-the-dead,30-speedrun,,xbox,http://twitch.tv/videos/215416125,,co-op,1:34:05,3,Sary,ECSPENSIVE,ThatGuyWhoCamps,,0,
bo,shangri-la,30-speedrun,,xbox,http://twitch.tv/videos/222738354,,co-op,1:59:56,4,Sary,ECSPENSIVE,ThatGuyWhoCamps,Teazdale,0,
bo,der-riese,50-speedrun,,xbox,http://twitch.tv/videos/205132628,,co-op,3:05:17,3,Sary,ECSPENSIVE,ThatGuyWhoCamps,,0,
bo2,die-rise,50-speedrun,,xbox,http://twitch.tv/videos/214659479,,co-op,3:38:18,4,Sary,ECSPENSIVE,ThatGuyWhoCamps,Tonestone36,0,
