game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/1879190529,,co-op,68,3,Crazyx18,Tsuyu,The Rouxlive,,0,
waw,der-riese,high-round,original,xbox,http://twitch.tv/videos/23856989,,co-op,51,3,aZp TicTac,The Rouxlive,SiZ ReFleX,,0,
waw,der-riese,high-round,original,xbox,http://twitch.tv/videos/21847851,,co-op,44,4,aZp TicTac,The Rouxlive,Crazyx18,Zephiiix,0,
aw,infection,first-room,,xbox,https://youtube.com/watch?v=v03D5DHb5ws,,co-op,26,2,RelaxingEnd,The Rouxlive,,,0,
bo3,shadows-of-evil,no-power,mega-gobblegum,xbox,https://youtube.com/watch?v=S_W4seI4V-M,,co-op,107,2,The Rouxlive,Kaapinho,,,0,
bo3,the-giant,no-power,mega-gobblegum,xbox,http://twitch.tv/videos/60336600,,solo,83,1,The Rouxlive,,,,0,
bo3,the-giant,no-power,mega-gobblegum,xbox,http://twitch.tv/videos/58258177,,co-op,81,2,The Rouxlive,Kaapinho,,,0,
bo3,der-eisendrache,no-power,mega-gobblegum,xbox,http://twitch.tv/videos/61969984,,solo,62,1,The Rouxlive,,,,0,
waw,der-riese,30-speedrun,original,xbox,http://twitch.tv/videos/23671737,,co-op,44:25,2,aZp TicTac,The Rouxlive,,,0,
bo,kino-der-toten,30-speedrun,,xbox,http://twitch.tv/videos/72019255,,co-op,59:05,3,SESH,The Rouxlive,NivekZo,,0,
waw,der-riese,30-speedrun,original,xbox,http://twitch.tv/videos/23856989,,co-op,1:13:03,3,aZp TicTac,The Rouxlive,SiZ ReFleX,,0,
waw,verruckt,30-speedrun,none,xbox,http://twitch.tv/videos/23859225,,co-op,1:24:18,2,aZp TicTac,The Rouxlive,,,0,
waw,der-riese,30-speedrun,original,xbox,http://twitch.tv/videos/21847851,,co-op,1:36:06,4,aZp TicTac,Crazyx18,The Rouxlive,Zephiiix,0,
waw,der-riese,50-speedrun,original,xbox,http://twitch.tv/videos/,,co-op,5:08:39,3,aZp TicTac,The Rouxlive,SiZ ReFleX,,0,
ghosts,mayday,points-chaos-extinction,,xbox,https://youtube.com/watch?v=8SBrzHplj6w,,co-op,20186760,4,RelaxingEnd,MatoMaster21,The Rouxlive,SiZ ReFleX,0,
ghosts,point-of-contact,points-chaos-extinction,,xbox,https://youtube.com/watch?v=wxoyLB3Dq5M,,co-op,14375790,4,RelaxingEnd,MatoMaster21,SiZ ReFleX,The Rouxlive,0,
ghosts,nightfall,points-chaos-extinction,,xbox,https://youtube.com/watch?v=E4dD1VdAWkQ,,co-op,11030800,4,RelaxingEnd,MatoMaster21,SiZ ReFleX,The Rouxlive,0,
ghosts,nightfall,points-chaos-extinction,,xbox,https://youtube.com/watch?v=s5Ga3EjFBzQ,,co-op,4142385,4,RelaxingEnd,MatoMaster21,ChristianR87,The Rouxlive,0,
