game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
wwii,bodega-cervantes,high-round,,playstation,http://twitch.tv/videos/2111275605,,co-op,200,2,TheAwakened1,TheOnlyDesire,,,0,
iw,spaceland,high-round,fate-fortune-cards,playstation,http://twitch.tv/videos/1952367663,,co-op,144,2,TheAwakened1,TheOnlyDesire,,,0,
iw,spaceland,high-round,fate-cards-only,playstation,http://twitch.tv/videos/2059171001,,co-op,125,2,TheAwakened1,TheOnlyDesire,,,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=gV8dyCby21g,,co-op,110,2,TheOnlyNightmare,TheOnlyDesire,,,0,
wwii,uss-mount-olympus,high-round,,playstation,http://twitch.tv/videos/1975494911,,co-op,104,2,TheAwakened1,TheOnlyDesire,,,0,
iw,attack-of-the-radioactive-thing,high-round,fate-cards-only,playstation,http://twitch.tv/videos/1495301076,,co-op,102,3,TheOnlyNightmare,TheOnlyDesire,TheAwakened1,,0,
iw,spaceland,high-round,fate-cards-only,playstation,http://twitch.tv/videos/1605661974,,co-op,101,3,TheAwakened1,TheOnlyDesire,TheOnlyNightmare,,0,
iw,rave-in-the-redwoods,high-round,fate-fortune-cards,playstation,http://twitch.tv/videos/2053641807,,co-op,100,3,TripOverThis420,TheAwakened1,TheOnlyDesire,,0,
iw,spaceland,high-round,fate-cards-only,playstation,http://twitch.tv/videos/1963788101,,co-op,91,4,TheOnlyNightmare,TheAwakened1,TheOnlyStorm,TheOnlyDesire,0,
wwii,the-darkest-shore,high-round,,playstation,https://youtube.com/watch?v=_07bGrpfhr4,,co-op,90,4,I love controversy,TheAwakened1,TheOnlyNightmare,TheOnlyDesire,0,
wwii,the-darkest-shore,high-round,,playstation,http://twitch.tv/videos/1262501199,,co-op,90,3,TheAwakened1,TheOnlyDesire,Speticgaming,,0,
iw,rave-in-the-redwoods,high-round,fate-cards-only,playstation,http://twitch.tv/videos/2224859289,,co-op,86,4,TheAwakened1,TheOnlyNightmare,TheOnlyDesire,KnivesOnly3971,0,
iw,spaceland,high-round,fate-fortune-cards,playstation,https://youtube.com/watch?v=ABBgIewfxgw,,co-op,82,4,TripOverThis420,TheAwakened1,TheOnlyDesire,Kama,0,
