game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,verruckt,high-round,classic-gobblegum-only,playstation,http://twitch.tv/videos/525201232,,co-op,53,4,BAN MY XB0X,dtpuka98,Spykes27,TheRussianHorse,0,
bo4,blood-of-the-dead,first-room,no-elixirs,playstation,http://twitch.tv/videos/514274741,,co-op,35,4,BAN MY XB0X,dtpuka98,Spykes27,TheRussianHorse,0,
bo4,dead-of-the-night,first-room,no-elixirs,playstation,https://youtube.com/watch?v=iLYMnQxumtA,,solo,21,1,TheRussianHorse,,,,0,
bo4,blood-of-the-dead,no-power,no-elixirs,playstation,http://twitch.tv/videos/514274741,,co-op,35,4,BAN MY XB0X,Spykes27,TheRussianHorse,dtpuka98,0,
bo4,blood-of-the-dead,no-power,no-elixirs-hardcore,playstation,https://youtube.com/watch?v=CJ5kJTKlLZI,,solo,29,1,TheRussianHorse,,,,0,
bo4,tag-der-toten,no-perks,classic-elixirs-only,playstation,https://youtube.com/watch?v=w3Bh3QjuZp4,,solo,56,1,TheRussianHorse,,,,0,
bo3,moon,no-perks,no-gobblegum,playstation,https://youtube.com/watch?v=Y-XqYa-ZeTs,,solo,43,1,TheRussianHorse,,,,0,
bo4,voyage-of-despair,no-perks,classic-elixirs-only,playstation,https://youtube.com/watch?v=68ODbntUcAo,,solo,43,1,TheRussianHorse,,,,0,
bo3,shi-no-numa,no-perks,classic-gobblegum-only,playstation,https://youtube.com/watch?v=KkjsYoCV0P0,,solo,30,1,TheRussianHorse,,,,0,
bo3,shangri-la,no-perks,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Cm_YrrLs69c,,solo,18,1,TheRussianHorse,,,,0,
wwii,uss-mount-olympus,wwii-no-armor,with-consumables,playstation,https://youtube.com/watch?v=O6aW4J1_1bk,,co-op,69,2,Lucario_Project,TheRussianHorse,,,0,
wwii,uss-mount-olympus,no-blitz,no-consumables,playstation,https://youtube.com/watch?v=SKyLkwqMaN4,,co-op,56,2,Lucario_Project,TheRussianHorse,,,0,
wwii,uss-mount-olympus,no-blitz,with-consumables,playstation,https://youtube.com/watch?v=U2usvtD2u9I,,co-op,48,2,Lucario_Project,TheRussianHorse,,,0,
wwii,altar-of-blood,no-blitz,with-consumables,playstation,https://youtube.com/watch?v=I-QyBqaBNMA,,solo,44,1,TheRussianHorse,,,,0,
community,spaceland,com-second-room,fate-cards-only,playstation,https://youtube.com/watch?v=qS2dLa7GWC0,,co-op,23,2,Lucario_Project,TheRussianHorse,,,0,
community,spaceland,com-second-room,fate-cards-only,playstation,https://youtube.com/watch?v=qS2dLa7GWC0,,co-op,21,3,Lucario_Project,TheRussianHorse,TCC_KP6000,,0,
