game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
mw3,dome,high-round-survival,no-traps,steam,https://youtube.com/watch?v=tUSq-RYKggE,,co-op,213,2,Evan360flip,ThedostroPL,,,0,
mw3,underground,high-round-survival,with-traps,steam,https://youtube.com/watch?v=MULf-J9t71A,,solo,206,1,ThedostroPL,,,,0,
mw3,bakaara,high-round-survival,with-traps,steam,https://youtube.com/watch?v=HLBqh_buE08,,solo,192,1,ThedostroPL,,,,0,
mw3,seatown,high-round-survival,with-traps,steam,https://youtube.com/watch?v=Nylxtcoq6t8,,solo,176,1,ThedostroPL,,,,0,
mw3,carbon,high-round-survival,with-traps,steam,https://youtube.com/watch?v=KnJ2tcn_LIw,,solo,171,1,ThedostroPL,,,,0,
mw3,arkaden,high-round-survival,with-traps,steam,https://youtube.com/watch?v=AwUAMVEd1_E,,solo,133,1,ThedostroPL,,,,0,
mw3,seatown,high-round-survival,with-traps,steam,https://youtube.com/watch?v=LzZ4Vu1PN3g,,co-op,129,2,ThedostroPL,Nene,,,0,
mw3,hardhat,high-round-survival,with-traps,steam,https://youtube.com/watch?v=12wprkZo0p0,,solo,113,1,ThedostroPL,,,,0,
mw3,bakaara,high-round-survival,with-traps,steam,https://youtube.com/watch?v=W2Slz-Lqyj0,,co-op,112,2,ThedostroPL,PiterChromePL,,,0,
mw3,village,high-round-survival,with-traps,steam,https://youtube.com/watch?v=ukBtj_pjTt8,,solo,110,1,ThedostroPL,,,,0,
mw3,dome,high-round-survival,with-traps,steam,https://youtube.com/watch?v=VjvwOypK12E,,co-op,101,2,Evan360flip,ThedostroPL,,,0,
mw3,boardwalk,high-round-survival,with-traps,steam,https://youtube.com/watch?v=27tLMImvVtM,,solo,96,1,ThedostroPL,,,,0,
mw3,foundation,high-round-survival,with-traps,steam,https://youtube.com/watch?v=AiedjNPKa-I,,solo,96,1,ThedostroPL,,,,0,
mw3,liberation,high-round-survival,with-traps,steam,https://youtube.com/watch?v=ZnM7cIafXJ8,,solo,63,1,ThedostroPL,,,,0,
mw3,lockdown,high-round-survival,with-traps,steam,https://youtube.com/watch?v=JJ7XpDnaqko,,solo,52,1,ThedostroPL,,,,0,
mw3,interchange,high-round-survival,with-traps,steam,https://youtube.com/watch?v=flaXL98Uhbk,,solo,49,1,ThedostroPL,,,,0,
mw3,interchange,high-round-survival,with-traps,steam,https://youtube.com/watch?v=hpTDI9b4tyA,,co-op,42,2,ThedostroPL,say cheese,,,0,
