game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,high-round,classic-elixirs-only,battle.net,https://youtube.com/watch?v=6d3q-C0Ey0s,,solo,449,1,Thezombieguru,,,,0,
bo4,ancient-evil,high-round,classic-elixirs-only,playstation,https://youtube.com/watch?v=S-Tpj2fJgv8,,solo,378,1,Thezombieguru,,,,0,
bo4,ancient-evil,high-round,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=CzWrO1pi_FQ,,solo,337,1,Thezombieguru,,,,0,
bo4,ix,high-round,classic-elixirs-only,battle.net,https://youtube.com/watch?v=Z0G1bRo6Y8w,,solo,304,1,Thezombieguru,,,,0,
bo4,voyage-of-despair,high-round,classic-elixirs-only,playstation,https://youtube.com/watch?v=hbtad0b_OZ8,,solo,283,1,Thezombieguru,,,,0,
bo4,classified,high-round,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=1S8aNcwMjtI,,solo,256,1,Thezombieguru,,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=YCQQA90Wd3c,,solo,255,1,Thezombieguru,,,,0,
waw,der-riese,high-round,original,steam,https://youtube.com/watch?v=9c5DtBXFTI8,,co-op,106,3,InsomniaVirus,Thezombieguru,Mystic,,0,
bo4,ancient-evil,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=CzWrO1pi_FQ,,solo,337,1,Thezombieguru,,,,0,
bo4,ix,flawless,classic-elixirs-only,battle.net,https://youtube.com/watch?v=eZrTfBa-Cfs,,solo,299,1,Thezombieguru,,,,0,
bo4,ancient-evil,no-perks,all-elixirs-talismans-hardcore,battle.net,https://youtube.com/watch?v=vDF8wpOyZv4,,solo,190,1,Thezombieguru,,,,0,
bo4,ancient-evil,no-perks,classic-elixirs-only-hardcore,battle.net,https://youtube.com/watch?v=bduG6XGgB7g,,solo,158,1,Thezombieguru,,,,0,
bo4,ancient-evil,no-perks,no-elixirs-hardcore,battle.net,https://youtube.com/watch?v=dhKina-aUrM,,solo,155,1,Thezombieguru,,,,0,
bo,moon,50-speedrun,,steam,https://youtube.com/watch?v=v4AN8kJLVKk,,solo,1:18:16,1,Thezombieguru,,,,0,
bo4,ancient-evil,50-speedrun,classic-elixirs-only-realistic,battle.net,https://youtube.com/watch?v=OXkQz5ZZg3E,,solo,3:48:13,1,Thezombieguru,,,,0,
bo,moon,70-speedrun,,steam,https://youtube.com/watch?v=v4AN8kJLVKk,,solo,2:32:49,1,Thezombieguru,,,,0,
bo4,tag-der-toten,100-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=6slGv8Yj3LE,,solo,1:37:30,1,Thezombieguru,,,,0,
bo4,ancient-evil,100-speedrun,all-elixirs-talismans-hardcore,battle.net,https://youtube.com/watch?v=aRv6ryE-AFo,,solo,2:34:57,1,Thezombieguru,,,,0,
bo4,classified,100-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=P95XBzjXOAU,,solo,2:41:06,1,Thezombieguru,,,,0,
bo4,ancient-evil,100-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=sdKRHQRgToc,,solo,2:42:57,1,Thezombieguru,,,,0,
bo,moon,100-speedrun,,steam,https://youtube.com/watch?v=1taszXzOqjA,,solo,6:09:36,1,Thezombieguru,,,,0,
bo4,tag-der-toten,200-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=H5l_SIbJzkU,,solo,9:20:32,1,Thezombieguru,,,,0,
bo4,tag-der-toten,200-speedrun,classic-elixirs-only-hardcore,battle.net,https://youtube.com/watch?v=ESWrPX09GoQ,,solo,13:07:21,1,Thezombieguru,,,,0,
bo4,ix,200-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=WVtNqjrwKiE,,solo,19:41:28,1,Thezombieguru,,,,0,
bo4,ancient-evil,200-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=PtAMnO8aXLM,,solo,19:58:46,1,Thezombieguru,,,,0,
bo4,voyage-of-despair,200-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=xmog6AeX5m8,,solo,29:49:46,1,Thezombieguru,,,,0,
bo3,shadows-of-evil,255-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=YCQQA90Wd3c,,solo,35:17:07,1,Thezombieguru,,,,0,
bo4,tag-der-toten,instakill-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=APNC0TfEaAo,,solo,4:55:33,1,Thezombieguru,,,,0,
bo4,tag-der-toten,instakill-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=R-pVUA_-I7g,,solo,7:55:15,1,Thezombieguru,,,,0,
bo4,ancient-evil,instakill-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=82A_K65tGpA,,solo,10:42:07,1,Thezombieguru,,,,0,
bo4,dead-of-the-night,instakill-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=stRBltSCG64,,solo,13:08:37,1,Thezombieguru,,,,0,
bo4,classified,ee-speedrun,all-elixirs-talismans-round-150,battle.net,https://youtube.com/watch?v=P95XBzjXOAU,,solo,6:57:28,1,Thezombieguru,,,,0,
community,verruckt-waw,com-one-room,,steam,https://youtube.com/watch?v=yMocARKt6xM,,co-op,25,2,InsomniaVirus,Thezombieguru,,,0,
