game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
custom,town-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=PYLiEBhtYWM,,solo,81,1,Timster1337,,,,0,
custom,nuketown-reimagined-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1061113463,,co-op,24,2,Timster1337,FantaExotic,,,0,
bo2,farm,no-magic,,steam,http://twitch.tv/videos/410680278,,solo,20,1,Timster1337,,,,0,
mw3,seatown,high-round-survival,no-traps,steam,http://twitch.tv/videos/530006023,,co-op,33,2,Timster1337,OneZ,,,0,
mw3,mission,high-round-survival,no-traps,steam,http://twitch.tv/videos/530823798,,co-op,30,2,Timster1337,OneZ,,,0,
mw3,arkaden,high-round-survival,no-traps,steam,http://twitch.tv/videos/530823261,,co-op,28,2,Timster1337,OneZ,,,0,
mw3,interchange,high-round-survival,no-traps,steam,http://twitch.tv/videos/534347489,,co-op,26,2,Timster1337,OneZ,,,0,
mw3,village,high-round-survival,no-traps,steam,http://twitch.tv/videos/531379968,,co-op,26,2,Timster1337,OneZ,,,0,
mw3,dome,high-round-survival,no-traps,steam,http://twitch.tv/videos/530007318,,co-op,21,2,Timster1337,OneZ,,,0,
mw3,interchange,no-guns-survival,,steam,http://twitch.tv/videos/530330626,,solo,11,1,Timster1337,,,,0,
