game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,gorod-krovi,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/1057494533,,solo,133,1,ToastAYE,,,,0,
bo3,moon,high-round,no-gobblegum,xbox,http://twitch.tv/videos/445608200,,solo,103,1,ToastAYE,,,,0,
bo4,voyage-of-despair,high-round,classic-elixirs-only,xbox,http://twitch.tv/videos/450341964,,co-op,30,4,T senior1017,ToastAYE,RIDER788,Bobothebot,0,
bo3,moon,flawless,no-gobblegum,xbox,http://twitch.tv/videos/318793662,,solo,71,1,ToastAYE,,,,0,
bo3,verruckt,flawless,no-gobblegum,xbox,http://twitch.tv/videos/299865255,,solo,34,1,ToastAYE,,,,0,
bo3,shadows-of-evil,no-aat,classic-gobblegum-only,steam,http://twitch.tv/videos/1311724907,,solo,110,1,ToastAYE,,,,0,
bo3,moon,nml,classic-gobblegum-only,xbox,http://twitch.tv/videos/305692636,,solo,2696,1,ToastAYE,,,,0,
bo3,moon,nml,no-gobblegum,xbox,http://twitch.tv/videos/306510573,,solo,328,1,ToastAYE,,,,0,
bo2,town,first-room,classic,xbox,http://twitch.tv/videos/311951711,,solo,31,1,ToastAYE,,,,0,
bo3,verruckt,first-room,no-gobblegum-quick-side,xbox,http://twitch.tv/videos/309020856,,solo,13,1,ToastAYE,,,,0,
bo3,verruckt,first-room,no-gobblegum-quick-side,xbox,http://twitch.tv/videos/309797804,,co-op,12,2,RIDER788,ToastAYE,,,0,
bo3,shadows-of-evil,no-power,no-gobblegum,steam,http://twitch.tv/videos/1308397198,,solo,79,1,ToastAYE,,,,0,
bo2,origins,no-power,,xbox,http://twitch.tv/videos/1066144382,,solo,61,1,ToastAYE,,,,0,
bo2,nuketown,bo2-no-jug,,steam,https://youtube.com/watch?v=BSIByQbMKQ4,,solo,53,1,ToastAYE,,,,0,
bo3,moon,no-jug,no-gobblegum,xbox,http://twitch.tv/videos/1065633080,,solo,108,1,ToastAYE,,,,0,
bo3,moon,no-jug,mega-gobblegum,xbox,http://twitch.tv/videos/320830976,,solo,101,1,ToastAYE,,,,0,
bo4,ix,30-speedrun,classic-elixirs-only,xbox,http://twitch.tv/videos/1081032164,,solo,27:15,1,ToastAYE,,,,0,
bo3,ascension,30-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=BvOylD5p6_g,,solo,29:34,1,ToastAYE,,,,0,
bo,five,30-speedrun,,steam,https://youtube.com/watch?v=mMWc2Na5ub4,,solo,30:46,1,ToastAYE,,,,0,
bo2,town,30-speedrun,,steam,https://youtube.com/watch?v=jezhdjHKd04,,solo,32:12,1,ToastAYE,,,,0,
bo3,moon,30-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/1047412473,,solo,34:39,1,ToastAYE,,,,0,
bo3,verruckt,30-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/320266531,,co-op,35:07,2,ToastAYE,RIDER788,,,0,
bo3,ascension,30-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/321457165,,co-op,35:17,2,ToastAYE,RIDER788,,,0,
bo2,buried,30-speedrun,,xbox,http://twitch.tv/videos/462575855,,solo,36:02,1,ToastAYE,,,,0,
bo3,moon,30-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/321456311,,co-op,39:39,2,ToastAYE,RIDER788,,,0,
bo4,ix,50-speedrun,classic-elixirs-only,xbox,http://twitch.tv/videos/1081032164,,solo,53:04,1,ToastAYE,,,,0,
bo3,ascension,50-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=WL_YbwMq2ZA,,solo,56:03,1,ToastAYE,,,,0,
bo2,origins,50-speedrun,,steam,https://youtube.com/watch?v=ct4jIQeE85U,,solo,1:00:52,1,ToastAYE,,,,0,
bo3,moon,50-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/1047412473,,solo,1:02:03,1,ToastAYE,,,,0,
bo2,origins,70-speedrun,,steam,http://twitch.tv/videos/1539994443,,solo,1:34:17,1,ToastAYE,,,,0,
