game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,alpha-omega,high-round,classic-elixirs-only,playstation,http://twitch.tv/videos/1676695848,,solo,200,1,Turl,,,,0,
bo3,origins,high-round,no-gobblegum,playstation,http://twitch.tv/videos/154581849,,solo,61,1,Turl,,,,0,
bo4,alpha-omega,flawless,classic-elixirs-only,playstation,http://twitch.tv/videos/1676695848,,solo,200,1,Turl,,,,0,
bo3,origins,flawless,no-gobblegum,playstation,http://twitch.tv/videos/154581849,,solo,61,1,Turl,,,,0,
bocw,forsaken,no-perks,with-support,steam,http://twitch.tv/videos/1173111790,,solo,44,1,Turl,,,,0,
bocw,forsaken,30-speedrun,none,steam,http://twitch.tv/videos/1173111790,,solo,20:20,1,Turl,,,,0,
bocw,mauer-der-toten,30-speedrun,normal,steam,http://twitch.tv/videos/1088490666,,solo,40:34,1,Turl,,,,0,
bocw,forsaken,50-speedrun,none,steam,http://twitch.tv/videos/1172334244,,co-op,1:28:48,2,Turl,Burnboi08,,,0,
vanguard,shi-no-numa-reborn,ee-speedrun,,steam,http://twitch.tv/videos/1956979000,,solo,24:32,1,Turl,,,,0,
vanguard,shi-no-numa-reborn,build-speedrun,,steam,http://twitch.tv/videos/1956979000,,solo,24:31,1,Turl,,,,0,
