game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=ZxiphNrsVLw,,co-op,106,3,ZKL_Momo,TzL_Zombiosaure,ZKL_allstargamer,,0,
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=q-YVSM2myeI,,co-op,88,4,ZKL_allstargamer,ZKL_Momo,TzL_Zombiosaure,Tzl_Galactik30,0,
bo4,classified,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=2pU8ZMaK7ao,,co-op,85,3,TzL_Zombiosaure,ZKL_Momo,ZKL_allstargamer,,0,
bo4,classified,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=ffKmydGZM6I,,co-op,81,4,Yo-7787,ZKL_Momo,TzL_Zombiosaure,ZKL_allstargamer,0,
bo4,tag-der-toten-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=ID1h6qS7kHo,,solo,101,1,TzL_Zombiosaure,,,,0,
bo4,ancient-evil-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=YUu9VmT7-PI,,co-op,69,3,ZKL_Momo,TzL_Zombiosaure,LTK_Marsou_67,,0,
bo4,blood-of-the-dead-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=LSxdT6hGB7g,,co-op,64,3,ZKL_allstargamer,ZKL_Momo,TzL_Zombiosaure,,0,
bo4,blood-of-the-dead-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=7JAikMg_cmw,,co-op,58,4,ZKL_Momo,ZKL_allstargamer,LTK_Momo_115,TzL_Zombiosaure,0,
bo4,classified-hardcore,high-round-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=BWWhlli8n7I,,co-op,53,3,ZKL_Momo,TzL_Zombiosaure,LTK_Marsou_67,,0,
bo4,tag-der-toten,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=ZxiphNrsVLw,,co-op,106,3,ZKL_Momo,ZKL_allstargamer,TzL_Zombiosaure,,0,
bo4,tag-der-toten,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=q-YVSM2myeI,,co-op,88,4,ZKL_allstargamer,ZKL_Momo,TzL_Zombiosaure,Tzl_Galactik30,0,
bo4,classified,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=2pU8ZMaK7ao,,co-op,85,3,ZKL_Momo,TzL_Zombiosaure,ZKL_allstargamer,,0,
bo4,classified,flawless,all-elixirs-talismans,playstation,https://youtube.com/watch?v=ffKmydGZM6I,,co-op,81,4,ZKL_allstargamer,ZKL_Momo,TzL_Zombiosaure,Yo-7787,0,
