game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,ancient-evil,high-round,classic-elixirs-only,playstation,https://youtube.com/watch?v=GzPbwmZWxu8,,co-op,71,2,Palkia1988,VDCT ruumple1998,,,0,
bo3,origins,no-aat,classic-gobblegum-only,playstation,https://youtube.com/watch?v=RJssEhUmrDI,,solo,100,1,VDCT ruumple1998,,,,0,
bo3,zetsubou-no-shima,no-aat,no-gobblegum,playstation,https://youtube.com/watch?v=Hd8eAEdCNW8,,solo,44,1,VDCT ruumple1998,,,,0,
bo3,the-giant,no-aat,no-gobblegum,playstation,https://youtube.com/watch?v=gNh4kGLR-4o,,solo,42,1,VDCT ruumple1998,,,,0,
bo4,tag-der-toten,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=56HhyW_OOUo,,solo,63,1,VDCT ruumple1998,,,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=zi4kIhOS-vo,,solo,53,1,VDCT ruumple1998,,,,0,
bo4,dead-of-the-night,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=D1p5cVV2-2I,,solo,45,1,VDCT ruumple1998,,,,0,
bo4,alpha-omega,first-room,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=Rhg4qA96txY,,solo,40,1,VDCT ruumple1998,,,,0,
bo4,tag-der-toten,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=HkiGZ1BRzBU,,solo,32,1,VDCT ruumple1998,,,,0,
iw,rave-in-the-redwoods,first-room,fate-fortune-cards,playstation,https://youtube.com/watch?v=VwXah0J4t3k,,solo,25,1,VDCT ruumple1998,,,,0,
bo4,ancient-evil,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=-npU3sr4umE,,co-op,25,2,Palkia1988,VDCT ruumple1998,,,0,
vanguard,the-archon,first-room,,playstation,https://youtube.com/watch?v=4MHvNVqi1z8,,solo,19,1,VDCT ruumple1998,,,,0,
iw,rave-in-the-redwoods,first-room,fate-cards-only,playstation,https://youtube.com/watch?v=A8TGtU47oOY,,solo,16,1,VDCT ruumple1998,,,,0,
custom,town-reimagined-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=lo6jV0WGNxs,,solo,67,1,VDCT ruumple1998,,,,0,
custom,europa-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=3CkOrDTW3AQ,,solo,12,1,VDCT ruumple1998,,,,0,
iw,rave-in-the-redwoods,no-power,fate-cards-only,playstation,https://youtube.com/watch?v=UdaLssd3uEM,,solo,39,1,VDCT ruumple1998,,,,0,
