game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,blood-of-the-dead,high-round,classic-elixirs-only,playstation,https://youtube.com/watch?v=FoS4a6DIdQY,,solo,451,1,Venomz,,,,0,
bo4,classified,high-round,classic-elixirs-only,playstation,https://youtube.com/watch?v=TI067eUdW30,,solo,274,1,Venomz,,,,0,
bo4,blood-of-the-dead,high-round,classic-elixirs-only,playstation,http://twitch.tv/videos/1476732462,,co-op,160,2,Venomz,CeeJay,,,0,
bo3,ascension,high-round,classic-gobblegum-only,playstation,http://twitch.tv/videos/941141748,,co-op,96,3,Venomz,Data,GalaxyThunder,,0,
bo4,blood-of-the-dead,flawless,classic-elixirs-only,playstation,http://twitch.tv/videos/2026621885,,solo,429,1,Venomz,,,,0,
bo3,kino-der-toten,flawless,mega-gobblegum,playstation,http://twitch.tv/videos/690681373,,co-op,61,4,Venomz,ExoTikLiFeLiNe,Jerk,Hooligan166,0,
bo4,blood-of-the-dead,no-perks,classic-elixirs-only,playstation,http://twitch.tv/videos/2170296618,,solo,178,1,Venomz,,,,0,
bo4,blood-of-the-dead,no-perks,no-elixirs,playstation,https://youtube.com/watch?v=3pLl2TdtlLI,,solo,170,1,Venomz,,,,0,
bo4,blood-of-the-dead,no-perks,all-elixirs-talismans,playstation,http://twitch.tv/videos/2220845339,,solo,148,1,Venomz,,,,0,
bo4,blood-of-the-dead,50-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=eciCuk5pU9Y,,solo,51:57,1,Venomz,,,,0,
bo4,blood-of-the-dead,50-speedrun,classic-elixirs-only-hardcore,playstation,http://twitch.tv/videos/2217513151,,solo,54:16,1,Venomz,,,,0,
bo4,blood-of-the-dead,70-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=eciCuk5pU9Y,,solo,1:21:26,1,Venomz,,,,0,
bo4,blood-of-the-dead,70-speedrun,classic-elixirs-only-hardcore,playstation,http://twitch.tv/videos/2245316318,,solo,1:42:50,1,Venomz,,,,0,
bo4,blood-of-the-dead,100-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=5g_VIzkraOg,,solo,2:34:02,1,Venomz,,,,0,
bo4,classified,100-speedrun,classic-elixirs-only,playstation,http://twitch.tv/videos/1516705188,,solo,2:52:21,1,Venomz,,,,0,
bo4,blood-of-the-dead,100-speedrun,classic-elixirs-only-hardcore,playstation,http://twitch.tv/videos/2245316800,,solo,3:38:12,1,Venomz,,,,0,
bo4,blood-of-the-dead,100-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=WFo5OguQp1U,,co-op,4:30:01,2,Venomz,CeeJay,,,0,
bo3,kino-der-toten,100-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/688691290,,co-op,5:04:23,2,ExoTikLiFeLiNe,Venomz,,,0,
bo4,blood-of-the-dead,200-speedrun,classic-elixirs-only,playstation,http://twitch.tv/videos/1997091560,,solo,20:06:07,1,Venomz,,,,0,
bo4,classified,200-speedrun,classic-elixirs-only,playstation,http://twitch.tv/videos/1851707860,,solo,40:29:06,1,Venomz,,,,0,
bo4,classified,ee-speedrun,classic-elixirs-only-round-150,playstation,https://youtube.com/watch?v=RGoaeIAtXIk,,solo,14:42:10,1,Venomz,,,,0,
