game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,outbreak,high-round,casual,steam,https://youtube.com/watch?v=baWJ2csMuN4,,co-op,103,3,Death_Storm4,SirDillo,WOLFY85,,0,
bo4,ancient-evil,high-round,classic-elixirs-only,battle.net,https://youtube.com/watch?v=v6FJTAKtvvs,,co-op,74,3,SirDillo,WOLFY85,hidroAku,,0,
bocw,die-maschine,first-room,with-support,steam,http://twitch.tv/videos/1146033985,,co-op,77,3,SirDillo,WOLFY85,Yonpi,,0,
bocw,mauer-der-toten,first-room,with-support,steam,http://twitch.tv/videos/1130522325,,co-op,74,3,SirDillo,WOLFY85,CobaiN,,0,
bocw,die-maschine,first-room,with-support,steam,http://twitch.tv/videos/1101909637,,co-op,72,4,SirDillo,WOLFY85,CobaiN,coroelboig,0,
bocw,mauer-der-toten,first-room,with-support,steam,http://twitch.tv/videos/1143959606,,co-op,71,2,SirDillo,WOLFY85,,,0,
bocw,die-maschine,first-room,with-support,steam,http://twitch.tv/videos/1102114734,,co-op,68,3,SirDillo,WOLFY85,coroelboig,,0,
bocw,firebase-z,first-room,with-support,steam,http://twitch.tv/videos/1115248039,,co-op,62,3,SirDillo,WOLFY85,CobaiN,,0,
bocw,firebase-z,first-room,with-support,steam,https://youtube.com/watch?v=o_wPSMfQRcA,,co-op,59,4,SirDillo,WOLFY85,Death_Storm4,Elbosbo,0,
bocw,mauer-der-toten,first-room,with-support,steam,http://twitch.tv/videos/1096639318,,co-op,48,4,SirDillo,CobaiN,WOLFY85,coroelboig,0,
bo4,dead-of-the-night,first-room,purist-hardcore,battle.net,https://youtube.com/watch?v=o_o6r-4HH_4,,co-op,48,4,SirDillo,WOLFY85,PepitoPro,WISSEK,0,
bocw,firebase-z,first-room,with-support,steam,http://twitch.tv/videos/1101294328,,co-op,47,4,WOLFY85,El_Anfetilla,CobaiN,coroelboig,0,
bocw,firebase-z,first-room,with-support,steam,http://twitch.tv/videos/1101751428,,co-op,46,3,coroelboig,El_Anfetilla,WOLFY85,,0,
bocw,firebase-z,first-room,with-support,steam,http://twitch.tv/videos/1101751428,,co-op,46,3,WOLFY85,coroelboig,SirDillo,,0,
bo4,dead-of-the-night,first-room,purist-hardcore,battle.net,https://youtube.com/watch?v=oO3IbZyeBMc,,co-op,41,3,SirDillo,WOLFY85,WISSEK,,0,
bo4,dead-of-the-night,first-room,purist-hardcore,battle.net,https://youtube.com/watch?v=Gyzw_SYNAqk,,co-op,36,2,WOLFY85,Javierikis,,,0,
bocw,mauer-der-toten,first-room,with-support,steam,http://twitch.tv/videos/1091687149,,co-op,35,3,SirDillo,El_Anfetilla,WOLFY85,,0,
bocw,mauer-der-toten,first-room,no-support,steam,http://twitch.tv/videos/1105055213,,co-op,33,2,SirDillo,WOLFY85,,,0,
bocw,mauer-der-toten,first-room,with-support,steam,http://twitch.tv/videos/1090154609,,co-op,33,4,WOLFY85,SirDillo,CobaiN,El_Anfetilla,0,
bo4,ancient-evil,first-room,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=1WJ47yMpo9I,,co-op,33,3,SirDillo,WOLFY85,S1RuX,,0,
bo4,ancient-evil,first-room,classic-elixirs-only-hardcore,battle.net,https://youtube.com/watch?v=rQM1S4jd1hk,,co-op,32,2,SirDillo,WOLFY85,,,0,
bocw,mauer-der-toten,first-room,no-support,steam,http://twitch.tv/videos/1097922256,,co-op,31,4,WOLFY85,El_Anfetilla,SirDillo,Yonpi,0,
bocw,mauer-der-toten,first-room,with-support,steam,http://twitch.tv/videos/1100210804,,co-op,30,3,El_Anfetilla,coroelboig,WOLFY85,,0,
bo4,dead-of-the-night,first-room,purist-hardcore,battle.net,https://youtube.com/watch?v=xofqHFS2eZ8,,solo,30,1,WOLFY85,,,,0,
bocw,mauer-der-toten,first-room,no-support,steam,https://youtube.com/watch?v=czLvZtLgErU,,co-op,29,3,SirDillo,WOLFY85,Death_Storm4,,0,
bo4,alpha-omega,first-room,classic-elixirs-only-hardcore,battle.net,https://youtube.com/watch?v=B-McNLdkoAQ,,co-op,25,4,SirDillo,PepitoPro,WOLFY85,XDARTH,0,
bo4,ancient-evil,first-room,purist-hardcore,battle.net,https://youtube.com/watch?v=NyNL9zz0Aag,,co-op,19,4,SirDillo,WOLFY85,norman,SMR97,0,
bo4,blood-of-the-dead,no-power,classic-elixirs-only,battle.net,https://youtube.com/watch?v=mhwJif-umGY,,co-op,42,4,SirDillo,WOLFY85,puzzlee,SMR97,0,
bo4,alpha-omega,no-power,classic-elixirs-only-hardcore,battle.net,https://youtube.com/watch?v=B-McNLdkoAQ,,co-op,25,4,PepitoPro,SirDillo,WOLFY85,XDARTH,0,
bo,call-of-the-dead,no-power,,steam,https://youtube.com/watch?v=ffANUPlylfo,,co-op,22,4,SirDillo,PepitoPro,WOLFY85,SMR97,0,
bocw,mauer-der-toten,no-perks,with-support,steam,http://twitch.tv/videos/1097720828,,co-op,58,2,SirDillo,WOLFY85,,,0,
bocw,mauer-der-toten,30-speedrun,normal,steam,http://twitch.tv/videos/1097782084,,co-op,42:08,3,SirDillo,WOLFY85,Yonpi,,0,
bocw,outbreak,30-speedrun,,steam,https://youtube.com/watch?v=WScquSJIcck,,co-op,2:18:10,3,SirDillo,Death_Storm4,WOLFY85,,0,
bocw,outbreak,50-speedrun,,steam,https://youtube.com/watch?v=WScquSJIcck,,co-op,3:43:21,3,SirDillo,Death_Storm4,WOLFY85,,0,
bo4,ix,realistic,classic-elixirs-only,battle.net,https://youtube.com/watch?v=N7nD5gZaCYY,,co-op,18,4,SirDillo,WOLFY85,PepitoPro,puzzlee,0,
