game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,the-giant,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=e8ssa7wz1Cs,,solo,47,1,WhatAShane,,,,0,
waw,nacht-der-untoten,high-round,original,steam,http://twitch.tv/videos/1968866311,,solo,31,1,WhatAShane,,,,0,
bo2,nuketown,high-round,,steam,https://youtube.com/watch?v=vU6F_wmVF48,,solo,31,1,WhatAShane,,,,0,
bo2,town,high-round,,steam,https://youtube.com/watch?v=kmnva0AnWU0,,solo,25,1,WhatAShane,,,,0,
bo,kino-der-toten,high-round,,steam,https://youtube.com/watch?v=3XlhOFTdinc,,solo,24,1,WhatAShane,,,,0,
bo2,farm,high-round,,steam,https://youtube.com/watch?v=oTQlmsLsd4Y,,solo,22,1,WhatAShane,,,,0,
waw,der-riese,high-round,original,steam,https://youtube.com/watch?v=1o78sZrvtpc,,solo,21,1,WhatAShane,,,,0,
bo2,bus-depot,high-round,,steam,https://youtube.com/watch?v=lvQwLaT30V4,,solo,15,1,WhatAShane,,,,0,
waw,verruckt,high-round,original,steam,https://youtube.com/watch?v=3XzxtKayiXU,,solo,13,1,WhatAShane,,,,0,
bocw,forsaken,first-room,with-support,playstation,https://youtube.com/watch?v=hYXLlnLr160,,co-op,27,2,WhatAShane,SkyAssassino,,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=jnjKwLZR2Bc,,solo,19,1,WhatAShane,,,,0,
bo3,verruckt,first-room,no-gobblegum-jug-side,playstation,http://twitch.tv/videos/1766849550,,solo,11,1,WhatAShane,,,,0,
