game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,five,flawless,,xbox,http://twitch.tv/videos/1903611026,,solo,17,1,WhiteZOMBINATOR,,,,0,
bo4,blood-of-the-dead-hardcore,flawless-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/1840398473,,solo,44,1,WhiteZOMBINATOR,,,,0,
bo4,blood-of-the-dead,no-power,all-elixirs-talismans-hardcore,playstation,http://twitch.tv/videos/1831273463,,solo,17,1,WhiteZOMBINATOR,,,,0,
bo3,the-giant,no-perks,mega-gobblegum,playstation,https://youtube.com/watch?v=v0D3O-Od8Vw,,solo,34,1,WhiteZOMBINATOR,,,,0,
bo3,the-giant,no-perks,no-gobblegum,playstation,http://twitch.tv/videos/1831401874,,solo,32,1,WhiteZOMBINATOR,,,,0,
bo4,blood-of-the-dead,no-perks,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=TU1-2061Tl4,,solo,31,1,WhiteZOMBINATOR,,,,0,
bo4,dead-of-the-night,no-perks,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=Ln0RSD1Sms8,,solo,17,1,WhiteZOMBINATOR,,,,0,
bo2,buried,bo2-no-jug,,xbox,http://twitch.tv/videos/1922151421,,solo,38,1,WhiteZOMBINATOR,,,,0,
bocw,firebase-z,no-armor,,playstation,http://twitch.tv/videos/1826011457,,solo,33,1,WhiteZOMBINATOR,,,,0,
bo4,classified,points-rush,all-elixirs-talismans,playstation,https://youtube.com/watch?v=mGUU3AX9sdQ,,solo,589550,1,WhiteZOMBINATOR,,,,0,
community,tranzit,com-bus,,xbox,http://twitch.tv/videos/1847546406,,solo,13,1,WhiteZOMBINATOR,,,,0,
mw3,terminal,no-guns-survival,,xbox,http://twitch.tv/videos/1943470153,,solo,24,1,WhiteZOMBINATOR,,,,0,
mw3,resistance,pistols-only-survival,,xbox,http://twitch.tv/videos/1812793430,,solo,29,1,WhiteZOMBINATOR,,,,0,
mw3,terminal,pistols-only-survival,,xbox,http://twitch.tv/videos/1826761575,,solo,28,1,WhiteZOMBINATOR,,,,0,
mw3,seatown,pistols-only-survival,,xbox,http://twitch.tv/videos/1812868532,,solo,24,1,WhiteZOMBINATOR,,,,0,
mw3,lockdown,pistols-only-survival,,xbox,http://twitch.tv/videos/1824669385,,solo,19,1,WhiteZOMBINATOR,,,,0,
mw3,downturn,pistols-only-survival,,xbox,http://twitch.tv/videos/1812920115,,solo,18,1,WhiteZOMBINATOR,,,,0,
mw3,stay-sharp,speedrun-specops,,xbox,http://twitch.tv/videos/1846343003,,solo,00:23,1,WhiteZOMBINATOR,,,,0,
mw3,milehigh-jack,speedrun-specops,hardened,xbox,http://twitch.tv/videos/1846322214,,solo,00:29,1,WhiteZOMBINATOR,,,,0,
mw3,modern-warfare-3,speedrun-superspecops,,xbox,http://twitch.tv/videos/1846413339,,solo,1:20:30,1,WhiteZOMBINATOR,,,,0,
ghosts,point-of-contact,points-chaos-extinction,,playstation,https://youtube.com/watch?v=u057CCPemDw,,solo,371565,1,WhiteZOMBINATOR,,,,0,
ghosts,point-of-contact,extinction-high-score,hardcore,playstation,https://youtube.com/watch?v=7yaHA3j93HQ,,solo,183079,1,WhiteZOMBINATOR,,,,0,
