game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,der-eisendrache,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=tMnpS7Yt2CQ,,solo,133,1,Wiinastaar,,,,0,
bo3,verruckt,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/266956471,,solo,128,1,Wiinastaar,,,,0,
bo3,the-giant,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/251148522,,solo,122,1,Wiinastaar,,,,0,
bo3,shi-no-numa,high-round,mega-gobblegum,playstation,http://twitch.tv/videos/152440099,,solo,103,1,Wiinastaar,,,,0,
bo3,der-eisendrache,flawless,no-gobblegum,playstation,http://twitch.tv/videos/248893209,,solo,133,1,Wiinastaar,,,,0,
bo3,the-giant,flawless,mega-gobblegum,playstation,http://twitch.tv/videos/251149445,,solo,107,1,Wiinastaar,,,,0,
bo3,verruckt,flawless,no-gobblegum,playstation,http://twitch.tv/videos/152495600,,solo,45,1,Wiinastaar,,,,0,
bo3,kino-der-toten,no-aat,no-gobblegum,playstation,http://twitch.tv/videos/152627149,,solo,52,1,Wiinastaar,,,,0,
bo3,verruckt,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/262663527,,solo,95,1,Wiinastaar,,,,0,
bo3,verruckt,no-power,mega-gobblegum,playstation,http://twitch.tv/videos/152438321,,solo,106,1,Wiinastaar,,,,0,
bo3,kino-der-toten,no-power,no-gobblegum,playstation,http://twitch.tv/videos/152627149,,solo,52,1,Wiinastaar,,,,0,
bo3,verruckt,no-power,no-gobblegum,playstation,http://twitch.tv/videos/152787769,,solo,32,1,Wiinastaar,,,,0,
bo3,der-eisendrache,no-jug,no-gobblegum,playstation,http://twitch.tv/videos/154777717,,solo,114,1,Wiinastaar,,,,0,
bo3,shangri-la,no-jug,no-gobblegum,playstation,http://twitch.tv/videos/266212350,,solo,88,1,Wiinastaar,,,,0,
bo3,gorod-krovi,no-jug,mega-gobblegum,playstation,http://twitch.tv/videos/252445070,,solo,61,1,Wiinastaar,,,,0,
bo3,gorod-krovi,no-jug,no-gobblegum,playstation,http://twitch.tv/videos/152188638,,solo,51,1,Wiinastaar,,,,0,
bo3,verruckt,no-jug,no-gobblegum,playstation,http://twitch.tv/videos/152799744,,solo,46,1,Wiinastaar,,,,0,
waw,der-riese,no-jug,original,xbox,http://twitch.tv/videos/250608941,,solo,38,1,Wiinastaar,,,,0,
bo3,kino-der-toten,30-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/276147940,,solo,30:35,1,Wiinastaar,,,,0,
bo3,kino-der-toten,50-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/276147940,,solo,56:13,1,Wiinastaar,,,,0,
bo3,kino-der-toten,50-speedrun,no-gobblegum,xbox,http://twitch.tv/videos/288296918,,solo,58:30,1,Wiinastaar,,,,0,
bo3,the-giant,70-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/251150261,,solo,2:06:42,1,Wiinastaar,,,,0,
bo3,kino-der-toten,100-speedrun,classic-gobblegum-only,xbox,http://twitch.tv/videos/276638475,,solo,3:41:27,1,Wiinastaar,,,,0,
bo3,the-giant,100-speedrun,mega-gobblegum,playstation,http://twitch.tv/videos/251150261,,solo,4:47:00,1,Wiinastaar,,,,0,
