game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,liberty-falls,high-round,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=tnWUfbpGsSI,,co-op,235,2,Zsg_Reign_Drops,Xeni,,,0,
bo6,liberty-falls,high-round,with-gobblegums-with-support,steam,https://youtube.com/watch?v=7tdL89YfpPw,,co-op,162,2,Xeni,X___Enzy,,,0,
bo6,liberty-falls,high-round,with-gobblegums-with-support,cross-play,https://youtube.com/watch?v=LfWfYw6Stuc,,co-op,146,3,Xeni,KatzeAufKoka,Akamaru,,0,
bo6,liberty-falls,high-round,with-gobblegums-with-support,cross-play,https://youtube.com/watch?v=J2U_Ntwl5FY,,co-op,106,4,Xeni,KatzeAufKoka,RaindaCalmund,SagtBxmsDieEX,0,
bo6,liberty-falls,flawless,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=WOrk2ilYOdo,,co-op,200,2,Xeni,Zsg_Reign_Drops,,,0,
bo3,revelations,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=c-kMqkCRzyo,,solo,185,1,Xeni,,,,0,
bo6,liberty-falls,flawless,with-gobblegums-with-support,cross-play,https://youtube.com/watch?v=7tdL89YfpPw,,co-op,162,2,Xeni,X___Enzy,,,0,
bo6,liberty-falls,flawless,with-gobblegums-with-support,cross-play,https://youtube.com/watch?v=LfWfYw6Stuc,,co-op,146,3,Xeni,KatzeAufKoka,Akamaru,,0,
bo6,liberty-falls,flawless,with-gobblegums-with-support,cross-play,https://youtube.com/watch?v=jnKCohc_BKQ,,co-op,126,2,Xeni,KatzeAufKoka,,,0,
bo6,liberty-falls,flawless,with-gobblegums-with-support,cross-play,https://youtube.com/watch?v=J2U_Ntwl5FY,,co-op,106,4,Xeni,KatzeAufKoka,RaindaCalmund,SagtBxmsDieEX,0,
bo3,revelations,no-aat,mega-gobblegum,steam,https://youtube.com/watch?v=CwB4m2byFAo,,solo,185,1,Xeni,,,,0,
bo3,moon,nml,mega-gobblegum,steam,https://youtube.com/watch?v=OUDPN4-Kkic,,solo,70,1,Xeni,,,,0,
bo3,ascension,first-room,mega-gobblegum,steam,https://youtube.com/watch?v=xsY40Lkq-0Y,,solo,47,1,Xeni,,,,0,
bo6,the-tomb,first-room,no-gobblegums-no-support,cross-play,https://youtube.com/watch?v=XOcDwmr02zs,,co-op,41,2,Xeni,huetchen339,,,0,
bo3,verruckt,first-room,mega-gobblegum,steam,https://youtube.com/watch?v=Lpj7c2lpkIg,,solo,32,1,Xeni,,,,0,
custom,die-rise-remastered-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=pVBSEC8XK2I,,solo,39,1,Xeni,,,,0,
custom,farm-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=bivX1nYi9_w,,solo,35,1,Xeni,,,,0,
bo3,ascension,no-power,mega-gobblegum,steam,https://youtube.com/watch?v=fljQWsNg0jc,,solo,76,1,Xeni,,,,0,
bo3,revelations,no-perks,mega-gobblegum,steam,https://youtube.com/watch?v=Tv1Ag8oQC1Q,,solo,61,1,Xeni,,,,0,
bo3,revelations,no-jug,mega-gobblegum,steam,https://youtube.com/watch?v=Tv1Ag8oQC1Q,,solo,61,1,Xeni,,,,0,
bo6,terminus,30-speedrun,with-gobblegums,cross-play,https://youtube.com/watch?v=otkq5mQxhXg,,co-op,34:18,3,Xeni,ChuckNorris,Spaltenputzer,,0,
bo6,terminus,30-speedrun,with-gobblegums,cross-play,https://youtube.com/watch?v=V8zjTfeWo6s,,co-op,34:50,4,Xeni,Mani21M,Sokol,Kistac27,0,
bo6,citadelle-des-morts,30-speedrun,with-gobblegums,cross-play,https://youtube.com/watch?v=fyzRL3AWM-w,,co-op,40:16,4,Xeni,Mani21M,Soko,Kistac27,0,
bo6,terminus,50-speedrun,with-gobblegums,cross-play,https://youtube.com/watch?v=V8zjTfeWo6s,,co-op,1:14:40,4,Xeni,Mani21M,Sokol,Kistac27,0,
bo6,terminus,50-speedrun,with-gobblegums,cross-play,https://youtube.com/watch?v=otkq5mQxhXg,,co-op,1:14:52,3,Xeni,ChuckNorris,Spaltenputzer,,0,
bo6,liberty-falls,70-speedrun,rampage-inducer-with-gobblegums,cross-play,https://youtube.com/watch?v=7tdL89YfpPw,,co-op,1:43:55,2,Xeni,X___Enzy,,,0,
bo6,liberty-falls,100-speedrun,rampage-inducer-with-gobblegums,steam,https://youtube.com/watch?v=LfWfYw6Stuc,,co-op,3:17:52,3,Xeni,KatzeAufKoka,Akamaru,,0,
bo6,liberty-falls,200-speedrun,,playstation,https://youtube.com/watch?v=WOrk2ilYOdo,,co-op,9:17:05,2,Xeni,Zsg_Reign_Drops,,,0,
bo6,liberty-falls,ee-speedrun,with-gobblegums,cross-play,https://youtube.com/watch?v=7tdL89YfpPw,,co-op,6:26:11,2,Xeni,X___Enzy,,,0,
bo6,liberty-falls,build-speedrun,with-gobblegums,cross-play,https://youtube.com/watch?v=wRcM1YncQWc,,co-op,18:49,4,Xeni,KatzeAufKoka,huetchen339,Kistac27,0,
bo4,dead-of-the-night,realistic,all-elixirs-talismans,playstation,https://youtube.com/watch?v=Erwnw66u4zk,,solo,10,1,Xeni,,,,0,
community,moon-bo3,com-pap-speedruns,,steam,https://youtube.com/watch?v=zajQ2Jnf3RU,,solo,0:16,1,Xeni,,,,0,
community,liberty-falls,com-pap-speedruns,with-gobblegums,steam,https://youtube.com/watch?v=YmUDTsmr6nk,,co-op,0:41,3,Xeni,X___Enzy,huetchen339,,0,
community,liberty-falls,com-pap-speedruns,rampage-inducer-with-gobblegums,steam,https://youtube.com/watch?v=WRsFDNew2-I,,co-op,0:44,3,Xeni,X___Enzy,RoYaL_HaZe_SDK,,0,
community,liberty-falls,com-pap-speedruns,with-gobblegums,steam,https://youtube.com/watch?v=n10V6Wh-h-c,,co-op,0:45,2,Xeni,X___Enzy,,,0,
community,kino-der-toten-bo3,com-pap-speedruns,regular,steam,https://youtube.com/watch?v=6xdZ45PqPeI,,solo,0:54,1,Xeni,,,,0,
community,destroy-something-beautiful,com-song-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=lLxLunezke4,,co-op,0:51,3,Xeni,X___Enzy,RoYaL_HaZe_SDK,,0,
