game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,origins,high-round,no-gobblegum,steam,http://twitch.tv/videos/2224949055,,co-op,71,3,Javimula4,F3rking19,XxGOHSjuanxX,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,xbox,https://youtube.com/watch?v=PLRv_u-er2g,,co-op,70,4,Leogasa,Steeldevotee,XxGOHSjuanxX,l 115 l Berserk,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=KlyjB5JXMok,,co-op,66,3,thetorrent67,XxGOHSjuanxX,F3rking19,,0,
custom,terminal-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=JaSTSrq4RMQ,,co-op,50,2,XxGOHSjuanxX,thetorrent67,,,0,
custom,casino-waw-bo1,custom-high-round,,steam,http://twitch.tv/videos/2218788746,,co-op,40,2,F3rking19,XxGOHSjuanxX,,,0,
custom,terminal-reimagined-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=JaSTSrq4RMQ,,co-op,50,2,XxGOHSjuanxX,thetorrent67,,,0,
bo3,origins,first-room,mega-gobblegum,steam,https://youtube.com/watch?v=zbm0vMqnAvI,,co-op,80,2,XxGOHSjuanxX,F3rking19,,,0,
bo3,shi-no-numa,first-room,mega-gobblegum,steam,https://youtube.com/watch?v=Ae_3lihFOOE,,co-op,69,3,XxGOHSjuanxX,F3rking19,Javimula4,,0,
bo3,nacht-der-untoten,first-room,mega-gobblegum,steam,https://youtube.com/watch?v=KlyjB5JXMok,,co-op,66,3,thetorrent67,XxGOHSjuanxX,F3rking19,,0,
bo3,revelations,first-room,classic-gobblegum-only,xbox,https://youtube.com/watch?v=6wgDaswBdCM,,co-op,20,2,XxGOHSjuanxX,NoVatBand67,,,0,
bo3,revelations,first-room,classic-gobblegum-only,xbox,https://youtube.com/watch?v=x6x4NCC7g2g,,co-op,19,3,NoVatBand67,XxGOHSjuanxX,Ferking19,,0,
custom,clinic-of-evil-waw-bo1,custom-first-room,,steam,http://twitch.tv/videos/2142582742,,co-op,27,2,F3rking19,XxGOHSjuanxX,,,0,
custom,das-herrenhaus-waw-bo1,custom-first-room,,steam,http://twitch.tv/videos/2149400003,,co-op,13,2,F3rking19,XxGOHSjuanxX,,,0,
custom,casino-waw-bo1,custom-first-room,,steam,http://twitch.tv/videos/2185290520,,co-op,12,2,F3rking19,XxGOHSjuanxX,,,0,
custom,der-riese-declassified-bo3,custom-no-power-bo3,,steam,http://twitch.tv/videos/2118332439,,co-op,36,2,F3rking19,XxGOHSjuanxX,,,0,
bo2,town,no-magic,,steam,http://twitch.tv/videos/2100885266,,co-op,26,2,F3rking19,XxGOHSjuanxX,,,0,
bo3,revelations,no-perks,classic-gobblegum-only,xbox,http://twitch.tv/videos/1164915803,,co-op,62,2,XxGOHSjuanxX,Ferking19,,,0,
bo3,zetsubou-no-shima,no-perks,mega-gobblegum,xbox,http://twitch.tv/videos/1144038107,,co-op,35,2,XxGOHSjuanxX,Ferking19,,,0,
bo3,shi-no-numa,no-perks,classic-gobblegum-only,xbox,http://twitch.tv/videos/1075712510,,co-op,21,2,XxGOHSjuanxX,potato_447,,,0,
bo3,ascension,no-jug,classic-gobblegum-only,xbox,http://twitch.tv/videos/1064417213,,co-op,36,2,XxGOHSjuanxX,potato_447,,,0,
bo3,zetsubou-no-shima,no-jug,mega-gobblegum,xbox,http://twitch.tv/videos/1144038107,,co-op,35,2,XxGOHSjuanxX,Ferking19,,,0,
community,verruckt-bo1,com-one-room,,xbox,http://twitch.tv/videos/1287455821,,co-op,13,2,XxGOHSjuanxX,CristianV,,,0,
community,shi-no-numa-bo3,com-second-room,mega-gobblegums,steam,https://youtube.com/watch?v=zVz2ca7Sd7Y,,co-op,70,2,XxGOHSjuanxX,F3rking19,,,0,
community,shadows-of-evil,com-second-room,mega-gobblegums,steam,http://twitch.tv/videos/2156167964,,co-op,60,2,thetorrent67,XxGOHSjuanxX,,,0,
community,verruckt-bo3,com-second-room,mega-gobblegums,steam,http://twitch.tv/videos/2213612192,,co-op,52,2,F3rking19,XxGOHSjuanxX,,,0,
community,shadows-of-evil,com-second-room,mega-gobblegums,steam,https://youtube.com/watch?v=0iv-D3mPUbg,,co-op,50,3,XxGOHSjuanxX,thetorrent67,Blaceimx,,0,
community,shi-no-numa-bo3,com-second-room,mega-gobblegums,steam,https://youtube.com/watch?v=1DYNN95wu2c,,co-op,50,3,XxGOHSjuanxX,thetorrent67,Mitsuri,,0,
community,shadows-of-evil,com-second-room,mega-gobblegums,steam,https://youtube.com/watch?v=x8O9ZkpfP1k,,co-op,50,4,XxGOHSjuanxX,thetorrent67,ByFurice,Mitsuri,0,
community,shi-no-numa-bo3,com-second-room,mega-gobblegums,xbox,http://twitch.tv/videos/1888340987,,co-op,40,4,XxGOHSjuanxX,ByInvictus,thetorrent67,MUZZxWARMEDx,0,
community,shi-no-numa-bo3,com-second-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=y1XK7yWZUcI,,co-op,33,3,XxGOHSjuanxX,F3rking19,thetorrent67,,0,
community,buried,com-second-room,,xbox,http://twitch.tv/videos/1881806713,,co-op,31,3,XxGOHSjuanxX,thetorrent67,MUZZxWARMEDx,,0,
community,shi-no-numa-bo3,com-second-room,classic-gobblegum-only,xbox,http://twitch.tv/videos/1062726109,,solo,31,1,XxGOHSjuanxX,,,,0,
community,shadows-of-evil,com-second-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=hWjr11drjMI,,co-op,30,4,F3rking19,XxGOHSjuanxX,Mitsuri,Antonio Recio,0,
community,buried,com-second-room,,xbox,http://twitch.tv/videos/1892981625,,co-op,30,2,XxGOHSjuanxX,MUZZxWARMEDx,,,0,
community,shadows-of-evil,com-second-room,classic-gobblegum-only,xbox,http://twitch.tv/videos/1078762471,,co-op,30,2,XxGOHSjuanxX,thetorrent67,,,0,
community,shadows-of-evil,com-second-room,classic-gobblegum-only,steam,http://twitch.tv/videos/2161387835,,co-op,29,3,XxGOHSjuanxX,thetorrent67,ByFurice,,0,
community,buried,com-second-room,,xbox,http://twitch.tv/videos/1886628734,,co-op,28,4,XxGOHSjuanxX,ByInvictus,thetorrent67,golff5595,0,
community,verruckt-bo3,com-second-room,classic-gobblegum-only,steam,http://twitch.tv/videos/2120074513,,co-op,27,2,XxGOHSjuanxX,F3rking19,,,0,
community,shadows-of-evil,com-second-room,mega-gobblegums,xbox,http://twitch.tv/videos/1287064762,,co-op,26,4,XxGOHSjuanxX,thetorrent67,CristianV,ElButanero,0,
community,shadows-of-evil,com-second-room,classic-gobblegum-only,xbox,http://twitch.tv/videos/1644297330,,co-op,24,3,XxGOHSjuanxX,AdFer_TheZomber,ByInvictus,,0,
community,die-rise,com-second-room,,steam,https://youtube.com/watch?v=2rwxrI_81_Q,,co-op,23,2,XxGOHSjuanxX,thetorrent67,,,0,
community,shi-no-numa-bo3,com-second-room,classic-gobblegum-only,xbox,http://twitch.tv/videos/1075712510,,co-op,21,2,XxGOHSjuanxX,potato_447,,,0,
community,shadows-of-evil,com-second-room,classic-gobblegum-only,xbox,http://twitch.tv/videos/1478042710,,co-op,19,4,XxGOHSjuanxX,ByInvictus,ElButanero,thetorrent67,0,
community,shadows-of-evil,com-second-room,classic-gobblegum-only,xbox,http://twitch.tv/videos/1052435107,,co-op,19,2,XxGOHSjuanxX,CristianV,,,0,
community,verruckt-waw,com-second-room,,steam,http://twitch.tv/videos/2204898651,,co-op,18,2,F3rking19,XxGOHSjuanxX,,,0,
community,shadows-of-evil,com-second-room,classic-gobblegum-only,xbox,http://twitch.tv/videos/1099301540,,co-op,18,3,XxGOHSjuanxX,CristianV,thetorrent67,,0,
community,die-rise,com-second-room,,steam,https://youtube.com/watch?v=iElqROE_Uhw,,co-op,17,3,thetorrent67,XxGOHSjuanxX,F3rking19,,0,
community,die-rise,com-second-room,,xbox,http://twitch.tv/videos/1884389400,,co-op,16,2,XxGOHSjuanxX,golff5595,,,0,
community,verruckt-bo3,com-second-room,classic-gobblegum-only,xbox,http://twitch.tv/videos/1813986254,,co-op,16,2,XxGOHSjuanxX,ByInvictus,,,0,
community,die-rise,com-second-room,,steam,http://twitch.tv/videos/2105476405,,co-op,13,4,F3rking19,XxGOHSjuanxX,Caelito,MoneyWayy,0,
community,die-rise,com-second-room,,xbox,http://twitch.tv/videos/1885819224,,co-op,13,3,XxGOHSjuanxX,golff5595,thetorrent67,,0,
community,verruckt-bo1,com-second-room,,xbox,http://twitch.tv/videos/1832136801,,solo,13,1,XxGOHSjuanxX,,,,0,
community,shadows-of-evil,com-no-buildables,classic-gobblegum-only,steam,https://youtube.com/watch?v=QrbdO5cuMsM,,solo,87,1,XxGOHSjuanxX,,,,0,
community,origins,com-no-buildables,black-ops-3-mega-gobblegums,steam,https://youtube.com/watch?v=zbm0vMqnAvI,,co-op,80,2,F3rking19,XxGOHSjuanxX,,,0,
community,shadows-of-evil,com-no-buildables,mega-gobblegum,steam,https://youtube.com/watch?v=CvNag5F00R0,,co-op,80,2,XxGOHSjuanxX,F3rking19,,,0,
community,shadows-of-evil,com-no-buildables,mega-gobblegum,xbox,http://twitch.tv/videos/1667279413,,solo,72,1,XxGOHSjuanxX,,,,0,
community,der-eisendrache,com-no-buildables,mega-gobblegum,steam,https://youtube.com/watch?v=T8BwJaxZfxY,,co-op,65,3,XxGOHSjuanxX,ByFurice,thetorrent67,,0,
community,der-eisendrache,com-no-buildables,classic-gobblegum-only,xbox,http://twitch.tv/videos/1830456047,,solo,63,1,XxGOHSjuanxX,,,,0,
community,shadows-of-evil,com-no-buildables,mega-gobblegum,steam,http://twitch.tv/videos/2156167964,,co-op,60,2,thetorrent67,XxGOHSjuanxX,,,0,
community,buried,com-no-buildables,with-leroy,steam,http://twitch.tv/videos/2103763863,,co-op,55,2,F3rking19,XxGOHSjuanxX,,,0,
community,shadows-of-evil,com-no-buildables,mega-gobblegum,steam,https://youtube.com/watch?v=x8O9ZkpfP1k,,co-op,50,4,XxGOHSjuanxX,thetorrent67,ByFurice,Mitsuri,0,
community,shadows-of-evil,com-no-buildables,mega-gobblegum,xbox,http://twitch.tv/videos/1670043389,,co-op,50,3,XxGOHSjuanxX,AdFer_TheZomber,ST Luigii,,0,
community,buried,com-no-buildables,with-leroy,steam,https://youtube.com/watch?v=tsjUy5kKOdE,,co-op,45,3,XxGOHSjuanxX,F3rking19,thetorrent67,,0,
community,der-eisendrache,com-no-buildables,classic-gobblegum-only,xbox,http://twitch.tv/videos/1951993694,,co-op,43,2,XxGOHSjuanxX,thetorrent67,,,0,
community,der-eisendrache,com-no-buildables,classic-gobblegum-only,steam,https://youtube.com/watch?v=6nVDVFKsN2E,,co-op,40,3,XxGOHSjuanxX,ByFurice,thetorrent67,,0,
community,shadows-of-evil,com-no-buildables,classic-gobblegum-only,steam,http://twitch.tv/videos/2161260469,,co-op,40,3,XxGOHSjuanxX,thetorrent67,Jhonasd115,,0,
community,origins,com-no-buildables,black-ops-3-mega-gobblegums,xbox,http://twitch.tv/videos/1632152206,,co-op,37,2,XxGOHSjuanxX,CristianV,,,0,
community,die-rise,com-no-buildables,,steam,https://youtube.com/watch?v=lc7TUqzRKmk,,co-op,32,3,XxGOHSjuanxX,F3rking19,thetorrent67,,0,
