game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
iw,black-sky-parade,campaign-speedrun,recruit,playstation,https://youtube.com/watch?v=P92hainhfE4,,solo,3:03,1,Xzzy,,,,0,
iw,black-sky-under-attack,campaign-speedrun,recruit,playstation,https://youtube.com/watch?v=ZNt7yVJexFM,,solo,7:04,1,Xzzy,,,,0,
iw,rising-threat,campaign-speedrun,recruit,playstation,https://youtube.com/watch?v=33NQ_1YnyAM,,solo,8:37,1,Xzzy,,,,0,
bo6,shattered-veil,high-round,with-gobblegums-with-support,playstation,http://twitch.tv/videos/2446384070,,co-op,43,2,ChrisZombieGod,Xzzy,,,0,
iw,spaceland,high-round,fate-fortune-cards,playstation,http://twitch.tv/videos/2061884559,,solo,32,1,Xzzy,,,,0,
bo6,terminus,high-round,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=Qp8Ct9nHf8A,,co-op,31,2,Xzzy,GetHighBaby,,,0,
bo6,terminus,high-round,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=IPbtG6DHaoc,,solo,30,1,Xzzy,,,,0,
iw,spaceland,high-round,fate-cards-only,playstation,https://youtube.com/watch?v=kapG_-RH3Iw,,solo,24,1,Xzzy,,,,0,
iw,spaceland,high-round,fate-fortune-cards,playstation,https://youtube.com/watch?v=9ZW86UF_HX4,,co-op,16,3,Xzzy,CODZombieGod115,DarkGodTJ,,0,
iw,spaceland,flawless,fate-fortune-cards,playstation,http://twitch.tv/videos/1863341969,,co-op,27,2,CODZombieGod115,Xzzy,,,0,
iw,spaceland,flawless,fate-fortune-cards,playstation,https://youtube.com/watch?v=PMpmVptZ5T4,,solo,22,1,Xzzy,,,,0,
bo4,blood-of-the-dead,no-power,all-elixirs-talismans,playstation,http://twitch.tv/videos/535294928,,co-op,33,2,Xzzy,ChrisZombieGod,,,0,
iw,spaceland,no-power,fate-fortune-cards,playstation,https://youtube.com/watch?v=43DRfgZc03I,,solo,25,1,Xzzy,,,,0,
bo4,voyage-of-despair,no-power,all-elixirs-talismans,playstation,http://twitch.tv/videos/534716536,,co-op,18,2,Xzzy,ChrisZombieGod,,,0,
iw,spaceland,30-speedrun,directors-cut-fate-fortune-cards,playstation,https://youtube.com/watch?v=lln5uYLgbvs,,co-op,47:19,2,CODZombieGod115,Xzzy,,,0,
