game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/1841655366,,solo,230,1,ZOMBIELYNXGAMER,,,,0,
bo3,kino-der-toten,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/1826776112,,co-op,96,2,ZOMBIELYNXGAMER,Egg0076986,,,0,
bo3,shadows-of-evil,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/1958222171,,co-op,50,4,GTK Studioz,CrAzY C4l3D0,ZOMBIELYNXGAMER,Ghost109ST,0,
bo4,classified,high-round,all-elixirs-talismans,xbox,https://youtube.com/watch?v=G63w1PaSCyU,,co-op,48,3,ZOMBIELYNXGAMER,TrumanUk,VibratoryOlive1,,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/1770974325,,co-op,42,3,ZOMBIELYNXGAMER,Ghost109ST,GTK Studioz,,0,
bo3,der-eisendrache,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/1907134893,,co-op,41,3,ZOMBIELYNXGAMER,Ghost109ST,GTK Studioz,,0,
bo3,verruckt,high-round,mega-gobblegum,xbox,http://twitch.tv/videos/1763579030,,co-op,37,3,ZOMBIELYNXGAMER,GTK Studioz,Ghost109ST,,0,
bo3,shangri-la,high-round,classic-gobblegum-only,xbox,http://twitch.tv/videos/1763589462,,co-op,20,3,ZOMBIELYNXGAMER,GTK Studioz,Ghost109ST,,0,
bo4,classified-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/1817446465,,co-op,57,3,Ghost109ST,GTK Studioz,ZOMBIELYNXGAMER,,0,
bo4,classified-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/1784771018,,co-op,54,2,ZOMBIELYNXGAMER,Ghost109ST,,,0,
bo4,ix-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/1770201488,,co-op,53,3,ZOMBIELYNXGAMER,GTK Studioz,Ghost109ST,,0,
bo4,voyage-of-despair-hardcore,high-round-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/1816699368,,co-op,52,3,ZOMBIELYNXGAMER,GTK Studioz,Ghost109ST,,0,
bo4,voyage-of-despair-hardcore,high-round-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/1767155932,,co-op,38,3,ZOMBIELYNXGAMER,GTK Studioz,Ghost109ST,,0,
bo4,dead-of-the-night,flawless,all-elixirs-talismans,xbox,https://youtube.com/watch?v=6tT060_-cdU,,solo,136,1,ZOMBIELYNXGAMER,,,,0,
bo3,kino-der-toten,flawless,mega-gobblegum,xbox,http://twitch.tv/videos/1826776112,,co-op,96,2,ZOMBIELYNXGAMER,Egg0076986,,,0,
bo3,shadows-of-evil,flawless,mega-gobblegum,xbox,http://twitch.tv/videos/1733113739,,co-op,58,2,ZOMBIELYNXGAMER,GTK Studioz,,,0,
bo3,nacht-der-untoten,flawless,mega-gobblegum,xbox,http://twitch.tv/videos/1770974325,,co-op,42,3,ZOMBIELYNXGAMER,GTK Studioz,Ghost109ST,,0,
bo3,der-eisendrache,flawless,classic-gobblegum-only,xbox,http://twitch.tv/videos/1907134893,,co-op,38,3,ZOMBIELYNXGAMER,Ghost109ST,GTK Studioz,,0,
bo3,shi-no-numa,flawless,no-gobblegum,xbox,http://twitch.tv/videos/1784773639,,co-op,31,2,Ghost109ST,ZOMBIELYNXGAMER,,,0,
bo3,shi-no-numa,flawless,no-gobblegum,xbox,http://twitch.tv/videos/2104267492,,co-op,28,4,ZOMBIELYNXGAMER,GTK Studioz,LumStar13,Egg0076986,0,
bo3,kino-der-toten,flawless,no-gobblegum,xbox,http://twitch.tv/videos/1765996394,,co-op,20,3,ZOMBIELYNXGAMER,GTK Studioz,Ghost109ST,,0,
bo4,voyage-of-despair-hardcore,flawless-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/2122933742,,co-op,65,4,ZOMBIELYNXGAMER,GTK Studioz,Ghost109ST,LumStar13,0,
bo4,ix-hardcore,flawless-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/2114456906,,co-op,60,3,ZOMBIELYNXGAMER,GTK Studioz,Ghost109ST,,0,
bo4,classified-hardcore,flawless-hc,all-elixirs-talismans,xbox,http://twitch.tv/videos/1817446465,,co-op,57,3,ZOMBIELYNXGAMER,GTK Studioz,Ghost109ST,,0,
bo4,classified-hardcore,flawless-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/1784771018,,co-op,54,2,ZOMBIELYNXGAMER,Ghost109ST,,,0,
bo4,voyage-of-despair-hardcore,flawless-hc,classic-elixirs-only,xbox,http://twitch.tv/videos/1813980264,,co-op,40,2,ZOMBIELYNXGAMER,Ghost109ST,,,0,
bo3,revelations,no-aat,mega-gobblegum,xbox,http://twitch.tv/videos/1841655366,,solo,230,1,ZOMBIELYNXGAMER,,,,0,
bo3,kino-der-toten,no-aat,mega-gobblegum,xbox,http://twitch.tv/videos/1826776112,,co-op,96,2,ZOMBIELYNXGAMER,Egg0076986,,,0,
bo3,moon,nml,classic-gobblegum-only,xbox,http://twitch.tv/videos/1822624574,,co-op,300,3,ZOMBIELYNXGAMER,Egg0076986,Ethan god198,,0,
bocw,dead-ops-arcade-iii,doa,first-person,xbox,http://twitch.tv/videos/1783791642,,co-op,66,3,Ghost109ST,ZOMBIELYNXGAMER,GTK Studioz,,0,
bo3,kino-der-toten,first-room,mega-gobblegum,xbox,http://twitch.tv/videos/1826776112,,co-op,96,2,ZOMBIELYNXGAMER,Egg0076986,,,0,
bocw,firebase-z,first-room,with-support,xbox,http://twitch.tv/videos/2016271264,,co-op,59,4,ZOMBIELYNXGAMER,GTK Studioz,Triple B A E,TitanRaptor5185,0,
bo4,ix,first-room,all-elixirs-talismans,xbox,https://youtube.com/watch?v=WW04iU4_xEU,,solo,58,1,ZOMBIELYNXGAMER,,,,0,
