game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,http://twitch.tv/videos/51762417,,co-op,79,2,ZW Pseudohalluzinator,ZW Masta,,,0,
bo,five,high-round,,steam,https://youtube.com/watch?v=9aKZuy2mekY,,co-op,50,3,[Z-C] JiM BOWiE,ZW Masta,DARKPRAYER,,0,
bo,five,high-round,,steam,https://youtube.com/watch?v=eSxHlIS8xko,,co-op,44,4,[Z-C] JiM BOWiE,[Z-C] Metalhead,ZW Masta,ZW Hardcore NL,0,
bo,five,high-round,,steam,https://youtube.com/watch?v=W4s7hWrTPGE,,co-op,40,3,ZW Masta,[Z-C] Broccoli,[Z-C] JiM BOWiE,,0,
bo,five,flawless,,steam,https://youtube.com/watch?v=pvVHv14QEV4,,co-op,64,2,VoOdKa,ZW Masta,,,0,
bo,five,flawless,,steam,https://youtube.com/watch?v=wjuEd6pm47U,,co-op,40,4,[Z-C] JiM BOWiE,DARKPRAYER,ZW Masta,FraGz,0,
bo,five,flawless,,steam,https://youtube.com/watch?v=W4s7hWrTPGE,,co-op,40,3,ZW Masta,[Z-C] Broccoli,[Z-C] JiM BOWiE,,0,
bo,five,flawless,,steam,https://youtube.com/watch?v=9aKZuy2mekY,,co-op,35,3,[Z-C] JiM BOWiE,ZW Masta,DARKPRAYER,,0,
bo,five,flawless,,steam,https://youtube.com/watch?v=9aKZuy2mekY,,co-op,26,4,[Z-C] JiM BOWiE,ZW Masta,DARKPRAYER,fgfgfgfgt,0,
bo3,shadows-of-evil,first-room,,steam,http://twitch.tv/videos/38915456,,co-op,11,4,ZW Subtle,ZW Masta,ZW Pseudohalluzinator,ZW Flash_92,0,
community,five,com-lab,black-ops,steam,http://twitch.tv/videos/49878479,,co-op,22,4,ZW Pseudohalluzinator,ZW AncientGod,ZW xXEsIqUeLXx,ZW Masta,0,
