game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo,kino-der-toten,high-round,,steam,http://twitch.tv/videos/48339287,,co-op,101,2,ZW Pseudohalluzinator,ZW xXEsIqUeLXx,,,0,
bo2,mob-of-the-dead,high-round,,steam,http://twitch.tv/videos/420557353,,co-op,100,2,AmneziaHardcover,ZW xXEsIqUeLXx,,,0,
bo2,buried,high-round,,steam,http://twitch.tv/videos/400211198,,co-op,100,2,AmneziaHardcover,ZW xXEsIqUeLXx,,,0,
bo2,origins,high-round,,steam,http://twitch.tv/videos/363729009,,co-op,91,2,AmneziaHardcover,ZW xXEsIqUeLXx,,,0,
bo,shangri-la,high-round,,steam,http://twitch.tv/videos/47463645,,co-op,80,2,ZW Pseudohalluzinator,ZW xXEsIqUeLXx,,,0,
bo,verruckt,high-round,,steam,https://youtube.com/watch?v=z-cH6Gkma8A,,co-op,70,2,ZEC Fargo,ZW xXEsIqUeLXx,,,0,
bo2,town,high-round,,steam,http://twitch.tv/videos/353085147,,co-op,68,2,AmneziaHardcover,ZW xXEsIqUeLXx,,,0,
bo2,nuketown,high-round,,steam,http://twitch.tv/videos/356112325,,co-op,67,2,AmneziaHardcover,ZW xXEsIqUeLXx,,,0,
bo2,farm,high-round,,steam,http://twitch.tv/videos/589753050,,co-op,66,2,AmneziaHardcover,ZW xXEsIqUeLXx,,,0,
bo,nacht-der-untoten,high-round,,steam,http://twitch.tv/videos/42683828,,co-op,62,2,ZW Pseudohalluzinator,ZW xXEsIqUeLXx,,,0,
bo,moon,high-round,,steam,https://youtube.com/watch?v=BijNalI5C4g,,co-op,60,2,ZEC AMG E55,ZW xXEsIqUeLXx,,,0,
bo,kino-der-toten,high-round,,steam,http://twitch.tv/videos/255971424,,co-op,50,4,ZEC eXo BeRLiN,ZEC TILT,ZEC Danny043,ZW xXEsIqUeLXx,0,
bo2,farm,high-round,,steam,http://twitch.tv/videos/232874155,,co-op,50,3,ZEC eXo BeRLiN,ZEC Danny043,ZW xXEsIqUeLXx,,0,
bo,shi-no-numa,high-round,,steam,http://twitch.tv/videos/224118087,,co-op,50,3,ZEC eXo BeRLiN,ZW xXEsIqUeLXx,ZEC Fargo,,0,
bo2,nuketown,high-round,,steam,https://youtube.com/watch?v=jSu0UnLhzSE,,co-op,41,3,ZEC Fargo,ZEC Danny043,ZW xXEsIqUeLXx,,0,
bo2,buried,flawless,,steam,http://twitch.tv/videos/400211198,,co-op,100,2,AmneziaHardcover,ZW xXEsIqUeLXx,,,0,
bo,moon,flawless,,steam,https://youtube.com/watch?v=BijNalI5C4g,,co-op,52,2,ZEC AMG E55,ZW xXEsIqUeLXx,,,0,
bo,call-of-the-dead,flawless,,steam,https://youtube.com/watch?v=5mMMu84GHH4,,co-op,45,2,ZEC xTomaTT,ZW xXEsIqUeLXx,,,0,
bo2,nuketown,flawless,,steam,http://twitch.tv/videos/356112325,,co-op,43,2,AmneziaHardcover,ZW xXEsIqUeLXx,,,0,
bo,der-riese,flawless,,steam,http://twitch.tv/videos/256577945,,co-op,43,3,ZEC eXo BeRLiN,ZW xXEsIqUeLXx,Zi0MIX,,0,
bo,kino-der-toten,flawless,,steam,http://twitch.tv/videos/443164545,,co-op,35,3,ZEC xTomaTT,ZW xXEsIqUeLXx,ZEC Fargo,,0,
bo2,bus-depot,flawless,,steam,http://twitch.tv/videos/445607235,,co-op,19,4,ZEC Fargo,ZEC xTomaTT,ZW xXEsIqUeLXx,ZEC eXo BeRLiN,0,
bo2,tranzit,first-room,,steam,http://twitch.tv/videos/50657062,,co-op,15,4,ZW Pseudohalluzinator,ZW DarkVegeta,ZW xXEsIqUeLXx,Mikederel,0,
bo2,die-rise,no-power,,steam,http://twitch.tv/videos/20162857,,co-op,53,3,ZW Pseudohalluzinator,ZW xXEsIqUeLXx,-Roll-,,0,
bo,ascension,no-power,,steam,http://twitch.tv/videos/307697359,,co-op,44,3,ZEC eXo BeRLiN,ZW xXEsIqUeLXx,ZW Hom Tanks,,0,
bo2,bus-depot,no-magic,,steam,https://youtube.com/watch?v=52vrScgtRrU,,co-op,30,4,ZEC GHOST,ZEC eXo BeRLiN,ZW Hom Tanks,ZW xXEsIqUeLXx,0,
bo,shi-no-numa,50-speedrun,,steam,http://twitch.tv/videos/224119869,,co-op,7:16:50,3,ZEC Fargo,ZEC eXo BeRLiN,ZW xXEsIqUeLXx,,0,
bo,kino-der-toten,50-speedrun,,steam,http://twitch.tv/videos/255971424,,co-op,8:00:26,4,ZEC eXo BeRLiN,ZEC TILT,ZEC Danny043,ZW xXEsIqUeLXx,0,
bo2,farm,50-speedrun,,steam,http://twitch.tv/videos/232874155,,co-op,8:49:37,3,ZEC eXo BeRLiN,ZEC Danny043,ZW xXEsIqUeLXx,,0,
community,five,com-lab,black-ops,steam,http://twitch.tv/videos/49878479,,co-op,22,4,ZW Pseudohalluzinator,ZW AncientGod,ZW xXEsIqUeLXx,ZW Masta,0,
