game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,ascension,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=oLkat7Yhjhk,,solo,255,1,Zach2EZ,,,,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=id4MXuQa6lE,,solo,221,1,Zach2EZ,,,,0,
bo2,town,high-round,,steam,https://youtube.com/watch?v=ld_FdcSKu3U,,co-op,50,2,Zach2EZ,kam the scholar,,,0,
custom,town-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=YzGZv11tpPc,,solo,99,1,Zach2EZ,,,,0,
custom,town-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=huwILajy-1E,,co-op,58,2,kam the scholar,Zach2EZ,,,0,
bo3,ascension,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=oLkat7Yhjhk,,solo,255,1,Zach2EZ,,,,0,
bo3,nacht-der-untoten,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=id4MXuQa6lE,,solo,221,1,Zach2EZ,,,,0,
bo3,nacht-der-untoten,flawless,no-gobblegum,steam,https://youtube.com/watch?v=FHUz28fppHM,,solo,151,1,Zach2EZ,,,,0,
custom,town-reimagined-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=YzGZv11tpPc,,solo,99,1,Zach2EZ,,,,0,
bo3,verruckt,no-power,mega-gobblegum,steam,https://youtube.com/watch?v=GV7JZaDv6Fg,,solo,100,1,Zach2EZ,,,,0,
bocw,nuketown-84,onslaught,onslaught,xbox,http://twitch.tv/videos/1934620328,,solo,707,1,Zach2EZ,,,,0,
custom,call-of-the-dead-reimagined-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=VG3aHAwH-WM,,co-op,39:09,2,Zach2EZ,illusionOGz,,,0,
bo3,nacht-der-untoten,70-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=x3sDufIDHBw,,solo,5:21:07,1,Zach2EZ,,,,0,
bo3,nacht-der-untoten,100-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=IiRYOhCPyHQ,,solo,16:59:56,1,Zach2EZ,,,,0,
bo3,ascension,255-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=oLkat7Yhjhk,,solo,50:51:51,1,Zach2EZ,,,,0,
custom,mw-gulag-showers,custom-box-map-bo3,,steam,https://youtube.com/watch?v=UIoBqWHZgJ0,,solo,92,1,Zach2EZ,,,,0,
