game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shangri-la,no-aat,no-gobblegum,playstation,https://youtube.com/watch?v=5JUR_xieZ8k,,solo,30,1,Zach_rubicz,,,,0,
bocw,dead-ops-arcade-iii,doa,high-round,playstation,https://youtube.com/watch?v=NjVuPGQ-fUE,,co-op,41,2,Zach_rubicz,Matt_grawburg,,,0,
bocw,forsaken,first-room,no-support,playstation,https://youtube.com/watch?v=slSimPx-DhM,,solo,34,1,Zach_rubicz,,,,0,
bocw,forsaken,first-room,no-support,playstation,https://youtube.com/watch?v=Ym9ScJvPA7k,,co-op,29,2,Zach_rubicz,Matt_grawburg,,,0,
bocw,die-maschine,first-room,no-support,playstation,https://youtube.com/watch?v=inOTIVwG4_8,,co-op,23,2,Zach_rubicz,Matt_grawburg,,,0,
bocw,firebase-z,no-power,,playstation,https://youtube.com/watch?v=JwZnTGS3rV0,,solo,53,1,Zach_rubicz,,,,0,
bocw,mauer-der-toten,no-power,,playstation,https://youtube.com/watch?v=DDz-hdK6ioU,,solo,32,1,Zach_rubicz,,,,0,
bo3,shangri-la,no-power,mega-gobblegum,playstation,https://youtube.com/watch?v=MJ2mcS7gt0M,,solo,31,1,Zach_rubicz,,,,0,
bocw,satellite,onslaught,,playstation,https://youtube.com/watch?v=sNTd6aki7h4,,solo,70,1,Zach_rubicz,,,,0,
bo3,shangri-la,no-perks,no-gobblegum,playstation,https://youtube.com/watch?v=t-8jnfa9uDQ,,solo,24,1,Zach_rubicz,,,,0,
bo3,moon,no-perks,mega-gobblegum,playstation,https://youtube.com/watch?v=_Z-zvX2_M6g,,solo,18,1,Zach_rubicz,,,,0,
bo3,shangri-la,30-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=5JUR_xieZ8k,,solo,1:29:43,1,Zach_rubicz,,,,0,
