game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shangri-la,high-round,no-gobblegum,steam,https://youtube.com/watch?v=4V6zhjCrOHc,,solo,43,1,Zamia,,,,0,
custom,leviathan-remastered-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=7AUfor3Lsms,,solo,215,1,Zamia,,,,0,
custom,mori-rebirth-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=RBDZvottTyw,,solo,107,1,Zamia,,,,0,
custom,mori-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=b6mCE80hAdM,,solo,101,1,Zamia,,,,0,
custom,leviathan-remastered-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=Wgto_iHe5pI,,co-op,100,2,Zamia,Dotty,,,0,
custom,town-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=ZNSQeOvcEec,,solo,97,1,Zamia,,,,0,
custom,nuketown-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=IGKPECWEK74,,solo,64,1,Zamia,,,,0,
custom,1938-full-circle-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1262161017,,co-op,53,2,Zamia,bop,,,0,
custom,der-riese-declassified-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=GKHtVqYTFzs,,solo,28,1,Zamia,,,,0,
bo3,origins,flawless,classic-gobblegum-only,steam,https://youtube.com/watch?v=nT3AhIeRZkQ,,solo,135,1,Zamia,,,,0,
bo3,shangri-la,flawless,no-gobblegum,steam,https://youtube.com/watch?v=4V6zhjCrOHc,,solo,34,1,Zamia,,,,0,
custom,leviathan-remastered-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=7AUfor3Lsms,,solo,156,1,Zamia,,,,0,
custom,town-reimagined-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=ZNSQeOvcEec,,solo,61,1,Zamia,,,,0,
custom,1938-full-circle-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=CawZiBD32qQ,,co-op,46,2,Zamia,bop,,,0,
custom,les-cendres-du-mal-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=El1fZohXGKI,,solo,35,1,Zamia,,,,0,
custom,mori-rebirth-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=RBDZvottTyw,,solo,34,1,Zamia,,,,0,
custom,der-riese-declassified-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=GKHtVqYTFzs,,solo,28,1,Zamia,,,,0,
bo3,shangri-la,no-aat,no-gobblegum,steam,https://youtube.com/watch?v=4V6zhjCrOHc,,solo,43,1,Zamia,,,,0,
custom,1938-full-circle-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=IHkSWtpOqcA,,co-op,14,2,Zamia,bop,,,0,
custom,europa-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=RPRvU_ZH_UU,,co-op,14,2,Zamia,bop,,,0,
custom,les-cendres-du-mal-bo3,custom-no-power-bo3,,steam,https://youtube.com/watch?v=El1fZohXGKI,,solo,50,1,Zamia,,,,0,
custom,1938-full-circle-bo3,custom-30-speedrun-bo3,,steam,http://twitch.tv/videos/1262161017,,co-op,34:27,2,Zamia,bop,,,0,
custom,mori-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=nFfzGA7gn7w,,co-op,39:49,2,Zamia,bop,,,0,
community,dead-again,com-song-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=THLmaku3uHw,,solo,1:19,1,Zamia,,,,0,
community,infected,com-freerun-speedrun,,steam,https://youtube.com/watch?v=ehFB5NXPwB0,,solo,2:15,1,Zamia,,,,0,
community,sidewinder,com-freerun-speedrun,,steam,https://youtube.com/watch?v=vTA-5zFJ9YM,,solo,2:21,1,Zamia,,,,0,
