game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=YZ1F30ADu8c,,co-op,102,2,Zepa-Kill-Manda,RUVENFUMAJACK,,,0,
custom,les-cendres-du-mal-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=B0AcdDAA7K0,,solo,122,1,Zepa-Kill-Manda,,,,0,
custom,les-cendres-du-mal-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=ZReinnjQU4U,,co-op,106,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,mori-rebirth-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=51IDRx5ldwY,,co-op,92,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,return-to-das-herrenhaus-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/1796115474,,co-op,85,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,return-to-bus-depot-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=5BLI3jIEzNw,,co-op,70,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,five-nights-at-freddys-3-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=Z4ym4uwpzGo,,co-op,69,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,fabrik-der-untoten-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=DDoWyCcIeW0,,co-op,57,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,diner-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=25cAaRj5bO8,,co-op,56,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,the-iron-dragon-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=X0-kipZ4skQ,,co-op,48,2,Zepa-Kill-Manda,RUVENFUMAJACK,,,0,
custom,void-expanse-bo3,custom-high-round-bo3,,steam,http://twitch.tv/videos/2144155301,,co-op,48,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,clinic-of-evil-waw-bo1,custom-high-round,,steam,https://youtube.com/watch?v=MU-NNiMeE7w,,co-op,86,2,Zepa-Kill-Manda,RUVENFUMAJACK,,,0,
custom,les-cendres-du-mal-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=B0AcdDAA7K0,,solo,122,1,Zepa-Kill-Manda,,,,0,
custom,les-cendres-du-mal-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=ZReinnjQU4U,,co-op,86,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,mori-rebirth-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=51IDRx5ldwY,,co-op,77,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
bo,moon,nml,,steam,http://twitch.tv/videos/1803050386,,co-op,400,3,RUVENFUMAJACK,wolfis,Zepa-Kill-Manda,,0,
custom,the-iron-dragon-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=tr3Irg9YgvA,,solo,12,1,Zepa-Kill-Manda,,,,0,
bo,call-of-the-dead,no-power,,steam,https://youtube.com/watch?v=AH26xcte3SQ,,co-op,52,4,RUVENFUMAJACK,Carloskrillex,Eltete970,Zepa-Kill-Manda,0,
bo,five,no-power,,steam,http://twitch.tv/videos/1963021607,,co-op,38,4,Andriuskas.exe,RUVENFUMAJACK,Zepa-Kill-Manda,Comander_Borja,0,
custom,felon,custom-box-map-bo3,,steam,https://youtube.com/watch?v=IuOSxy-0fJY,,co-op,72,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,mob-bridge-survival,custom-box-map-bo3,,steam,http://twitch.tv/videos/2145602524,,co-op,71,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,atrox,custom-box-map-bo3,,steam,https://youtube.com/watch?v=c5sp5f8h7dU,,co-op,70,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,henge,custom-box-map-bo3,,steam,https://youtube.com/watch?v=WRV7SPy9Pyg,,solo,65,1,Zepa-Kill-Manda,,,,0,
custom,flakk,custom-box-map-bo3,,steam,http://twitch.tv/videos/2161670738,,co-op,60,2,RUVENFUMAJACK,Zepa-Kill-Manda,,,0,
custom,thunders-box,custom-box-map,,steam,https://youtube.com/watch?v=vSzlDSBCtKY,,solo,99,1,Zepa-Kill-Manda,,,,0,
