game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,origins,high-round,,steam,https://youtube.com/watch?v=YXhRWs78_dU,,co-op,59,4,WTF12345678905,Ricktness,Mystic,Ziggiis,0,
waw,der-riese,high-round,fixed-wunderwaffe,steam,https://youtube.com/watch?v=i1Imq2ik9jE,,co-op,49,4,Ricktness,Mystic,WTF12345678905,Ziggiis,0,
bo2,buried,flawless,,steam,https://youtube.com/watch?v=OgutQasSVxc,,co-op,50,4,Ricktness,Mystic,WTF12345678905,Ziggiis,0,
bo2,buried,flawless,,steam,https://youtube.com/watch?v=_WDRnKg-W68,,co-op,44,4,Ricktness,WTF12345678905,PACKED PUNCH,Ziggiis,0,
waw,der-riese,flawless,fixed-wunderwaffe,steam,https://youtube.com/watch?v=i1Imq2ik9jE,,co-op,32,4,Ricktness,WTF12345678905,Ziggiis,Mystic,0,
bo2,buried,first-room,processing-with-raygun,steam,https://youtube.com/watch?v=nsp1PL8hA8c,,co-op,33,4,WTF12345678905,Ricktness,Mystic,Ziggiis,0,
waw,der-riese,30-speedrun,fixed-wunderwaffe,steam,https://youtube.com/watch?v=-1MKCYZ63Bw,,co-op,1:09:14,4,WTF12345678905,Ricktness,Mystic,Ziggiis,0,
bo2,origins,30-speedrun,,steam,https://youtube.com/watch?v=G7zHWLApK8g,,co-op,1:19:41,4,WTF12345678905,Ricktness,Mystic,Ziggiis,0,
bo2,mob-of-the-dead,30-speedrun,,steam,https://youtube.com/watch?v=Lr0ZaBfgpPs,,co-op,1:19:47,4,WTF12345678905,Ricktness,Mystic,Ziggiis,0,
bo2,tranzit,30-speedrun,,steam,https://youtube.com/watch?v=vxcZUSMQ3A0,,co-op,1:20:38,4,Ricktness,Mystic,WTF12345678905,Ziggiis,0,
bo2,mob-of-the-dead,50-speedrun,,steam,https://youtube.com/watch?v=Lr0ZaBfgpPs,,co-op,4:07:32,4,WTF12345678905,Ricktness,Mystic,Ziggiis,0,
community,buried,com-no-buildables,with-leroy,steam,https://youtube.com/watch?v=OgutQasSVxc,,co-op,50,4,Ricktness,Ziggiis,Mystic,WTF12345678905,0,
community,mob-of-the-dead,com-uzi,,steam,https://youtube.com/watch?v=vIW3qn-A-MM,,co-op,13,4,Ricktness,Mystic,Ziggiis,WTF12345678905,0,
community,tranzit,com-mp5,,steam,https://youtube.com/watch?v=vIW3qn-A-MM,,co-op,17,4,Ricktness,Ziggiis,Mystic,WTF12345678905,0,
community,die-rise,com-b23r,,steam,https://youtube.com/watch?v=vIW3qn-A-MM,,co-op,16,4,Ricktness,WTF12345678905,Ziggiis,Mystic,0,
