game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,the-giant,high-round,no-gobblegum,steam,https://youtube.com/watch?v=VJa452ol6zU,,co-op,38,3,Djandrix46,Spongyy,ZombiePowerNOBAGUETTEGUY,,0,
bo3,kino-der-toten,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=7mf9IwcOHKk,,solo,35,1,ZombiePowerNOBAGUETTEGUY,,,,0,
bo2,die-rise,high-round,,steam,https://youtube.com/watch?v=G7bNJCfWZeE,,co-op,35,4,Djandrix46,Niko2027,ZombiePowerNOBAGUETTEGUY,Dewyz38,0,
bo,five,high-round,,steam,http://twitch.tv/videos/1664315352,,co-op,34,4,ZombiePowerNOBAGUETTEGUY,Djandrix46,Dewyz38,Niko2027,0,
bo,ascension,high-round,,steam,https://youtube.com/watch?v=i7AKakthr_o,,co-op,33,4,ZombiePowerNOBAGUETTEGUY,Djandrix46,ThatRickGuy,Spongyy,0,
bo,kino-der-toten,high-round,,steam,https://youtube.com/watch?v=IC5eVwjUKH8,,co-op,33,4,ZombiePowerNOBAGUETTEGUY,Djandrix46,Spongyy,ThatRickGuy,0,
bo,call-of-the-dead,high-round,,steam,https://youtube.com/watch?v=yJDOIE3IyEs,,co-op,30,3,ZombiePowerNOBAGUETTEGUY,Djandrix46,Dewyz38,,0,
bo,shangri-la,high-round,,steam,https://youtube.com/watch?v=uzE8M3xvKvQ,,co-op,27,4,ZombiePowerNOBAGUETTEGUY,Spongyy,Dewyz38,ThatRickGuy,0,
bo,nacht-der-untoten,high-round,,steam,https://youtube.com/watch?v=S4-fQI-MwCY,,co-op,26,4,ZombiePowerNOBAGUETTEGUY,Spongyy,Dewyz38,ThatRickGuy,0,
bo,call-of-the-dead,high-round,,steam,https://youtube.com/watch?v=gJnt2N-iVQk,,co-op,24,4,ZombiePowerNOBAGUETTEGUY,Djandrix46,Puzzi,ThatRickGay,0,
bo,moon,high-round,,steam,https://youtube.com/watch?v=HCZ3OzOUmPg,,co-op,19,4,ZombiePowerNOBAGUETTEGUY,Djandrix46,Spongyy,ThatRickGuy,0,
bo,nacht-der-untoten,high-round,,steam,https://youtube.com/watch?v=WJUSpclIVZQ,,co-op,15,4,Djandrix46,ZombiePowerNOBAGUETTEGUY,Spongyy,ThatRickGuy,0,
bo2,buried,no-perks,,steam,https://youtube.com/watch?v=Wal9UWaZ2y0,,co-op,28,2,Djandrix46,ZombiePowerNOBAGUETTEGUY,,,0,
