game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
waw,shi-no-numa,high-round,,xbox,https://youtube.com/watch?v=R5nhsUQgZ1o,,solo,4529,1,ZombieSlayerGER,,,,0,
bo,shi-no-numa,high-round,,xbox,https://youtube.com/watch?v=tyCnl7YTcN4,,solo,140,1,ZombieSlayerGER,,,,0,
bo,ascension,high-round,,xbox,https://youtube.com/watch?v=mnoEqHQpQh8,,co-op,134,2,ZombieSlayerGER,Figsew,,,0,
bo,shi-no-numa,high-round,,xbox,https://youtube.com/watch?v=fEcsW1GbtFg,,co-op,104,2,ZombieSlayerGER,Figsew,,,0,
bo2,die-rise,high-round,,xbox,https://youtube.com/watch?v=BvTIk2wPmRk,,co-op,102,2,Eron1x,ZombieSlayerGER,,,0,
bo2,origins,high-round,,xbox,https://youtube.com/watch?v=PypcECQFGyk,,co-op,93,2,ZombieSlayerGER,Jairo,,,0,
bo,moon,high-round,,xbox,https://youtube.com/watch?v=QniGdSONZ0k,,co-op,91,2,veKtik,ZombieSlayerGER,,,0,
bo2,tranzit,high-round,,xbox,https://youtube.com/watch?v=FtzcuK1imc8,,co-op,90,2,ZombieSlayerGER,The Extream,,,0,
bo,call-of-the-dead,high-round,,xbox,https://youtube.com/watch?v=UPUWVWSuUTI,,co-op,90,2,veKtik,ZombieSlayerGER,,,0,
waw,shi-no-numa,high-round,,xbox,https://youtube.com/watch?v=O5whoaPHL3w,,co-op,89,2,ZombieSlayerGER,Figsew,,,0,
bo,verruckt,high-round,,xbox,https://youtube.com/watch?v=0GSs8ou3-kA,,co-op,86,2,ZombieSlayerGER,veKtik,,,0,
bo2,town,high-round,,xbox,https://youtube.com/watch?v=ZBdcQTo8CYc,,co-op,85,2,ZombieSlayerGER,CiNex,,,0,
bo,shi-no-numa,high-round,,xbox,https://youtube.com/watch?v=dOzjYC3S5J4,,co-op,83,2,BLacKxMaJic,ZombieSlayerGER,,,0,
waw,der-riese,high-round,original,xbox,https://youtube.com/watch?v=K2BaLpKR5CE,,co-op,69,2,veKtik,ZombieSlayerGER,,,0,
waw,shi-no-numa,high-round,,xbox,https://youtube.com/watch?v=28c0ZKE680U,,co-op,69,2,veKtik,ZombieSlayerGER,,,0,
bo2,mob-of-the-dead,high-round,,xbox,https://youtube.com/watch?v=HqQl_Tw527U,,co-op,55,3,murdermangully,ZombieSlayerGER,ACE KRIMXO,,0,
bo2,town,high-round,,xbox,https://youtube.com/watch?v=Dz3W8H2FFJA,,co-op,50,4,veKtik,C i IN e X,ZombieSlayerGER,Kuschel,0,
waw,nacht-der-untoten,high-round,original,xbox,https://youtube.com/watch?v=eSpoQ8-t45Y,,co-op,44,2,veKtik,ZombieSlayerGER,,,0,
waw,shi-no-numa,50-speedrun,none,xbox,http://twitch.tv/videos/40982844,,co-op,3:09:46,2,ZombieSlayerGER,Figsew,,,0,
