game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,the-tomb,high-round,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=fNktUMAvn-I,,solo,999,1,Zombie_Channel_Ztp,,,,0,
bo6,liberty-falls,high-round,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=NJEEBMa5EXE,,solo,999,1,Zombie_Channel_Ztp,,,,0,
bocw,mauer-der-toten,high-round,with-support,playstation,https://youtube.com/watch?v=eMwSKePNBJQ,,solo,935,1,Zombie_Channel_Ztp,,,,0,
bo3,revelations,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=9nprYPBRcLw,,solo,255,1,Zombie_Channel_Ztp,,,,0,
bo3,shadows-of-evil,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=33jPED-16mU,,solo,255,1,Zombie_Channel_Ztp,,,,0,
iw,rave-in-the-redwoods,high-round,fate-cards-only,playstation,https://youtube.com/watch?v=R4lpdIamdFE,,solo,216,1,Zombie_Channel_Ztp,,,,0,
bo3,gorod-krovi,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=1EsDkIq8I2c,,solo,111,1,Zombie_Channel_Ztp,,,,0,
iw,shaolin-shuffle,high-round,fate-cards-only,playstation,https://youtube.com/watch?v=vYpr2ED0Zpk,,solo,96,1,Zombie_Channel_Ztp,,,,0,
custom,fabrik-der-untoten-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=1DEQRTz8pe4,,solo,206,1,Zombie_Channel_Ztp,,,,0,
custom,mcdonalds-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=gEkU9Nov6is,,solo,191,1,Zombie_Channel_Ztp,,,,0,
custom,europa-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=ItGUGXqAumQ,,solo,183,1,Zombie_Channel_Ztp,,,,0,
custom,kowloon-reimagined-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=ETGHHjpibaU,,solo,141,1,Zombie_Channel_Ztp,,,,0,
custom,the-iron-dragon-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=ZplnSEQjS-E,,solo,103,1,Zombie_Channel_Ztp,,,,0,
custom,kowloon-waw-bo1,custom-high-round,,steam,https://youtube.com/watch?v=G9AyApgMqwc,,solo,114,1,Zombie_Channel_Ztp,,,,0,
bo6,the-tomb,flawless,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=fNktUMAvn-I,,solo,999,1,Zombie_Channel_Ztp,,,,0,
bo6,liberty-falls,flawless,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=NJEEBMa5EXE,,solo,999,1,Zombie_Channel_Ztp,,,,0,
bocw,mauer-der-toten,flawless,with-support,playstation,https://youtube.com/watch?v=eMwSKePNBJQ,,solo,935,1,Zombie_Channel_Ztp,,,,0,
bo3,revelations,flawless,mega-gobblegum,steam,https://youtube.com/watch?v=9nprYPBRcLw,,solo,255,1,Zombie_Channel_Ztp,,,,0,
iw,rave-in-the-redwoods,flawless,fate-cards-only,playstation,https://youtube.com/watch?v=R4lpdIamdFE,,solo,216,1,Zombie_Channel_Ztp,,,,0,
custom,fabrik-der-untoten-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=1DEQRTz8pe4,,solo,206,1,Zombie_Channel_Ztp,,,,0,
custom,europa-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=ItGUGXqAumQ,,solo,183,1,Zombie_Channel_Ztp,,,,0,
custom,kowloon-reimagined-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=ETGHHjpibaU,,solo,141,1,Zombie_Channel_Ztp,,,,0,
custom,the-iron-dragon-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=ZplnSEQjS-E,,solo,103,1,Zombie_Channel_Ztp,,,,0,
custom,felon,custom-box-map-bo3,,steam,https://youtube.com/watch?v=mZUN-2AuroM,,solo,151,1,Zombie_Channel_Ztp,,,,0,
