game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,the-giant,high-round,no-gobblegum,playstation,http://twitch.tv/videos/594585481,,co-op,81,4,Diegothegameur,Deflagra04,aZpBastos,Pianf,0,
custom,kowloon-waw-bo1,custom-high-round,,steam,http://twitch.tv/videos/2130330154,,co-op,91,2,BDZ Fxi,aZpBastos,,,0,
bo3,zetsubou-no-shima,first-room,no-gobblegum,playstation,http://twitch.tv/videos/560891871,,co-op,46,2,aZpBastos,eV_Crony,,,0,
bo2,buried,first-room,processing-with-raygun,steam,http://twitch.tv/videos/2023103268,,co-op,41,3,BDZ Fxi,BDZ Ekzx,aZpBastos,,0,
bo3,zetsubou-no-shima,first-room,no-gobblegum,playstation,http://twitch.tv/videos/372283806,,co-op,39,3,aZpBastos,Monster115,zN_EnTiX,,0,
bo2,die-rise,first-room,,steam,http://twitch.tv/videos/2020669359,,co-op,34,4,BDZ Fxi,BDZ Ekzx,aZpBastos,Madigan,0,
bo4,voyage-of-despair,first-room,classic-elixirs-only-hardcore,playstation,http://twitch.tv/videos/345802453,,co-op,26,4,WLR51sang,PurpleHaze1326,TakaTheGod,aZpBastos,0,
custom,perish-waw-bo1,custom-first-room,,steam,http://twitch.tv/videos/2044380185,,co-op,23,2,BDZ Fxi,aZpBastos,,,0,
custom,kowloon-waw-bo1,custom-first-room,,steam,http://twitch.tv/videos/2044449644,,co-op,21,2,BDZ Fxi,aZpBastos,,,0,
custom,return-to-das-herrenhaus-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=oMJL_Dgs1pM,,co-op,23,2,Zenii_,aZpBastos,,,0,
custom,nacht-der-agonie-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=qxgWYs5mVzg,,co-op,16,2,Zenii_,aZpBastos,,,0,
custom,kowloon-waw-bo1,custom-no-power,,steam,http://twitch.tv/videos/2042882248,,co-op,50,2,aZpBastos,BDZ Ekzx,,,0,
custom,perish-waw-bo1,custom-no-power,,steam,http://twitch.tv/videos/2045645852,,co-op,42,2,BDZ Fxi,aZpBastos,,,0,
bo2,farm,no-magic,,steam,http://twitch.tv/videos/1925043444,,co-op,42,2,BDZ Fxi,aZpBastos,,,0,
bo3,zetsubou-no-shima,no-jug,no-gobblegum,playstation,http://twitch.tv/videos/560891871,,co-op,46,2,aZpBastos,eV_Crony,,,0,
custom,kowloon-waw-bo1,custom-30-speedrun,,steam,http://twitch.tv/videos/2127551871,,solo,32:37,1,aZpBastos,,,,0,
custom,kowloon-waw-bo1,custom-50-speedrun,,steam,http://twitch.tv/videos/2130330154,,co-op,1:25:47,2,BDZ Fxi,aZpBastos,,,0,
community,shangri-la,com-5and5,,steam,http://twitch.tv/videos/2008710563,,co-op,23,4,BDZ Fxi,BDZ Ekzx,aZpBastos,Zenii_,0,
community,five,com-5and5,,steam,http://twitch.tv/videos/2008705396,,co-op,20,4,BDZ Fxi,BDZ Ekzx,aZpBastos,Zenii_,0,
community,shangri-la,com-5and5,,steam,http://twitch.tv/videos/2050583183,,solo,18,1,aZpBastos,,,,0,
community,call-of-the-dead,com-5and5,,steam,http://twitch.tv/videos/2008706599,,co-op,11,4,BDZ Fxi,BDZ Ekzx,aZpBastos,Zenii_,0,
