game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
custom,les-cendres-du-mal-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=xBsnD-ht_oE,,solo,57,1,adriamontero,,,,0,
bo3,ascension,no-aat,classic-gobblegum-only,steam,https://youtube.com/watch?v=VeRh3cGznaY,,co-op,35,2,byTyneeZ,adriamontero,,,0,
waw,nacht-der-untoten,first-room,none,steam,https://youtube.com/watch?v=8NuKR-FK9r8,,solo,31,1,adriamontero,,,,0,
custom,les-cendres-du-mal-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=vu39k9MBVbM,,solo,42,1,adriamontero,,,,0,
custom,mori-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=mIR0FHCGHXk,,solo,31,1,adriamontero,,,,0,
custom,farm-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=SHwD9v05uCs,,solo,29,1,adriamontero,,,,0,
bo3,origins,no-perks,no-gobblegum,steam,https://youtube.com/watch?v=KEdYmqThUWk,,co-op,29,2,adriamontero,byTyneeZ,,,0,
bo3,origins,no-perks,classic-gobblegum-only,steam,https://youtube.com/watch?v=9UtpOOGE4YI,,co-op,20,2,byTyneeZ,adriamontero,,,0,
bo3,origins,no-jug,no-gobblegum,steam,https://youtube.com/watch?v=KEdYmqThUWk,,co-op,29,2,byTyneeZ,adriamontero,,,0,
bo3,origins,no-jug,classic-gobblegum-only,steam,https://youtube.com/watch?v=9UtpOOGE4YI,,co-op,20,2,byTyneeZ,adriamontero,,,0,
