game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo4,tag-der-toten,high-round,classic-elixirs-only,xbox,https://youtube.com/watch?v=qt-w-wJ62vo,,solo,113,1,any glitch,,,,0,
waw,shi-no-numa,high-round,,steam,https://youtube.com/watch?v=o3YXgGsb6RU,,solo,101,1,any glitch,,,,0,
bocw,die-maschine,high-round,without-support,playstation,https://youtube.com/watch?v=NHE-2OuSddg,,solo,65,1,any glitch,,,,0,
bo3,origins,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=f2MdkoZ2w-o,,solo,62,1,any glitch,,,,0,
bocw,mauer-der-toten,high-round,without-support,cross-play,https://youtube.com/watch?v=UFm1kdNrRhk,,solo,60,1,any glitch,,,,0,
bo6,shattered-veil,high-round,no-gobblegums-no-support,xbox,https://youtube.com/watch?v=w-atFLeIXNU,,solo,53,1,any glitch,,,,0,
bocw,die-maschine,high-round,with-support,xbox,https://youtube.com/watch?v=ZU5s3cDdTx8,,solo,50,1,any glitch,,,,0,
bocw,firebase-z,high-round,without-support,cross-play,https://youtube.com/watch?v=K1wkLsDYPYM,,solo,42,1,any glitch,,,,0,
bocw,mauer-der-toten,high-round,with-support,xbox,https://youtube.com/watch?v=1RadX2kmap4,,solo,36,1,any glitch,,,,0,
bo2,buried,high-round,,steam,https://youtube.com/watch?v=XIkUk1W0zj4,,solo,33,1,any glitch,,,,0,
bo3,nacht-der-untoten,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=CGcYh82nzE0,,solo,30,1,any glitch,,,,0,
bo2,origins,high-round,,steam,http://twitch.tv/videos/2410398086,,solo,27,1,any glitch,,,,0,
bo,ascension,high-round,,steam,https://youtube.com/watch?v=Siy5DB7WZAg,,solo,24,1,any glitch,,,,0,
iw,shaolin-shuffle,high-round,fate-fortune-cards,steam,https://youtube.com/watch?v=n6JhkqDyEwk,,solo,19,1,any glitch,,,,0,
wwii,the-frozen-dawn,high-round,,steam,https://youtube.com/watch?v=2JqGn3F5YjM,,solo,17,1,any glitch,,,,0,
wwii,the-darkest-shore,high-round,,steam,https://youtube.com/watch?v=puCL_nncSF0,,solo,16,1,any glitch,,,,0,
waw,verruckt,high-round,original,steam,https://youtube.com/watch?v=H6RDP6PwY9I,,solo,15,1,any glitch,,,,0,
wwii,the-final-reich,high-round,,steam,https://youtube.com/watch?v=1ZeDLA4vX48,,solo,10,1,any glitch,,,,0,
bo4,tag-der-toten-hardcore,high-round-hc,all-elixirs-talismans,battle.net,http://twitch.tv/videos/1932027709,,solo,145,1,any glitch,,,,0,
bo4,tag-der-toten-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=zYgSmqVz-_w,,solo,98,1,any glitch,,,,0,
custom,der-riese-declassified-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=-lrwC8O7khE,,solo,39,1,any glitch,,,,0,
custom,diner-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=Fl16bnUmj4s,,solo,20,1,any glitch,,,,0,
custom,requiem-waw-bo1,custom-high-round,,steam,https://youtube.com/watch?v=pm8R4LrrhIo,,solo,27,1,any glitch,,,,0,
bo3,origins,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=f2MdkoZ2w-o,,solo,62,1,any glitch,,,,0,
bo3,origins,no-aat,mega-gobblegum,playstation,https://youtube.com/watch?v=f2MdkoZ2w-o,,solo,62,1,any glitch,,,,0,
bo4,ancient-evil,first-room,all-elixirs-talismans-hardcore,battle.net,https://youtube.com/watch?v=G_VuR37qadg,,solo,58,1,any glitch,,,,0,
bo4,classified,first-room,all-elixirs-talismans-hardcore,battle.net,https://youtube.com/watch?v=k3qnq0Kin2s,,solo,58,1,any glitch,,,,0,
bo4,ancient-evil,first-room,all-elixirs-talismans,battle.net,http://twitch.tv/videos/2131826807,,solo,57,1,any glitch,,,,0,
community,moon-bo3,com-pap-speedruns,none,steam,https://youtube.com/watch?v=Mwia-R-4OCI,,solo,0:20,1,any glitch,,,,0,
