game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,mauer-der-toten,high-round,with-support,playstation,https://youtube.com/watch?v=63XvUYAb8UQ,,solo,813,1,axpers,,,,0,
bocw,die-maschine,high-round,with-support,playstation,https://youtube.com/watch?v=nUpVgtyWmv4,,solo,266,1,axpers,,,,0,
bo3,revelations,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=PfqFDuX7qSg,,solo,255,1,axpers,,,,0,
bo6,liberty-falls,high-round,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=JZVx5eF6NPY,,solo,110,1,axpers,,,,0,
bo3,revelations,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=5rrLF4E-vWs,,solo,217,1,axpers,,,,0,
bo3,der-eisendrache,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=BHTWOhgtg-Q,,solo,46,1,axpers,,,,0,
bo3,origins,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=f_iq6DRfbko,,solo,46,1,axpers,,,,0,
bocw,firebase-z,no-perks,with-support,playstation,https://youtube.com/watch?v=T3ydmExFZkY,,solo,70,1,axpers,,,,0,
bocw,mauer-der-toten,no-jug,no-armour,playstation,https://youtube.com/watch?v=lEizE36jMNA,,solo,87,1,axpers,,,,0,
bo3,der-eisendrache,no-jug,no-gobblegum,playstation,https://youtube.com/watch?v=2nvcBKueFSs,,solo,76,1,axpers,,,,0,
bocw,die-maschine,30-speedrun,rampage-inducer,playstation,https://youtube.com/watch?v=C_LKe9yQXuc,,solo,23:55,1,axpers,,,,0,
bo3,verruckt,30-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=-ZNnBCX7sqc,,solo,33:44,1,axpers,,,,0,
bocw,firebase-z,30-speedrun,normal,playstation,https://youtube.com/watch?v=2dvUr4DktZM,,solo,36:46,1,axpers,,,,0,
bo3,der-eisendrache,50-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=2nvcBKueFSs,,solo,1:23:49,1,axpers,,,,0,
bo3,nacht-der-untoten,50-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=ExNwOdhYeNk,,solo,2:36:16,1,axpers,,,,0,
bocw,mauer-der-toten,70-speedrun,normal,playstation,https://youtube.com/watch?v=d46YQsxw8JA,,solo,1:33:49,1,axpers,,,,0,
bocw,firebase-z,70-speedrun,normal,playstation,https://youtube.com/watch?v=xqtwvBe9eY8,,solo,1:35:11,1,axpers,,,,0,
bo3,der-eisendrache,70-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=I_Ef94VcdNs,,solo,2:03:43,1,axpers,,,,0,
bo3,origins,70-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=qsJ2KIbcnuY,,solo,2:35:38,1,axpers,,,,0,
bocw,forsaken,100-speedrun,,playstation,https://youtube.com/watch?v=JsO-f7XMHH4,,solo,2:04:16,1,axpers,,,,0,
bocw,mauer-der-toten,100-speedrun,normal,playstation,https://youtube.com/watch?v=d46YQsxw8JA,,solo,2:24:23,1,axpers,,,,0,
bocw,firebase-z,100-speedrun,normal,playstation,https://youtube.com/watch?v=xqtwvBe9eY8,,solo,2:41:19,1,axpers,,,,0,
bo3,revelations,100-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=qYYvEHvCQbw,,solo,3:10:11,1,axpers,,,,0,
bo3,revelations,100-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=E0gQhRw-huk,,solo,3:22:24,1,axpers,,,,0,
bo3,der-eisendrache,100-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=I_Ef94VcdNs,,solo,4:20:16,1,axpers,,,,0,
bo3,origins,100-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=LWj3MdxGIkA,,solo,4:33:51,1,axpers,,,,0,
bocw,die-maschine,exfil-speedrun,round-11,playstation,https://youtube.com/watch?v=2dvUr4DktZM,,solo,9:23,1,axpers,,,,0,
bocw,mauer-der-toten,exfil-speedrun,round-11,playstation,https://youtube.com/watch?v=UsNAdmsXoPc,,co-op,10:27,2,axpers,Brazzers,,,0,
custom,octagonal-ascension,custom-octagonal-speedrun-bo3,,steam,https://youtube.com/watch?v=EO2u7q67hZU,,solo,12:13,1,axpers,,,,0,
