game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
custom,evil-christmas-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=FMIABqd90zA,,co-op,44,2,basket,Rogerkaiden,,,0,
custom,evil-christmas-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=9BN7DfVxiDA,,co-op,38,2,basket,Kanye,,,0,
bo3,verruckt,first-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=nvf6iaoX53A,,co-op,16,4,basket,Pine,ErikTheRed,Miatzu,0,
bo3,kino-der-toten,first-room,no-gobblegum,steam,https://youtube.com/watch?v=LTjUvPRWTqM,,co-op,16,4,basket,Erik,Miatzu,Diversity,0,
bo3,ascension,first-room,no-gobblegum,steam,https://youtube.com/watch?v=rVuDwC1mcKI,,co-op,15,4,basket,peso,Tyrone Higgins,I-H8,0,
bo3,kino-der-toten,first-room,classic-gobblegum-only,steam,https://youtube.com/watch?v=ogbI3mejtCU,,co-op,14,3,basket,Kanye,SkepticZxz,,0,
custom,the-iron-dragon-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=IoRNz32s3mc,,co-op,16,2,Day,basket,,,0,
custom,1938-full-circle-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=kNBNNaht8aY,,co-op,13,2,basket,Zero,,,0,
custom,the-dome-simpsons-bo3,custom-first-room-bo3,,steam,https://youtube.com/watch?v=TdYh6xaAppk,,co-op,10,2,basket,ErikTheRed,,,0,
custom,poop-of-the-dead,custom-box-map-bo3,,steam,https://youtube.com/watch?v=nfBtbzjDt3M,,co-op,35,2,basket,Doublej74,,,0,
