game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,mega-gobblegum,steam,https://youtube.com/watch?v=ZfULlXhWozE,,solo,255,1,blynkzy,,,,0,
custom,evil-christmas-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=b1ug6HdGiiI,,solo,42,1,blynkzy,,,,0,
custom,der-riese-declassified-bo3,custom-high-round-bo3,,steam,https://youtube.com/watch?v=pC-klc88JrQ,,solo,16,1,blynkzy,,,,0,
custom,town-reimagined-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=DK-cgTpd0-g,,solo,30,1,blynkzy,,,,0,
custom,der-riese-declassified-bo3,custom-flawless-bo3,,steam,https://youtube.com/watch?v=pC-klc88JrQ,,solo,16,1,blynkzy,,,,0,
bo3,shangri-la,no-aat,mega-gobblegum,steam,https://youtube.com/watch?v=LG80ZPoVHkw,,co-op,43,2,blynkzy,clasp,,,0,
bo4,dead-of-the-night,first-room,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=8DZcMKvd1mE,,solo,58,1,blynkzy,,,,0,
custom,der-riese-declassified-bo3,custom-no-power-bo3,,steam,https://youtube.com/watch?v=pC-klc88JrQ,,solo,16,1,blynkzy,,,,0,
bocw,nuketown-84,onslaught,containment,steam,https://youtube.com/watch?v=B_yUKNUtCFI,,co-op,51,2,blynkzy,clasp,,,0,
bocw,checkmate,onslaught,,steam,https://youtube.com/watch?v=4XtqqtsXIVs,,solo,36,1,blynkzy,,,,0,
custom,town-reimagined-bo3,custom-30-speedrun-bo3,,steam,https://youtube.com/watch?v=DK-cgTpd0-g,,solo,44:40,1,blynkzy,,,,0,
bo4,tag-der-toten,50-speedrun,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=WsXJXpRLpso,,solo,55:03,1,blynkzy,,,,0,
custom,mw-gulag-showers,custom-box-map-bo3,,steam,https://youtube.com/watch?v=wjUDG2skAS8,,solo,60,1,blynkzy,,,,0,
custom,endalen,custom-box-map-bo3,,steam,https://youtube.com/watch?v=4Q6TNSOKYeM,,co-op,36,2,blynkzy,liamsmyth,,,0,
custom,spongebobs-house,custom-box-map-bo3,,steam,https://youtube.com/watch?v=fCo_QzDf43c,,solo,34,1,blynkzy,,,,0,
custom,poop-of-the-dead,custom-box-map-bo3,,steam,https://youtube.com/watch?v=zchpf4LU1H4,,solo,23,1,blynkzy,,,,0,
