game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,liberty-falls,high-round,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=MGYCLR3YTrk,,solo,30,1,bookycast,,,,0,
bo4,ix,high-round,classic-elixirs-only,battle.net,https://youtube.com/watch?v=JPZwt0omKp4,,solo,30,1,bookycast,,,,0,
iw,shaolin-shuffle,high-round,fate-cards-only,xbox,https://youtube.com/watch?v=oUbkbJ0cmps,,solo,24,1,bookycast,,,,0,
bo6,terminus,high-round,no-gobblegums-with-support,xbox,https://youtube.com/watch?v=CF88JF5a_RI,,solo,21,1,bookycast,,,,0,
bo3,verruckt,high-round,classic-gobblegum-only,xbox,https://youtube.com/watch?v=UYlKgrf4VoI,,solo,20,1,bookycast,,,,0,
wwii,the-final-reich,high-round,,xbox,https://youtube.com/watch?v=h_XeN-6Ud5Y,,solo,16,1,bookycast,,,,0,
bo3,nacht-der-untoten,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=33eofeQlJCg,,solo,16,1,bookycast,,,,0,
waw,der-riese,high-round,original,steam,https://youtube.com/watch?v=-MJEGXh1_gc,,solo,16,1,bookycast,,,,0,
bocw,die-maschine,high-round,without-support,steam,https://youtube.com/watch?v=erVknUD0hBs,,solo,16,1,bookycast,,,,0,
bo4,ancient-evil,high-round,classic-elixirs-only,battle.net,https://youtube.com/watch?v=2FfztD7rAvs,,solo,15,1,bookycast,,,,0,
bo3,der-eisendrache,high-round,classic-gobblegum-only,steam,https://youtube.com/watch?v=SPEtl70ZHkk,,solo,12,1,bookycast,,,,0,
waw,verruckt,high-round,original,steam,https://youtube.com/watch?v=QDMV2EmLE28,,solo,12,1,bookycast,,,,0,
bocw,die-maschine,first-room,no-support,steam,https://youtube.com/watch?v=cpX5BHgsW_U,,solo,20,1,bookycast,,,,0,
iw,spaceland,iw-no-perks,fate-cards-only,xbox,https://youtube.com/watch?v=Ma81MR6XK-Q,,solo,12,1,bookycast,,,,0,
community,nacht-der-untoten,com-thompson,world-at-war,xbox,https://youtube.com/watch?v=XNtyddsiXqE,,solo,15,1,bookycast,,,,0,
