game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,first-room,mega-gobblegum,xbox,http://twitch.tv/videos/151051499,,co-op,98,2,Finaln0t1ce,bruhbuttonpro,,,0,
bo3,origins,ee-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/269406225,,co-op,33:15,4,bruhbuttonpro,dannywil325,madisonpro BRT,BEASTofB02,0,
bo3,origins,ee-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/267650936,,co-op,34:18,4,bruhbuttonpro,dannywil325,madisonpro BRT,lo NATH ol,0,
bo3,origins,ee-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/267250217,,co-op,36:20,4,madisonpro BRT,dannywil325,bruhbuttonpro,Raw iWrEaX,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=mLw5lhD5ZaA,,co-op,37:44,2,bruhbuttonpro,Finaln0t1ce,,,0,
bo3,origins,ee-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/174478620,,co-op,38:03,4,madisonpro BRT,dannywil325,bruhbuttonpro,Wasay Da Bomber,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=48Eodw--ub0,,solo,42:44,1,bruhbuttonpro,,,,0,
bo3,zetsubou-no-shima,ee-speedrun,mega-gobblegum,xbox,http://twitch.tv/videos/149805729,,solo,53:47,1,bruhbuttonpro,,,,0,
bo4,blood-of-the-dead,ee-speedrun,all-elixirs-talismans,xbox,http://twitch.tv/videos/334426421,,co-op,57:33,4,dannywil325,Raw iWrEaX,bruhbuttonpro,madisonpro BRT,0,
bo3,origins,ee-speedrun,mega-gobblegum,xbox,https://youtube.com/watch?v=prV8Gab3imc,,solo,1:21:39,1,bruhbuttonpro,,,,0,
bo2,origins,ee-speedrun,,xbox,https://youtube.com/watch?v=t8e_ADMNexY,,solo,1:37:51,1,bruhbuttonpro,,,,0,
