game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,reckoning,flawless,with-gobblegums-with-support,playstation,https://youtube.com/watch?v=z6GUn32WsRY,,co-op,101,2,edguy9187,ThePrettyRabbit,,,0,
bo3,dead-ops-arcade-ii,doa,flawless,playstation,https://youtube.com/watch?v=F0bGpaLSUhk,,co-op,21,4,edguy9187,ThePrettyRabbit,coDnBricks,Panda-_-m1ke,0,
bo6,liberty-falls,first-room,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=6s_vQTmLdI8,,co-op,94,2,edguy9187,ThePrettyRabbit,,,0,
bo4,voyage-of-despair,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=cWSh9-5-EcA,,co-op,55,2,edguy9187,ThePrettyRabbit,,,0,
bo4,voyage-of-despair,first-room,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=8q_CyQf-OSM,,co-op,54,4,edguy9187,ThePrettyRabbit,coDnBricks,BadRandom,0,
bo4,tag-der-toten,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=BiN7nXSdeGo,,co-op,50,4,edguy9187,ThePrettyRabbit,SzilooHU,dCoolldoown,0,
bo4,voyage-of-despair,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=QYMk98VGubs,,co-op,43,3,edguy9187,Panda-_-m1ke,ThePrettyRabbit,,0,
bo4,ancient-evil,first-room,no-elixirs,playstation,https://youtube.com/watch?v=WaqVbY3ptMo,,co-op,42,3,edguy9187,ThePrettyRabbit,dCoolldoown,,0,
bo4,dead-of-the-night,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=jSyboJEIKt8,,co-op,41,4,edguy9187,ThePrettyRabbit,SzilooHU,dCoolldoown,0,
bo4,voyage-of-despair,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=EWQjQRQ4HM8,,co-op,40,3,edguy9187,ThePrettyRabbit,dCoolldoown,,0,
bo4,ancient-evil,first-room,no-elixirs,playstation,https://youtube.com/watch?v=AQmlIukBNYE,,co-op,40,4,edguy9187,ThePrettyRabbit,SzilooHU,dCoolldoown,0,
bo4,dead-of-the-night,first-room,no-elixirs,playstation,https://youtube.com/watch?v=uKjek6u1CzQ,,co-op,39,4,edguy9187,ThePrettyRabbit,SzilooHU,dCoolldoown,0,
bo4,dead-of-the-night,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=gGeqFgLRDug,,co-op,39,3,edguy9187,ThePrettyRabbit,coDnBricks,,0,
bo4,ancient-evil,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=3lgUw-Tzqh0,,co-op,37,4,edguy9187,ThePrettyRabbit,SzilooHU,dCoolldoown,0,
bo4,voyage-of-despair,first-room,no-elixirs,playstation,https://youtube.com/watch?v=x_FML-Xe1os,,co-op,37,4,Maddog187_,ThePrettyRabbit,edguy9187,dCoolldoown,0,
bo4,dead-of-the-night,first-room,no-elixirs,playstation,https://youtube.com/watch?v=l-wajd7JSq0,,co-op,36,2,edguy9187,ThePrettyRabbit,,,0,
bo4,dead-of-the-night,first-room,no-elixirs,playstation,https://youtube.com/watch?v=4PXmCSdu6yE,,co-op,36,3,edguy9187,ThePrettyRabbit,coDnBricks,,0,
bo4,dead-of-the-night,first-room,no-elixirs,playstation,https://youtube.com/watch?v=rW580VpVzWY,,co-op,36,4,edguy9187,ThePrettyRabbit,dCoolldoown,Panda-_-m1ke,0,
bo6,terminus,first-room,no-gobblegums-with-support,playstation,https://youtube.com/watch?v=NsFMNJSqaQE,,co-op,34,2,edguy9187,ThePrettyRabbit,,,0,
bo4,voyage-of-despair,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=71nh0jcXydo,,co-op,31,3,edguy9187,ThePrettyRabbit,coDnBricks,,0,
bo4,ix,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=k6n0rP16ziA,,co-op,31,4,edguy9187,ThePrettyRabbit,SzilooHU,dCoolldoown,0,
bo4,classified,first-room,no-elixirs,playstation,https://youtube.com/watch?v=jvoIs1tFrUQ,,co-op,30,4,edguy9187,ThePrettyRabbit,dCoolldoown,SzilooHU,0,
bo4,ancient-evil,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=F9A0dqk1ghQ,,co-op,29,4,edguy9187,ThePrettyRabbit,Maddog187_,SzilooHU,0,
bo4,ancient-evil,first-room,classic-elixirs-only-hardcore,playstation,https://youtube.com/watch?v=hPQSwDhjVKc,,co-op,29,3,edguy9187,ThePrettyRabbit,coDnBricks,,0,
bo4,ancient-evil,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=6u6V5IDKVMI,,co-op,28,4,edguy9187,ThePrettyRabbit,SzilooHU,dCoolldoown,0,
bo4,voyage-of-despair,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=IMiEzT344Uc,,co-op,27,4,ThePrettyRabbit,edguy9187,SzilooHU,dCoolldoown,0,
bo4,classified,first-room,classic-elixirs-only,playstation,https://youtube.com/watch?v=m7gfkPqAp-4,,co-op,27,4,edguy9187,Panda-_-m1ke,ThePrettyRabbit,Quick_Deejay,0,
bo4,ancient-evil,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=Ir1LX0P5gDA,,co-op,24,3,edguy9187,ThePrettyRabbit,SzilooHU,,0,
bo4,classified,first-room,no-elixirs,playstation,https://youtube.com/watch?v=67qvL-6TnvQ,,co-op,24,4,edguy9187,ThePrettyRabbit,Panda-_-m1ke,coDnBricks,0,
bo4,classified,first-room,no-elixirs,playstation,https://youtube.com/watch?v=67qvL-6TnvQ,,co-op,24,4,edguy9187,ThePrettyRabbit,Quick_Deejay,Panda-_-m1ke,0,
bo4,tag-der-toten,first-room,purist-hardcore,playstation,https://youtube.com/watch?v=a6GZ73gpeOc,,co-op,23,4,ThePrettyRabbit,edguy9187,SzilooHU,dCoolldoown,0,
bo4,ix,first-room,classic-elixirs-only-realistic,playstation,https://youtube.com/watch?v=s5KVSV0adyY,,co-op,15,4,edguy9187,ThePrettyRabbit,Panda-_-m1ke,dCoolldoown,0,
bo4,ancient-evil,first-room,classic-elixirs-only-realistic,playstation,https://youtube.com/watch?v=TEI-Qt9Cr0k,,co-op,13,4,edguy9187,ThePrettyRabbit,Panda-_-m1ke,dCoolldoown,0,
