game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shangri-la,flawless,no-gobblegum,playstation,http://twitch.tv/videos/2034101791,,co-op,41,4,Shadow_King7890,Rex41133,edupernalonga_,VitorCOD_09,0,
bo3,ascension,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=pNC2qo9eauA,,solo,66,1,edupernalonga_,,,,0,
bo3,shangri-la,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=-I0zvWx8nXg,,co-op,62,2,Blathoux,edupernalonga_,,,0,
bo3,shi-no-numa,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=l2JgZF35MgU,,co-op,40,3,Gundamx2013,edupernalonga_,phoenix55000,,0,
bo3,nacht-der-untoten,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/2539421012,,co-op,37,2,edupernalonga_,Shadow_King7890,,,0,
bo3,nacht-der-untoten,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=CkV3HD4FDls,,co-op,35,3,Gundamx2013,phoenix55000,edupernalonga_,,0,
bo3,revelations,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=BXZIjzCOfHQ,,co-op,35,4,Blathoux,Uzumaki279,edupernalonga_,Wave279,0,
bo3,revelations,first-room,no-gobblegum,playstation,http://twitch.tv/videos/2153854162,,co-op,35,3,Wave279,edupernalonga_,phoenix55000,,0,
bo3,shi-no-numa,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/2131494338,,co-op,35,4,Vinigamer12345,edupernalonga_,Shadow_King7890,Uzumaki279,0,
bo3,the-giant,first-room,,playstation,http://twitch.tv/videos/2102712292,,co-op,35,4,Rex41133,Vinigamer12345,edupernalonga_,Shadow_King7890,0,
bo3,nacht-der-untoten,first-room,classic-gobblegum-only,playstation,http://twitch.tv/videos/2030643060,,co-op,33,3,phoenix55000,Gundamx2013,edupernalonga_,,0,
bo3,verruckt,first-room,no-gobblegum-quick-side,playstation,http://twitch.tv/videos/2048844944,,co-op,28,2,Blathoux,edupernalonga_,,,0,
bo3,shi-no-numa,first-room,no-gobblegum,playstation,http://twitch.tv/videos/2120230045,,co-op,25,4,Shadow_King7890,edupernalonga_,Uzumaki_2332,Vale_Visitado3,0,
bo3,verruckt,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/2061626898,,co-op,54,4,RobbinRounds,edupernalonga_,Wave279,llVerrucktll,0,
