game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,the-giant,ee-speedrun,any,steam,https://youtube.com/watch?v=t-xo3BaPFDU,,co-op,0:54,4,T5K,Keepers,ethanvibin,cbrnn,0,
bo3,the-giant,ee-speedrun,any,steam,https://youtube.com/watch?v=hpRiGqXqF0o,,co-op,0:59,3,T5K,Keepers,ethanvibin,,0,
bo6,liberty-falls,ee-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=ayy4TAIAO-4,,co-op,8:11,4,FPS_CLASH,RyeSR,Penguine,ethanvibin,0,
bo6,citadelle-des-morts,ee-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=byyEKnLI3PM,,co-op,19:36,4,ethanvibin,ross_aiden,sable,Invisible Hole,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=35OleV0_jrQ,,solo,21:23,1,ethanvibin,,,,0,
bo3,der-eisendrache,ee-speedrun,any,steam,https://youtube.com/watch?v=nrPWJ6JMiw0,,co-op,22:29,3,nikolaieu,cbrnn,ethanvibin,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=QxmSbSb66Z0,,co-op,22:55,3,nikolaieu,cbrnn,ethanvibin,,0,
bo4,ancient-evil,ee-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=9ZBz2ohFf_g,,solo,25:55,1,ethanvibin,,,,0,
bo3,der-eisendrache,ee-speedrun,classic-gobblegum-only,steam,https://youtube.com/watch?v=UVmlU6ElWyY,,co-op,27:21,3,nikolaieu,cbrnn,ethanvibin,,0,
vanguard,shi-no-numa-reborn,ee-speedrun,,steam,http://twitch.tv/videos/2654938174,,co-op,27:22,4,T5K,Flindex,BDog102,ethanvibin,0,
bo3,der-eisendrache,ee-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=dKWpTDUT83s,,co-op,27:35,3,nikolaieu,cbrnn,ethanvibin,,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=0ySZu5mPiLk,,solo,33:39,1,ethanvibin,,,,0,
bo3,origins,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=ahWgANLf-QM,,solo,34:59,1,ethanvibin,,,,0,
bo6,terminus,build-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=9ZhjQyG9TCs,,co-op,17:42,4,sable,ross_aiden,Invisible Hole,ethanvibin,0,
bo6,terminus,build-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=iMRMMNdRdGo,,solo,21:32,1,ethanvibin,,,,0,
vanguard,shi-no-numa-reborn,build-speedrun,,steam,http://twitch.tv/videos/2654938174,,co-op,27:22,4,T5K,Flindex,BDog102,ethanvibin,0,
bo4,black-ops-4-chaos,Super-ee-speedrun,all-elixirs-and-talismans,battle.net,https://youtube.com/watch?v=JOiqNQUKlTQ,,co-op,3:06:21,2,T5K,ethanvibin,,,0,
bo4,labours-of-hercules,gauntlet,all-elixirs-talismans,battle.net,https://youtube.com/watch?v=U6bR7uZLlrY,,solo,36:11,1,ethanvibin,,,,0,
community,der-eisendrache,com-all-wws-speedrun,,steam,https://youtube.com/watch?v=rjj0o4ddg7Q,,co-op,12:29,4,Tdotmott,nikolaieu,ethanvibin,T5K,0,
community,revelations,com-pap-speedruns,regular,steam,http://twitch.tv/videos/2124912260,,co-op,2:05,2,nikolaieu,ethanvibin,,,0,
community,origins-bo3,com-pap-speedruns,regular,steam,http://twitch.tv/videos/2126518649,,co-op,2:17,2,nikolaieu,ethanvibin,,,0,
community,dead-again,com-song-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=IQn01rr8aVk,,co-op,48.90,3,cbrnn,nikolaieu,ethanvibin,,0,
