game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shadows-of-evil,flawless,classic-gobblegum-only,playstation,https://youtube.com/watch?v=ZlvhhqghfnE,,co-op,54,2,Cretos7,fahad_298ff,,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=kc8fi56S-pw,,co-op,35,3,NJ_H2,ABo-MisH3aB_,fahad_298ff,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=904IcDA2hXo,,co-op,31,4,Cretos7,X_DrGz_7,NJ_H2,fahad_298ff,0,
bo3,revelations,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=EAsvA_MhpF4,,co-op,27,4,NJ_H2,lbift1,Do7ha_008,fahad_298ff,0,
bo3,revelations,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=w11xNonRwE0,,co-op,26,2,Cretos7,fahad_298ff,,,0,
bo3,revelations,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=hnT1cLYOHfs,,co-op,21,3,Cretos7,GH_8wy,fahad_298ff,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=yZn3LL2_HhU,,co-op,20,4,abo7mmad2000,fahad_298ff,Cretos7,NJ_H2,0,
bo3,shadows-of-evil,first-room,,playstation,https://youtube.com/watch?v=gbnGlauMw6o,,co-op,18,2,Cretos7,fahad_298ff,,,0,
bo3,shadows-of-evil,first-room,,playstation,https://youtube.com/watch?v=rhZ0FWWuBJg,,co-op,11,4,Cretos7,fahad_298ff,abo7mmad2000,r__kz-,0,
bo3,kino-der-toten,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=eDDqbxtmED4,,co-op,32,2,abo7mmad2000,fahad_298ff,,,0,
