game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,ascension,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=CMlAUCKUEME,,co-op,100,2,zRuBiiK,iiHeaven_,,,0,
bo3,kino-der-toten,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=KXVcWpeiVog,,co-op,72,2,iiHeaven_,Psycho_FinalEnd,,,0,
bo3,kino-der-toten,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=9d6-lDq2mSY,,co-op,54,4,iiHeaven_,sixson2710,Psycho_FinalEnd,Sniperghost1701,0,
bo3,shadows-of-evil,high-round,no-gobblegum,playstation,http://twitch.tv/videos/1479196848,,co-op,53,3,Sniperghost1701,iiHeaven_,fmj_angio,,0,
bo3,the-giant,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=uIVHlvd7zDI,,co-op,49,3,iiHeaven_,sixson2710,Febulous98,,0,
bo3,origins,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=0yT4MuuQl_E,,co-op,39,3,iiHeaven_,sixson2710,Fabulous98,,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=z4vptm_kIH0,,co-op,32,4,iiHeaven_,AeD_FoX,Eukiller99,Miky9010,0,
bo3,the-giant,first-room,,playstation,https://youtube.com/watch?v=NzG_-hTR8zU,,co-op,31,3,iiHeaven_,AeD_FoX,zRuBiiK,,0,
bo3,gorod-krovi,first-room,mega-gobblegum,playstation,http://twitch.tv/videos/82249532,,co-op,30,4,Fabrizio6777,N1tRoZz99,Kerplop,iiHeaven_,0,
bo3,gorod-krovi,first-room,mega-gobblegum,playstation,https://youtube.com/watch?v=NcwzHnmJ9NM,,co-op,30,2,iiHeaven_,qMxth,,,0,
bo3,ascension,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=IwRXnlrIKdg,,co-op,25,2,iiHeaven_,N1tRoZz99,,,0,
bo3,zetsubou-no-shima,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=ukMWtbPXF7A,,co-op,25,4,iiHeaven_,Leosofigo10,COD-BEST-DARIO,Zombiefede,0,
bo3,the-giant,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=D_ieR36FZ6E,,co-op,31,3,zRuBiiK,zTom11_HD,iiHeaven_,,0,
bo3,verruckt,no-power,classic-gobblegum-only,playstation,https://youtube.com/watch?v=Xh5JqCAxGZ8,,co-op,20,2,Psycho_FinalEnd,iiHeaven_,,,0,
