game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,liberty-falls,ee-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=wLu28SRXLAg,,co-op,6:23,4,itsSlack,RyeSR,BDog102,JettLag,0,
bo6,liberty-falls,ee-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=sdoPKA_3-a8,,co-op,6:54,4,itsSlack,RyeSR,BDog102,FPS_CLASH,0,
bo6,liberty-falls,ee-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=FDA1eB6Je2s,,co-op,7:29,4,itsSlack,RyeSR,FPS_CLASH,Penguine,0,
bo6,liberty-falls,ee-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=p6JFLJOZX58,,co-op,8:22,2,itsSlack,RyeSR,,,0,
bo6,liberty-falls,ee-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=mSUVPIZEivM,,solo,9:40,1,itsSlack,,,,0,
bo2,buried,ee-speedrun,richtofens-side-with-bank,steam,https://youtube.com/watch?v=hJzRp0UA86I,,solo,9:58,1,itsSlack,,,,0,
bo6,liberty-falls,ee-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=nR1YTGvi6M0,,solo,12:45,1,itsSlack,,,,0,
bo6,the-tomb,ee-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=WChxRfSahu8,,solo,21:39,1,itsSlack,,,,0,
bo6,reckoning,ee-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=HgwO85Hqz0E,,solo,24:35,1,itsSlack,,,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,steam,https://youtube.com/watch?v=bpnkbbM5YU0,,solo,29:51,1,itsSlack,,,,0,
bo4,dead-of-the-night,ee-speedrun,classic-elixirs-only,battle.net,https://youtube.com/watch?v=RipkXyDrnII,,solo,31:54,1,itsSlack,,,,0,
bo6,reckoning,ee-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=uAubX6vBKEo,,co-op,32:59,3,itsSlack,RyeSR,FPS_CLASH,,0,
bo6,liberty-falls,build-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=ay4MGMD6WjU,,co-op,11:03,4,itsSlack,BDog102,RyeSR,TheScrappyCrappy,0,
bo6,liberty-falls,build-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=U1-kQgmPrpw,,co-op,11:42,2,itsSlack,RyeSR,,,0,
bo6,liberty-falls,build-speedrun,with-gobblegums,steam,https://youtube.com/watch?v=bjbfvrc1N1E,,solo,11:47,1,itsSlack,,,,0,
bo6,liberty-falls,build-speedrun,no-gobblegums,steam,https://youtube.com/watch?v=As51j8u8Apw,,solo,12:32,1,itsSlack,,,,0,
bo6,liberty-falls,build-speedrun,no-gobblegums-no-rage-inducer,steam,https://youtube.com/watch?v=HTCV6cxWV-M,,solo,16:35,1,itsSlack,,,,0,
bocw,firebase-z,build-speedrun,,steam,https://youtube.com/watch?v=13hw-RJF7t0,,solo,23:18,1,itsSlack,,,,0,
bo6,black-ops-6,Super-ee-speedrun,build-with-gobblegums,steam,https://youtube.com/watch?v=uAubX6vBKEo,,co-op,2:05:57,3,itsSlack,RyeSR,FPS_CLASH,,0,
