game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,gorod-krovi,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=WJ0BLv8lJeI,,co-op,30,3,j_ comber011,Speedy,Bion-Sinner,,0,
bo3,zetsubou-no-shima,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=r3BP1jOtg7A,,co-op,30,3,j_ comber011,Speedy,MrSatan,,0,
bo4,blood-of-the-dead-hardcore,high-round-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=zpb32Ob54Sw,,co-op,42,3,megak520,j_ comber011,Money_king_3,,0,
wwii,the-final-reich,first-room,with-consumables,playstation,https://youtube.com/watch?v=ewNcgEWTPSs,,co-op,28,2,j_ comber011,AdD1cT3D2tWO,,,0,
wwii,the-darkest-shore,first-room,with-consumables,playstation,https://youtube.com/watch?v=aotcones6Qo,,co-op,28,2,AdD1cT3D2tWO,j_ comber011,,,0,
bo3,origins,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=VQ_khvBTK5I,,co-op,22,2,j_ comber011,Speedy,,,0,
bo3,verruckt,first-room,no-gobblegum-jug-side,playstation,https://youtube.com/watch?v=rPYxchhCRIw,,co-op,12,2,j_ comber011,Bion-Sinner,,,0,
bo3,origins,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=mgCeUIA8wmc,,co-op,12,3,adenminininja,j_ comber011,megak520,,0,
bo3,nacht-der-untoten,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=r5B3EG2tqXE,,co-op,11,2,j_ comber011,Bion-Sinner,,,0,
bo3,shangri-la,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=z_6YqiUEY84,,solo,11,1,j_ comber011,,,,0,
bo3,origins,no-power,no-gobblegum,playstation,https://youtube.com/watch?v=gUWhr2613rI,,co-op,37,2,j_ comber011,Speedy,,,0,
bocw,forsaken,30-speedrun,none,playstation,http://twitch.tv/videos/1203940853,,co-op,33:14,4,NiCKzxICW,THESKYBEAST2000,Snootcaine,j_ comber011,0,
bo3,origins,30-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=UFPlJ9Y4B5U,,co-op,38:20,2,j_ comber011,Speedy,,,0,
bo3,origins,30-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=ab5RYijBB_k,,solo,41:49,1,j_ comber011,,,,0,
bo3,the-giant,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=KHpXss4OuPM,,co-op,1:27,2,Speedy,j_ comber011,,,0,
bo3,the-giant,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=VruVvwtr1ys,,co-op,1:41,4,adenminininja,QsA_Bull,megak520,j_ comber011,0,
bo3,the-giant,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=JSo70Dj8H4M,,co-op,1:46,2,adenminininja,j_ comber011,,,0,
bo3,the-giant,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=sTYM9NUz3dE,,co-op,5:59,2,Speedy,j_ comber011,,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=dyqR1aNczEY,,co-op,32:44,3,QsA_Bull,j_ comber011,megak520,,0,
bo3,moon,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=H7r3kbbg4-I,,co-op,33:48,3,QsA_Bull,j_ comber011,megak520,,0,
bo3,shangri-la,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=Urym4IMNIiA,,co-op,34:06,4,j_ comber011,TheLastPlaya666,megak520,Speedy,0,
bo4,voyage-of-despair,ee-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=EFPfhnpYP2g,,co-op,34:16,4,Odin,Happydays7700,DaddyDontStop,j_ comber011,0,
bo3,origins,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=vMVHLS2tWx4,,co-op,35:48,4,j_ comber011,Speedy,GlitchedExo,AdD1cT3D2tWO,0,
bo4,dead-of-the-night,ee-speedrun,all-elixirs-talismans,playstation,http://twitch.tv/videos/767406818,,co-op,37:01,3,Yeetmachine38,j_ comber011,HoratioCaine04,,0,
bo3,origins,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=bsAgNMHK-YY,,co-op,37:17,3,j_ comber011,Speedy,Forky,,0,
bo4,dead-of-the-night,ee-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=uOFfIxNJZOk,,co-op,37:20,4,j_ comber011,HoratioCaine04,CHCR_Terra,MarleyKras,0,
bo4,ancient-evil,ee-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=K3RAEDUAfzo,,co-op,38:27,4,j_ comber011,MrAll_in,DoccMain_,Beastblade1549,0,
bo3,der-eisendrache,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=_s312gj3n9M,,co-op,39:15,4,QsA_Bull,j_ comber011,Speedy,megak520,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=dyqR1aNczEY,,co-op,39:35,3,QsA_Bull,j_ comber011,megak520,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=DqlRBwnpiw8,,co-op,41:21,4,j_ comber011,QsA_Bull,Speedy,GlitchedExo,0,
bo3,origins,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=nuL1LxVISm4,,co-op,42:30,4,Speedy,j_ comber011,megak520,QsA_Bull,0,
bo3,origins,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=nuL1LxVISm4,,co-op,42:31,4,adenminininja,QsA_Bull,j_ comber011,megak520,0,
bo3,origins,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=pA0OW0vTj5w,,co-op,44:18,2,j_ comber011,Speedy,,,0,
