game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,revelations,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=rrqiNsfmQRk,,co-op,45,2,jobies7890,Mr__Goggle,,,0,
bo3,ascension,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=59l31Ll-OKE,,co-op,37,2,jobies7890,Mr__Goggle,,,0,
bo3,zetsubou-no-shima,high-round,no-gobblegum,steam,https://youtube.com/watch?v=4HVZxM8BWHU,,co-op,36,2,jobies7890,B1u3MeW115,,,0,
bo3,gorod-krovi,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=wcgi9UQnXFs,,co-op,30,3,jobies7890,VibefyVEVO,Mr__Goggle,,0,
bo3,moon,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=ca2cO7MpFkI,,co-op,30,2,jobies7890,Mr_Goggle,,,0,
bo3,shadows-of-evil,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=NHZDp9o4E8g,,co-op,29,2,jobies7890,Mr__Goggle,,,0,
bo3,verruckt,high-round,no-gobblegum,playstation,https://youtube.com/watch?v=b3y6Xwy5tB8,,co-op,29,2,jobies7890,Mr__Goggle,,,0,
bo3,origins,high-round,no-gobblegum,steam,https://youtube.com/watch?v=8M_XJ4vP5Ds,,co-op,26,3,jobies7890,B1u3MeW115,Cambug27,,0,
bo3,shangri-la,high-round,no-gobblegum,steam,https://youtube.com/watch?v=vx7ggbquKJY,,co-op,18,4,jobies7890,B1u3MeW115,Cambug27,zest,0,
bo3,moon,high-round,classic-gobblegum-only,playstation,https://youtube.com/watch?v=9OG2WjEKS1I,,co-op,15,3,jobies7890,VibefyVEVO,Mr__Goggle,,0,
