game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bocw,outbreak,high-round,casual,xbox,http://twitch.tv/videos/1121103845,,solo,58,1,jonnyboyye,,,,0,
bocw,die-maschine,high-round,with-support,xbox,http://twitch.tv/videos/1053147345,,co-op,56,4,double_R,Voke,SmokeCron420,jonnyboyye,0,
bocw,outbreak,high-round,casual,xbox,http://twitch.tv/videos/1041325043,,co-op,22,4,jonnyboyye,Voke,SmokeCron420,Styrineee,0,
bocw,outbreak,high-round,casual,xbox,http://twitch.tv/videos/1052518959,,co-op,14,4,HeyStepSis,Voke,SmokeCron420,jonnyboyye,0,
bo4,classified,first-room,all-elixirs-talismans,playstation,https://youtube.com/watch?v=tDm5DZKWjHY,,co-op,51,3,Flyingcobra_808,GlItch_MrMx9,jonnyboyye,,0,
bo4,tag-der-toten,first-room,all-elixirs-talismans-hardcore,playstation,https://youtube.com/watch?v=5xWHv3i44H8,,solo,37,1,jonnyboyye,,,,0,
bocw,outbreak,no-jug,with-armour,xbox,http://twitch.tv/videos/1143822438,,solo,50,1,jonnyboyye,,,,0,
bocw,outbreak,no-jug,with-armour,xbox,http://twitch.tv/videos/1138027350,,co-op,30,2,jonnyboyye,Midgetpuncher69,,,0,
bocw,outbreak,10-speedrun,,playstation,https://youtube.com/watch?v=gpMPDCi1iPg,,solo,45:32,1,jonnyboyye,,,,0,
bo4,tag-der-toten,30-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=XKoAs50ubEM,,co-op,27:44,3,Flyingcobra_808,jonnyboyye,GlItch_MrMx9,,0,
bo4,ix,30-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=r26ve2aHKnM,,co-op,33:37,3,Flyingcobra_808,GlItch_MrMx9,jonnyboyye,,0,
bo4,tag-der-toten,50-speedrun,classic-elixirs-only,playstation,https://youtube.com/watch?v=clp0yipcZmE,,solo,53:17,1,jonnyboyye,,,,0,
bo4,ix,ee-speedrun,all-elixirs-talismans,playstation,https://youtube.com/watch?v=AdHoUq4KgzA,,co-op,40:45,2,jonnyboyye,Flyingcobra_808,,,0,
bo4,an-ice-day-in-hell,gauntlet,all-elixirs-talismans,playstation,https://youtube.com/watch?v=6QrDyzqKw00,,co-op,1:49:39,4,Flyingcobra_808,jonnyboyye,GlItch_MrMx9,volunteerfan_32,0,
bo4,an-ice-day-in-hell,gauntlet,all-elixirs-talismans,playstation,https://youtube.com/watch?v=673TPYS7uNU,,co-op,1:37:00,3,Flyingcobra_808,MistuhWhite,jonnyboyye,,0,
bo4,an-ice-day-in-hell,gauntlet,all-elixirs-talismans,playstation,https://youtube.com/watch?v=9uPBLxtY28I,,solo,1:11:15,1,jonnyboyye,,,,0,
bo4,an-ice-day-in-hell,gauntlet,all-elixirs-talismans,playstation,https://youtube.com/watch?v=3X1SaIA5LoE,,co-op,1:08:36,2,jonnyboyye,Flyingcobra_808,,,0,
