game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo2,origins,high-round,,xbox,https://youtube.com/watch?v=UVCj6ZyyvWc,,co-op,63,3,ZombiNando898,juanlokoo,RaulEmenT,,0,
bo2,origins,first-room,,xbox,https://youtube.com/watch?v=su9eHW6u2R4,,co-op,40,2,Aldore,juanlokoo,,,0,
bo,verruckt,first-room,jug-side,xbox,https://youtube.com/watch?v=w0LOVZUV318,,co-op,37,2,juanlokoo,Aldore,,,0,
bo2,mob-of-the-dead,first-room,,xbox,https://youtube.com/watch?v=yqYHFsVoyFA,,co-op,28,2,juanlokoo,iiDanny12,,,0,
bo2,bus-depot,first-room,,xbox,https://youtube.com/watch?v=GJPVzzT_lZ8,,solo,26,1,juanlokoo,,,,0,
bo2,mob-of-the-dead,first-room,,xbox,https://youtube.com/watch?v=NUyprYjq4sc,,solo,25,1,juanlokoo,,,,0,
bo,verruckt,first-room,quick-side,xbox,https://youtube.com/watch?v=6Oj52uHL3y4,,solo,23,1,juanlokoo,,,,0,
bo,ascension,no-power,,xbox,https://youtube.com/watch?v=wU3wqXaTDzk,,solo,112,1,juanlokoo,,,,0,
bo,kino-der-toten,no-power,,xbox,http://twitch.tv/videos/602984978,,co-op,40,4,Gelowned,ivisssmatador,ZombiNando898,juanlokoo,0,
bo4,blood-of-the-dead,realistic,all-elixirs-talismans,playstation,https://youtube.com/watch?v=97DramsNMFo,,co-op,26,3,Xarli23,cracse,juanlokoo,,0,
