game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shadows-of-evil,high-round,classic-gobblegum-only,steam,http://twitch.tv/videos/2362883012,,co-op,148,4,VapingViagra,RobbinRounds,Vax-Xxe,llVerrucktll,0,
bo3,verruckt,high-round,no-gobblegum,playstation,http://twitch.tv/videos/1818997299,,co-op,79,2,RobbinRounds,llVerrucktll,,,0,
bo3,shadows-of-evil,high-round,no-gobblegum,playstation,http://twitch.tv/videos/1702009886,,co-op,75,4,llVerrucktll,BoxedByFox,Bingilton,RobbinRounds,0,
bo3,zetsubou-no-shima,high-round,classic-gobblegum-only,playstation,http://twitch.tv/videos/1789613464,,co-op,61,4,RobbinRounds,llVerrucktll,Gundamx2013,Vax-Xxe,0,
bo3,shi-no-numa,high-round,mega-gobblegum,playstation,https://youtube.com/watch?v=bS2AjKbbjZQ,,co-op,60,2,llVerrucktll,ExtremeRy,,,0,
bo3,verruckt,high-round,no-gobblegum,playstation,http://twitch.tv/videos/1864575343,,co-op,55,4,llVerrucktll,RobbinRounds,Vax-Xxe,Gundamx2013,0,
bocw,firebase-z,high-round,with-support,playstation,https://youtube.com/watch?v=veUsj1M4bhg,,co-op,40,3,ExtremeRy,llVerrucktll,IssakT,,0,
bo3,shi-no-numa,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=bS2AjKbbjZQ,,co-op,60,2,llVerrucktll,ExtremeRy,,,0,
bo3,zetsubou-no-shima,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/1789613464,,co-op,57,4,RobbinRounds,llVerrucktll,Gundamx2013,Vax-Xxe,0,
bo3,shi-no-numa,flawless,mega-gobblegum,playstation,https://youtube.com/watch?v=HFq_xroVbCY,,co-op,53,2,llVerrucktll,Edsry,,,0,
bo3,shadows-of-evil,flawless,no-gobblegum,playstation,http://twitch.tv/videos/1696034363,,co-op,46,4,llVerrucktll,RobbinRounds,BoxedByFox,Bingilton,0,
bo3,verruckt,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/1677042967,,co-op,46,4,BoxedByFox,RobbinRounds,OHGSB,llVerrucktll,0,
bo3,zetsubou-no-shima,flawless,no-gobblegum,playstation,https://youtube.com/watch?v=C2zSm34cTQQ,,co-op,44,4,Gundamx2013,fear_no_man_0,llVerrucktll,Bingilton,0,
bo3,nacht-der-untoten,flawless,no-gobblegum,playstation,https://youtube.com/watch?v=FjlHhmvvfbY,,co-op,23,3,ExtremeRy,tybubbles,llVerrucktll,,0,
bo3,moon,nml,classic-gobblegum-only,playstation,https://youtube.com/watch?v=M9uLRMknV1M,,co-op,2998,2,Edsry,llVerrucktll,,,0,
bocw,dead-ops-arcade-iii,doa,first-person,playstation,http://twitch.tv/videos/1481745059,,co-op,38,3,Vorkuta,ExtremeRy,llVerrucktll,,0,
bo3,moon,first-room,no-gobblegum,playstation,https://youtube.com/watch?v=ELdRF_wh4cQ,,co-op,47,4,spintheblock5k,llVerrucktll,OHGSB,RobbinRounds,0,
bo3,der-eisendrache,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=mDaAvqCRe1Y,,co-op,45,3,llVerrucktll,Wave279,Vax-Xxe,,0,
bo3,gorod-krovi,first-room,no-gobblegum,steam,https://youtube.com/watch?v=QrQKPdwxRyk,,co-op,41,4,RobbinRounds,Vax-Xxe,llVerrucktll,Bingilton,0,
bo3,revelations,first-room,no-gobblegum,steam,http://twitch.tv/videos/2339623880,,co-op,35,4,llVerrucktll,RobbinRounds,Wazbags,dtpuka98,0,
bo3,nacht-der-untoten,first-room,no-gobblegum,steam,http://twitch.tv/videos/2344962458,,co-op,34,4,RobbinRounds,llVerrucktll,Bingilton,Vax-Xxe,0,
bocw,mauer-der-toten,first-room,no-support,playstation,http://twitch.tv/videos/1479105775,,co-op,26,3,Vorkuta,llVerrucktll,ExtremeRy,,0,
bo3,verruckt,first-room,no-gobblegum-jug-side,steam,http://twitch.tv/videos/2338056507,,solo,24,1,llVerrucktll,,,,0,
bo3,gorod-krovi,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=OLXa3sSX6zE,,co-op,11,3,ExtremeRy,llVerrucktll,dbcyTonny,,0,
bo3,verruckt,no-power,classic-gobblegum-only,playstation,http://twitch.tv/videos/2061626898,,co-op,54,4,RobbinRounds,edupernalonga_,Wave279,llVerrucktll,0,
