game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,shi-no-numa,high-round,classic-gobblegum-only,steam,http://twitch.tv/videos/1242851997,,solo,100,1,majorjayman2000,,,,0,
bo3,gorod-krovi,high-round,no-gobblegum,xbox,http://twitch.tv/videos/923044694,,co-op,88,2,fazemonkey,majorjayman2000,,,0,
bo3,moon,flawless,classic-gobblegum-only,steam,http://twitch.tv/videos/1243529687,,solo,100,1,majorjayman2000,,,,0,
bo3,nacht-der-untoten,no-jug,classic-gobblegum-only,steam,http://twitch.tv/videos/1257656896,,solo,100,1,majorjayman2000,,,,0,
bo3,der-eisendrache,70-speedrun,no-gobblegum,steam,http://twitch.tv/videos/2052387069,,solo,1:44:59,1,majorjayman2000,,,,0,
bo3,moon,100-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1243529687,,solo,3:13:01,1,majorjayman2000,,,,0,
bo3,revelations,100-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1271652170,,solo,3:21:43,1,majorjayman2000,,,,0,
bo3,ascension,100-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1230279106,,solo,3:56:28,1,majorjayman2000,,,,0,
bo3,kino-der-toten,100-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1249607194,,solo,4:04:21,1,majorjayman2000,,,,0,
bo3,der-eisendrache,100-speedrun,no-gobblegum,steam,https://youtube.com/watch?v=ZJn6b5BfSlQ,,solo,4:06:51,1,majorjayman2000,,,,0,
bo3,der-eisendrache,100-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1267418093,,solo,4:19:59,1,majorjayman2000,,,,0,
bo3,origins,100-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1249610290,,solo,4:20:19,1,majorjayman2000,,,,0,
bo3,the-giant,100-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1228416087,,solo,4:48:20,1,majorjayman2000,,,,0,
bo3,zetsubou-no-shima,100-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1266526005,,solo,5:21:33,1,majorjayman2000,,,,0,
bo3,gorod-krovi,100-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1237628331,,solo,6:08:24,1,majorjayman2000,,,,0,
bo3,shi-no-numa,100-speedrun,classic-gobblegum-only,steam,http://twitch.tv/videos/1242851997,,solo,6:53:50,1,majorjayman2000,,,,0,
