game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
wwii,altar-of-blood,high-round,,playstation,https://youtube.com/watch?v=Sm0x4ixdF3c,,solo,71,1,maketin85,,,,0,
wwii,the-shadowed-throne,high-round,,playstation,https://youtube.com/watch?v=rmOVZ4PpzWo,,co-op,61,4,zconnor19,madtrevs,kyekye007,maketin85,0,
bo4,dead-of-the-night,high-round,all-elixirs-talismans,playstation,https://youtube.com/watch?v=vOVvMTujBgY,,co-op,60,4,zconnor19,maketin85,kyekye007,Shizark420,0,
wwii,gresten-haus,high-round,,playstation,https://youtube.com/watch?v=DpClXBWVNlE,,co-op,55,3,zconnor19,kyekye007,maketin85,,0,
wwii,altar-of-blood,high-round,,playstation,https://youtube.com/watch?v=MdFPTKWEfEs,,co-op,53,4,zconnor19,madtrevs,maketin85,kyekye007,0,
wwii,the-frozen-dawn,high-round,,playstation,https://youtube.com/watch?v=xWSWcpSTUuE,,co-op,51,2,zconnor19,maketin85,,,0,
wwii,the-frozen-dawn,high-round,,playstation,https://youtube.com/watch?v=EDAcWqVtWRc,,co-op,51,3,zconnor19,maketin85,madtrevs,,0,
wwii,uss-mount-olympus,high-round,,playstation,https://youtube.com/watch?v=_FGi1w4kwBA,,co-op,51,3,zconnor19,hev0710,maketin85,,0,
wwii,altar-of-blood,high-round,,playstation,https://youtube.com/watch?v=U5RjAhWsi6E,,co-op,51,4,zconnor19,kyekye007,maketin85,hev0710,0,
bo4,dead-of-the-night-hardcore,high-round-hc,all-elixirs-talismans,playstation,http://twitch.tv/videos/386639040,,co-op,84,2,Jonsered83,maketin85,,,0,
bo4,dead-of-the-night-hardcore,high-round-hc,all-elixirs-talismans,playstation,https://youtube.com/watch?v=jpEniSueXgk,,co-op,70,3,zconnor19,maketin85,Jonsered777,,0,
bo4,dead-of-the-night-hardcore,high-round-hc,classic-elixirs-only,playstation,https://youtube.com/watch?v=aAyym-xBo5M,,co-op,54,4,in2itScott,zconnor19,maketin85,YouKnowItsMike,0,
wwii,altar-of-blood,flawless,,playstation,https://youtube.com/watch?v=Sm0x4ixdF3c,,solo,71,1,maketin85,,,,0,
bo3,revelations,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/573818110,,co-op,49,3,zconnor19,maketin85,Jonsered777,,0,
bo3,revelations,flawless,classic-gobblegum-only,playstation,http://twitch.tv/videos/597783996,,co-op,45,4,zconnor19,maketin85,Jonsered777,whacka_andreas,0,
