game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
wwii,gresten-haus,high-round,,playstation,https://youtube.com/watch?v=vUTCUZ0t4ao,,solo,50,1,makler1995,,,,0,
wwii,the-darkest-shore,high-round,,playstation,https://youtube.com/watch?v=gptbViJX30k,,solo,50,1,makler1995,,,,0,
bo3,nacht-der-untoten,first-room,classic-gobblegum-only,playstation,https://youtube.com/watch?v=sPnXcZV3RNk,,solo,18,1,makler1995,,,,0,
wwii,the-final-reich,ee-speedrun,casual-ee-with-consumables,playstation,https://youtube.com/watch?v=CL-eAREHqvA,,co-op,28:21,2,makler1995,AKA_xXHallWayXx,,,0,
wwii,the-final-reich,ee-speedrun,casual-ee-no-consumables,playstation,https://youtube.com/watch?v=dyh_N5u1N3s,,solo,30:39,1,makler1995,,,,0,
bo3,der-eisendrache,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=iLA1TexOXAk,,solo,36:08,1,makler1995,,,,0,
bo3,zetsubou-no-shima,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=w-gTM55n7LU,,solo,37:17,1,makler1995,,,,0,
bo3,shadows-of-evil,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=Jo84g93vlzs,,solo,38:16,1,makler1995,,,,0,
wwii,the-darkest-shore,ee-speedrun,with-consumables,playstation,https://youtube.com/watch?v=ifR7I_xDWr8,,co-op,45:00,3,makler1995,AKA_xXHallWayXx,TheCanadianBeaut,,0,
wwii,the-darkest-shore,ee-speedrun,with-consumables,playstation,https://youtube.com/watch?v=3iDa6e5xp8w,,co-op,48:07,2,makler1995,AKA_xXHallWayXx,,,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=T4DNMeixh1o,,solo,51:31,1,makler1995,,,,0,
bo3,revelations,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=dIPbNm2gCYI,,solo,56:19,1,makler1995,,,,0,
bo3,origins,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=YwOC04SrDKw,,solo,1:16:05,1,makler1995,,,,0,
