game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,ascension,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=eogPXMXDmTw,,co-op,15:30,4,mala140chiw,ItsReZic,C597he,Vzruct,0,
bo3,revelations,ee-speedrun,no-gobblegum,playstation,http://twitch.tv/videos/545301466,,co-op,27:54,4,ChuckV107,mala140chiw,rjballa23,wildthing__115,0,
bo3,origins,ee-speedrun,no-gobblegum,playstation,https://youtube.com/watch?v=punS_JJbbDw,,co-op,46:23,3,mala140chiw,Wonder_Boy,DiscreteWraith,,0,
bo3,gorod-krovi,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=FiMKXZyKIvc,,co-op,47:33,4,mala140chiw,ItsReZic,C597he,Vzruct,0,
bo3,origins,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=ovicEM-ku0A,,co-op,47:53,3,FrozenDiamond483,C597he,mala140chiw,,0,
iw,attack-of-the-radioactive-thing,ee-speedrun,fate-fortune-cards,playstation,https://youtube.com/watch?v=WEzN5JAEU5k,,co-op,48:59,3,GangstrJoe,C597he,mala140chiw,,0,
iw,attack-of-the-radioactive-thing,ee-speedrun,fate-fortune-cards,playstation,https://youtube.com/watch?v=EKbWmqp8nPg,,co-op,1:13:53,4,mala140chiw,C597he,maxis935152,GanstaJoe,0,
bo3,origins,ee-speedrun,classic-gobblegum-only,playstation,https://youtube.com/watch?v=d6QIgP2h-i8,,co-op,1:14:18,4,mala140chiw,ZrexityFTW,C597he,Cyb2rHaWk21,0,
community,tag-der-toten,com-pap-speedruns,,steam,https://youtube.com/watch?v=eGmIESkvsKM,,co-op,0:54,3,ZylOw,Combsy,mala140chiw,,0,
community,classified,com-pap-speedruns,,steam,https://youtube.com/watch?v=gyAew_haBR8,,co-op,0:56,3,ZylOw,Combsy,mala140chiw,,0,
community,alpha-omega,com-pap-speedruns,,steam,https://youtube.com/watch?v=YKjOqif14yY,,co-op,2:14,3,ZylOw,Combsy,mala140chiw,,0,
community,ix,com-podium-speedrun,all-elixirs-talismans,steam,http://twitch.tv/videos/2492139229,,co-op,14:21,2,Combsy,mala140chiw,,,0,
